STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07AD004,Q,1965,H,,7,8,15,0,MST,0.3650000095367432,,Maximum
07AD004,Q,1966,H,,5,10,16,0,MST,0.3849999904632568,,Maximum
07AD004,Q,1967,H,,6,8,8,0,MST,0.193000003695488,,Maximum
07AD004,Q,1969,H,,8,5,18,0,MST,0.578000009059906,,Maximum
07AD004,Q,1970,H,,6,15,22,50,MST,0.0989999994635582,,Maximum
07AD004,Q,1971,H,,7,11,21,30,MST,0.2460000067949295,,Maximum
07AD004,Q,1973,H,,5,27,20,15,MST,0.1899999976158142,,Maximum
07AD004,Q,1975,H,,6,28,17,30,MST,0.07400000095367432,,Maximum
07AD004,Q,1976,H,,8,16,14,30,MST,0.07900000363588333,,Maximum
07AD004,Q,1977,H,,5,29,18,20,MST,0.28600001335144043,,Maximum
07AD004,Q,1978,H,,7,11,12,30,MST,0.32600000500679016,,Maximum
07AD004,Q,1980,H,,6,4,19,40,MST,0.6190000176429749,,Maximum
07AD004,Q,1981,H,,5,22,18,50,MST,0.25200000405311584,,Maximum
07AD004,Q,1985,H,,6,24,23,10,MST,0.17499999701976776,,Maximum
07AD004,Q,1986,H,,7,17,19,7,MST,0.33799999952316284,,Maximum
07AD004,Q,1988,H,,6,9,7,40,MST,0.0949999988079071,,Maximum
07AD004,Q,1989,H,,8,16,21,33,MST,0.16699999570846558,,Maximum
07AD004,Q,1991,H,,5,9,15,2,MST,0.1420000046491623,,Maximum
07AD004,Q,1992,H,,5,29,16,47,MST,0.06300000101327896,,Maximum
