Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07AF015,2024-06-12T16:50:00,-7,Stage/Niveau d'eau,1.454,,,,,,,,,GC: 0.000 HG: 1.486 HG2: 1.453 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
07AF015,2024-06-12T16:22:00,-7,Discharge/Débit,,1.444,6.11,11.0,-0.54,0.0023999999,0.0023999999,"Measurement condition : Clear; Cloudy , Light Rain , Light Wind Blowing Cross Stream",Orifice in riffle.,"High quality FT2 wading mmnt.  HG record painting and jumpy. Orifice buried in rocks, section very turbulent at gauge, significant surge most visits. Probably better to copy and paste HG2 now that well is thawed Mid-section",20.9,6.69,0.914,7.0,5.9,Final/Finales,4.68
07AF015,2024-04-30T20:46:30,-7,Discharge/Débit,,1.177,1.64,11.0,-0.497,-0.90389997,-0.0424,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Cross Stream","section control, ice on left bank, don't think its affecting discharge (backwater) Large negative shift caused by 2023 flooding. Beaver activity downstream, but not influencing water levels at the gauge yet.","Good mmnt overall, one edge panel with issues due to shallow depth. Lowered float onto ice, well still isolated. Mid-section",12.0,3.14,0.522,6.0,3.7,Provisional/Provisoire,6.13
07AF015,2024-04-30T20:30:00,-7,Stage/Niveau d'eau,1.178,,,,,,,,,GC: 0.000 HG: 1.177 Surge: 0.030  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
07AF015,2024-03-07T19:55:00,-7,Stage/Niveau d'eau,1.018,,,,,,,,,HG: 1.021 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
07AF015,2024-03-07T19:26:00,-7,Discharge/Débit,,1.01,0.301,11.0,-0.509,-0.96930003,-0.96930003,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable","mostly ice covered, thin ice","Good quality ice mmnt Stage bouncing a bit before and during mmnt caused by techs, chipping mmnt section Mid-section",9.5,1.3,0.232,-1.0,0.0,Provisional/Provisoire,20.2
07AF015,2023-10-24T21:35:00,-7,Discharge/Débit,,1.147,1.37,11.0,-0.491,-0.91230005,0.0011999999,"Measurement condition : Ice; Cloudy , No Precipitation , Light Wind Blowing Cross Stream",10 percent ice cover.,"Good quality FT2 wading mmnt. Post flood significant scour has occured, new curve required. HG2 = Float pinned at 14:40 to 2.101m Mid-section",11.2,3.54,0.386,-10.0,1.8,Final/Finales,5.94
07AF015,2023-10-24T21:30:00,-7,Stage/Niveau d'eau,1.147,,,,,,,,,GC: 0.000 HG: 1.144 HG2: 1.148 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
07AF015,2023-08-23T20:30:00,-7,Discharge/Débit,,1.348,4.33,11.0,-0.512,-0.83889997,-0.0017,"Measurement condition : Fill; Partly Cloudy , No Precipitation , Light Wind Blowing Upstream",Fill post June flood,"Good quality FT2 wading mmnt.  2nd water level used cut, same cut. Mid-section",16.4,5.68,0.762,16.0,12.2,Provisional/Provisoire,6.9
07AF015,2023-08-23T20:05:00,-7,Stage/Niveau d'eau,1.348,,,,,,,,,GC: 0.000 HG: 1.221 HG2: 1.363 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-07-25T19:13:30,-7,Discharge/Débit,,1.339,3.62,11.0,-0.536,-0.86230004,0.0011999999,"Measurement condition : Fill; Partly Cloudy , No Precipitation , Moderate Wind Blowing Downstream","Significant alteration of channel bed around gauge and bridge, some spots main flow is on the opposite side. At the gauge mmuch more flow by the orifice on the right bank than previous","High quality wade, no issues. The orifice line of the accubar is buried in rocks and cobbles, I tried redploy but the flow is quite deep and fast along the bank now, Well seems to be functioning, if HG data is way out will start using HG2. Lots of surge along the bank now. Unsure of well connectivity, flushed intakes, seems slow to drain on lower intake, potentially covered in rocks and cobbles as well. See if it recovers after flush. Left to both settle while measuring, will come back to shoot second water level and reset again. Well seems to have recovered, will use well data until I can instal a new secure orifice line, suspect HG will not settle and have significant surge.  Mid-section",14.0,5.58,0.649,17.0,13.8,Provisional/Provisoire,5.2
07AF015,2023-07-25T18:25:00,-7,Stage/Niveau d'eau,1.341,,,,,,,,,GC: 0.000 HG: 1.271 HG2: 1.406 Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-06-28T18:40:00,-7,Stage/Niveau d'eau,1.992,,,,,,,,,GC: 0.000 HG: 1.989 HG2: 2.000 Surge: 0.025  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
07AF015,2023-06-28T18:23:00,-7,Discharge/Débit,,1.985,33.8,11.0,-0.539,-0.6317,-0.0117999995,"Measurement condition : Fill; Partly Cloudy , No Precipitation , Very Light Wind Blowing Cross Stream","debris (large trees) scattered upstream and downstream in channel. Seems that highwater caused channel deposition at gauge, large shift suggest lots of rocks and sediment has filled the channel at the section of the gauge, still to high to fully assess.","Good quality M9 ADCP mmnt from the bridge. Shallow and fast section with angular flow, could not measure 50% and some directional bias observed. ADCP by Moving Boat",26.5,20.6,1.63,24.0,9.5,Provisional/Provisoire,9.3
07AF015,2023-06-28T00:15:00,-7,Stage/Niveau d'eau,2.04,,,,,,,,,HG: 2.073 HG2: 1.996 Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-06-21T15:00:00,-7,Stage/Niveau d'eau,1.892,,,,,,,,,GC: 0.000 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
07AF015,2023-06-21T14:27:30,-7,Discharge/Débit,,1.895,45.8,11.0,-0.271,-0.42430001,0.0001,"Measurement condition : Debris; Cloudy , Moderate Rain , Light Wind Blowing Cross Stream","Still the odd large tree flowing down the river, far side of river into trees and vegetation. Likely significant scour on site after water recedes.","Issues with bottom tracking, moving bed so VTG used. Some fairly large issues with mmnt, should be reviewed, but believed to be useable. Right after shooting water level a giant tree with root wad attached dragged over the orifice line. Unsure of first water level, shot second water level again, no confidence in the first water level, likely just need to remove it and align the stage data with the second water level and adjust the MGH using HG2 logged values. ADCP by Moving Boat",25.1,24.6,1.9,6.0,4.1,Provisional/Provisoire,11.3
07AF015,2023-06-20T23:35:00,-7,Stage/Niveau d'eau,1.877,,,,,,,,,HG: 1.919 HG2: 1.732 Surge: 0.075  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-05-17T20:44:00,-7,Discharge/Débit,,0.798,3.53,10.0,-0.054,0.0046,0.0046,"Measurement condition : Clear; Smokey , No Precipitation , Light Wind Blowing Cross Stream",Orifice in section control,"High quality FT2 wading mmnt, downstream  Seemed as though lower intake in well was flushing very slowly, couldn't verify if water was flushing, may still be ice affected, will need to flush next visit and verify. Does not appear to be recovering after 10 minutes. Mid-section",10.8,4.92,0.718,19.0,9.3,Provisional/Provisoire,7.31
07AF015,2023-05-17T20:35:00,-7,Stage/Niveau d'eau,0.8,,,,,,,,,GC: 0.000 HG: 0.818 HG2: 0.842 Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-05-01T23:48:30,-7,Discharge/Débit,,0.759,2.93,10.0,-0.0523,0.0515,0.0011999999,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind ",riffle section control,"ADJSUTED MGH FROM 0.760 M TO 0.759 M similar negative shift as in 2022. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ well frozen. same HG after purge. orifice tip on the low part of standing wave. possible SRC because of the topography of the water. seems to often have a SRC. hg raw 0.333. variation up and down of HG during mmt of 0.005 m. same cut on rod second wl Mid-section",10.5,4.29,0.683,20.0,4.0,Provisional/Provisoire,5.66
07AF015,2023-05-01T23:25:00,-7,Stage/Niveau d'eau,0.76,,,,,,,,,GC: 0.000 HG: 0.714 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-04-11T20:40:00,-7,Stage/Niveau d'eau,0.52,,,,,,,,,HG: 0.445 Found (FD),,,,,,Provisional/Provisoire,
07AF015,2023-03-09T20:04:30,-7,Discharge/Débit,,0.489,0.33,10.0,-0.0535,0.2861,-0.003,"Measurement condition : Ice; Clear , No Precipitation , Light Wind Blowing Cross Stream","Open at gauge, 50% ice cover","Chop and wade, good quality FT2 mmnt Lowered float onto ice, well isolated, thought is when water level rises it may start working. Resting on ice at 0.638m. Took a little while to settle after purge, constant reset. stable at .489m Mid-section",7.85,1.86,0.177,-10.0,0.0,Provisional/Provisoire,11.8
07AF015,2023-03-09T20:00:00,-7,Stage/Niveau d'eau,0.489,,,,,,,,,GC: 0.000 HG: 0.501 Found (FD),,,,,,Provisional/Provisoire,
07AF015,2022-10-28T17:08:00,-7,Discharge/Débit,,0.589,0.786,10.0,-0.0727,0.014099999,0.014099999,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable","No ice evident, section control",High quality FT2 wading mmnt.  HG2 encoder - well is isolated at 0.591/0.592 Pinned float at 0945 to 1.707 Mid-section,13.0,2.36,0.333,-1.0,3.9,Final/Finales,12.8
07AF015,2022-09-21T18:27:30,-7,Discharge/Débit,,0.638,1.17,10.0,-0.0741,-0.0137,-0.0137,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind Swirling/Variable",section,"High quality FT2 wade, no issues. Looks as though well is isolated at 0.666m, did not reset. Mid-section",13.7,3.3,0.353,6.0,7.9,Final/Finales,7.84
07AF015,2022-09-21T18:00:00,-7,Stage/Niveau d'eau,0.638,,,,,,,,,GC: 0.000 HG: 0.637 No Reset (NR),,,,,,Final/Finales,
07AF015,2022-08-17T16:30:00,-7,Stage/Niveau d'eau,0.691,,,,,,,,,GC: 0.000 HG: 0.673 HG2: 0.689 Found (FD),,,,,,Final/Finales,
07AF015,2022-08-17T16:11:00,-7,Discharge/Débit,,0.691,1.74,10.0,-0.0714,-0.0198,-0.0198,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind Swirling/Variable",section control,"Good mmnt, 2 panels over 10% Mid-section",9.0,3.72,0.467,12.0,11.2,Final/Finales,4.33
07AF015,2022-07-12T21:44:00,-7,Discharge/Débit,,0.927,7.63,10.0,-0.000526,0.1184,-0.0018000001,"Measurement condition : Clear; Clear , No Precipitation , Moderate Wind Blowing Downstream",Section control,High quality FT2 wading mmnt Mid-section,18.7,8.0,0.953,25.0,13.6,Final/Finales,4.39
