Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07AG003,DeleteRegion,HG,2026-01-21T10:35:00,2026-01-21T10:35:00,2026-01-26T14:43:33,-7,DR - Spike,,Normal
07AG003,CopyPaste,HG,2025-11-14T02:10:00,2026-01-07T23:10:00,2026-01-08T17:24:13,-7,"OC - C&P FROM LOGGEROverride: Copy & Paste‌Source Data Set: Stage.Logger@07AG003, time shift: 00:00 minutes.‌",,PreProcessing
07AG003,Drift,HG,2025-10-20T19:20:00,2026-01-07T23:10:00,2026-01-08T17:26:26,-7,"SRC - visit to visit, RESETDrift correction settings:‌Timestamp 1: 2025-10-20 12:20:00, Offset 1: 0‌Timestamp 2: 2026-01-07 16:10:00, Offset 2: 0.007‌","DriftPoints:(Offset:0,Time:2025-10-20T19:20:00Z);(Offset:0.007,Time:2026-01-07T23:10:00Z)",Normal
07AG003,AdjustableTrim,HG,2025-10-20T18:25:00,2025-10-20T20:05:00,2025-10-21T16:57:25,-7,DR: spikes during visit due to purge,"LowerThresholdPoints:(Time:2025-10-20T18:25:00Z,Value:1.1284710375181466);(Time:2025-10-20T20:05:00Z,Value:1.1284710375181466),UpperThresholdPoints:(Time:2025-10-20T18:25:00Z,Value:1.1374668829257493);(Time:2025-10-20T20:05:00Z,Value:1.1374668829257493),TrimAction:Delete",Normal
07AG003,DeleteRegion,HG,2025-09-16T00:20:00,2025-09-16T00:20:00,2025-09-16T16:39:42,-7,DR - invalid spike,,Normal
07AG003,DeleteRegion,HG,2025-09-15T22:45:00,2025-09-15T23:20:00,2025-09-16T16:37:35,-7,"DR - suspect orifice moving, INVALID",,Normal
07AG003,Drift,HG,2025-09-15T22:20:00,2025-10-20T19:15:00,2025-10-21T16:56:17,-7,"SRC visit to visitDrift correction settings:‌Timestamp 1: 2025-09-15 15:20:00, Offset 1: 0.16‌Timestamp 2: 2025-10-20 12:15:00, Offset 2: 0.146‌","DriftPoints:(Offset:0.16,Time:2025-09-15T22:20:00Z);(Offset:0.146,Time:2025-10-20T19:15:00Z)",Normal
07AG003,DeleteRegion,HG,2025-09-15T21:50:00,2025-09-15T22:15:00,2025-09-16T16:36:48,-7,"DR - suspect orifice moving, INVALID",,Normal
07AG003,Offset,HG,2025-09-15T20:45:00,2025-09-15T21:30:00,2025-09-16T16:36:17,-7,"SRC EST - orifice block settled, RESET",Offset:-0.004,Normal
07AG003,DeleteRegion,HG,2025-09-15T19:40:00,2025-09-15T20:40:00,2025-09-16T16:34:34,-7,DR - orifice maintenance,,Normal
07AG003,Deviation,HG,2025-08-15T18:15:00,2025-08-26T21:10:00,2025-08-26T22:36:17,-7,To trim spikes,"DeviationValue:0.01,DeviationType:DeviationFromMinimum,WindowSizeInMinutes:60",Normal
07AG003,AdjustableTrim,HG,2025-08-11T23:50:00,2025-08-12T06:55:00,2025-08-12T20:53:47,-7,DR - TRIMMED OUTLIERS,"UpperThresholdPoints:(Time:2025-08-11T23:50:00Z,Value:1.6970070329130305);(Time:2025-08-12T06:55:00Z,Value:1.6952955322669108),TrimAction:Delete",Normal
07AG003,DeleteRegion,HG,2025-08-11T20:40:00,2025-08-11T21:15:00,2025-08-12T20:54:35,-7,DR - PURGING AND MAINTENANCE,,Normal
07AG003,Drift,HG,2025-08-11T20:35:00,2025-09-15T19:35:00,2025-09-16T16:33:42,-7,"SRC - visit to visit, RESETDrift correction settings:‌Timestamp 1: 2025-08-11 13:35:00, Offset 1: 0‌Timestamp 2: 2025-09-15 12:35:00, Offset 2: -0.023‌","DriftPoints:(Offset:0,Time:2025-08-11T20:35:00Z);(Offset:-0.023,Time:2025-09-15T19:35:00Z)",Normal
07AG003,Offset,HG,2025-08-10T20:35:00,2025-08-11T04:45:00,2025-08-11T16:55:48,-7,SRC -EST - (-0.030m) Temporary rise in pressure and release.,Offset:-0.03,Normal
07AG003,AdjustableTrim,HG,2025-08-10T06:05:00,2025-08-11T07:50:00,2025-08-11T16:56:45,-7,DR - Trimmed spikes.,"UpperThresholdPoints:(Time:2025-08-10T06:05:00Z,Value:1.930261370574136);(Time:2025-08-10T19:40:19.267Z,Value:1.8549794253377834);(Time:2025-08-11T01:37:25.817Z,Value:1.8337460561685557);(Time:2025-08-11T05:56:17.094Z,Value:1.7936229602114593);(Time:2025-08-11T06:23:53.385Z,Value:1.7869272102745721);(Time:2025-08-11T06:52:47.315Z,Value:1.7778788995490489);(Time:2025-08-11T07:50:00Z,Value:1.7740509728684781),TrimAction:Delete",Normal
07AG003,Offset,HG,2025-07-11T02:55:00,2025-07-13T20:20:00,2025-08-12T20:49:50,-7,SRC EST - pressure drop and recover due to silting.,Offset:0.004,Normal
07AG003,Deviation,HG,2025-06-25T06:20:00,2025-07-06T02:55:00,2025-08-12T20:47:29,-7,DR - TRIMMED OUTLIERS DUE TO SILTING,"DeviationValue:0.004,DeviationType:DeviationFromAverage,WindowSizeInMinutes:60",Normal
07AG003,DeleteRegion,HG,2025-05-10T02:45:00,2025-05-10T03:00:00,2025-05-12T15:31:34,-7,Spike,,Normal
07AG003,CopyPaste,HG,2025-04-28T23:05:00,2025-06-16T19:55:00,2025-06-17T20:06:01,-7,"RFT - tx gap fillOverride: Copy & Paste‌Source Data Set: Stage.Logger@07AG003, time shift: 00:00 minutes.‌",,PreProcessing
07AG003,Drift,HG,2025-04-28T23:05:00,2025-06-16T19:55:00,2025-06-17T20:07:00,-7,SRC - visit to visit.,"DriftPoints:(Offset:0,Time:2025-04-28T23:05:00Z);(Offset:-0.007,Time:2025-06-16T19:55:00Z)",Normal
07AG003,DeleteRegion,HG,2025-04-28T22:05:00,2025-04-28T22:10:00,2025-04-29T17:39:15,-7,RFT - DR - purge,,Normal
07AG003,DeleteRegion,HG,2025-03-21T19:00:00,2025-03-21T19:00:00,2025-03-24T15:51:34,-7,SPIKE,,Normal
07AG003,DeleteRegion,HG,2025-03-13T02:45:00,2025-03-13T02:45:00,2025-03-24T15:52:31,-7,SPIKE,,Normal
07AG003,Drift,HG,2025-03-04T01:00:00,2025-04-28T22:00:00,2025-04-29T17:38:56,-7,SRC - visit to visit ,"DriftPoints:(Offset:0,Time:2025-03-04T01:00:00Z);(Offset:-0.006,Time:2025-04-28T22:00:00Z)",Normal
07AG003,CopyPaste,QR,2025-03-04T00:40:00,2025-04-19T13:00:00,2025-05-08T18:55:53,-7,ICEOverride: Moving Average Filter‌Window: 400.‌Iterations: 1.‌,,Normal
07AG003,DeleteRegion,HG,2025-01-29T02:20:00,2025-01-29T02:20:00,2025-02-10T16:32:07,-7,Spike,,Normal
07AG003,CopyPaste,QR,2025-01-27T23:40:00,2025-03-04T00:35:00,2025-03-20T23:04:45,-7,ICEOverride: Linear‌Q(t) = (0.000057080566841740215)t + 0.634‌,,Normal
07AG003,Offset,HG,2025-01-27T23:05:00,2025-01-27T23:55:00,2025-01-28T16:49:10,-7,"SRC during visit, logger initially set to suspect DWL",Offset:0.006,Normal
07AG003,CopyPaste,HG,2024-12-12T17:50:00,2025-01-27T23:05:00,2025-01-28T16:46:44,-7,"OC: Gap fillOverride: Copy & Paste‌Source Data Set: Stage.Logger@07AG003, time shift: 00:00 minutes.‌",,PreProcessing
07AG003,Drift,HG,2024-12-12T17:30:00,2025-01-27T23:00:00,2025-01-28T16:48:03,-7,SRC: visit to visit (using second DWL as field tech indicated first DWL was suspect),"DriftPoints:(Offset:0,Time:2024-12-12T17:30:00Z);(Offset:-0.005,Time:2025-01-27T23:00:00Z)",Normal
07AG003,CopyPaste,QR,2024-12-12T17:15:00,2025-01-27T23:35:00,2025-02-03T23:34:01,-7,ICEOverride: Linear‌Q(t) = (-0.006462924046832784)t + 0.933‌,,Normal
07AG003,CopyPaste,QR,2024-10-30T03:45:00,2024-12-12T17:15:00,2024-12-16T21:23:13,-7,ICEOverride: Moving Average Filter‌Window: 15.‌Iterations: 1.‌with freehand adjustment‌,,Normal
07AG003,Offset,HG,2024-10-21T18:20:00,2024-10-21T18:30:00,2024-10-22T16:57:29,-7,SRC (0.004m) RESET AFTER PURGE,Offset:0.004,Normal
07AG003,DeleteRegion,HG,2024-10-21T18:15:00,2024-10-21T18:15:00,2024-10-22T16:57:10,-7,DR - PURGE,,Normal
