STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07BC007,H,2012,H,8.0,4,3,0,46,MST,2.385999917984009,,Maximum
07BC007,H,2013,H,8.0,4,28,2,1,MST,3.1700000762939453,,Maximum
07BC007,H,2014,H,8.0,4,7,22,31,MST,2.6600000858306885, ,Maximum
07BC007,H,2015,H,8.0,3,17,1,6,MST,2.559999942779541, ,Maximum
07BC007,H,2016,H,8.0,8,23,15,41,MST,2.720999956130981, ,Maximum
07BC007,H,2017,H,8.0,4,2,7,16,MST,2.7320001125335693, ,Maximum
07BC007,H,2020,H,8.0,4,19,18,10,MST,6.61899995803833, ,Maximum
07BC007,H,2022,H,8.0,4,6,0,5,MST,5.697999954223633, ,Maximum
07BC007,H,2023,H,8.0,4,9,18,5,MST,4.910999774932861, ,Maximum
07BC007,H,2023,L,8.0,3,5,8,0,MST,3.6570000648498535, ,Minimum
07BC007,Q,1980,H,,4,6,10,55,MST,4.369999885559082,B,Maximum
07BC007,Q,1981,H,,3,29,6,0,MST,12.5,,Maximum
07BC007,Q,1982,H,,4,24,18,35,MST,35.29999923706055,,Maximum
07BC007,Q,1983,H,,6,26,7,0,MST,5.630000114440918,,Maximum
07BC007,Q,1985,H,,4,3,17,25,MST,22.399999618530277,,Maximum
07BC007,Q,1987,H,,4,9,22,36,MST,9.960000038146973,,Maximum
07BC007,Q,1988,H,,7,7,7,30,MST,4.900000095367432,,Maximum
07BC007,Q,1994,H,,4,11,2,23,MST,11.100000381469728,,Maximum
07BC007,Q,1995,H,,10,4,18,43,MST,1.7999999523162842,,Maximum
07BC007,Q,1996,H,,4,9,0,14,MST,23.100000381469727,B,Maximum
07BC007,Q,1997,H,,4,18,1,0,MST,46.29999923706055,,Maximum
07BC007,Q,1999,L,,3,2,0,0,MST,0.0,B,Minimum
07BC007,Q,2000,H,,4,30,18,1,MST,0.4839999973773956, ,Maximum
07BC007,Q,2000,L,,2,29,0,0,MST,0.0,B,Minimum
07BC007,Q,2001,H,,7,29,23,0,MST,0.1679999977350235, ,Maximum
07BC007,Q,2001,L,,2,26,0,0,MST,0.0,B,Minimum
07BC007,Q,2002,H,,4,22,10,30,MST,3.4600000381469727,B,Maximum
07BC007,Q,2002,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2003,H,,4,13,20,30,MST,14.899999618530272,B,Maximum
07BC007,Q,2003,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2004,H,,4,6,1,25,MST,8.9399995803833,B,Maximum
07BC007,Q,2004,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2005,H,,3,9,23,25,MST,9.550000190734863,B,Maximum
07BC007,Q,2005,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2006,L,,2,27,0,0,MST,0.0,B,Minimum
07BC007,Q,2007,H,,5,5,16,55,MST,13.0, ,Maximum
07BC007,Q,2007,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2008,H,,5,1,19,25,MST,2.0799999237060547, ,Maximum
07BC007,Q,2008,L,,2,25,0,0,MST,0.0,B,Minimum
07BC007,Q,2009,H,,4,12,18,26,MST,6.190000057220459, ,Maximum
07BC007,Q,2009,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2010,H,,9,7,14,1,MST,2.7799999713897705, ,Maximum
07BC007,Q,2010,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2011,H,,4,14,21,46,MST,8.329999923706055,B,Maximum
07BC007,Q,2011,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2012,H,,4,15,18,46,MST,4.179999828338623,,Maximum
07BC007,Q,2012,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2013,H,,4,27,23,16,MST,17.600000381469727,,Maximum
07BC007,Q,2013,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2014,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2016,H,,8,23,16,1,MST,11.100000381469728, ,Maximum
07BC007,Q,2016,L,,4,13,3,36,MST,0.0, ,Minimum
07BC007,Q,2017,H,,6,15,19,36,MST,8.729999542236328, ,Maximum
07BC007,Q,2018,L,,3,1,0,0,MST,0.0,B,Minimum
07BC007,Q,2020,H,,4,19,18,10,MST,27.5,E,Maximum
