STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07BJ001,H,2012,H,8.0,7,25,8.0,15.0,MST,588.572021484375,,Maximum
07BJ001,H,2012,L,8.0,10,1,1.0,30.0,MST,583.052978515625,,Minimum
07BJ001,H,2013,H,8.0,6,26,19.0,0.0,MST,589.0999755859375,,Maximum
07BJ001,H,2014,H,8.0,4,24,4.0,45.0,MST,586.47802734375,,Maximum
07BJ001,H,2015,H,8.0,4,23,14.0,0.0,MST,585.2509765625,,Maximum
07BJ001,H,2015,L,8.0,11,12,23.0,50.0,MST,582.9089965820312,,Minimum
07BJ001,H,2016,H,8.0,6,17,23.0,30.0,MST,587.6420288085938,,Maximum
07BJ001,H,2016,L,8.0,12,18,8.0,5.0,MST,583.052978515625,,Minimum
07BJ001,H,2017,H,8.0,5,14,1.0,50.0,MST,587.552978515625, ,Maximum
07BJ001,H,2017,L,8.0,9,8,21.0,55.0,MST,582.8369750976562, ,Minimum
07BJ001,H,2018,H,8.0,6,13,8.0,35.0,MST,590.7440185546875,,Maximum
07BJ001,H,2018,L,8.0,8,25,1.0,40.0,MST,583.0689697265625,,Minimum
07BJ001,H,2019,H,8.0,7,26,5.0,40.0,MST,590.8489990234375, ,Maximum
07BJ001,H,2020,H,8.0,6,8,15.0,30.0,MST,588.27001953125, ,Maximum
07BJ001,H,2021,H,8.0,5,29,3.0,10.0,MST,589.0670166015625, ,Maximum
07BJ001,H,2021,L,8.0,8,23,5.0,30.0,MST,582.802978515625, ,Minimum
07BJ001,H,2022,H,8.0,6,18,19.0,15.0,MST,587.6790161132812, ,Maximum
07BJ001,H,2023,H,8.0,6,20,17.0,5.0,MST,589.2659912109375, ,Maximum
07BJ001,H,2023,L,8.0,11,14,3.0,55.0,MST,582.64501953125, ,Minimum
07BJ001,H,2024,H,8.0,7,27,6.0,50.0,MST,589.5999755859375, ,Maximum
07BJ001,H,2024,L,8.0,4,22,2.0,40.0,MST,582.7109985351562, ,Minimum
07BJ001,Q,1961,H,,7,1,,,,351.0,E,Maximum
07BJ001,Q,1962,H,,5,20,17.0,0.0,MST,188.0,,Maximum
07BJ001,Q,1966,H,,8,29,13.0,15.0,MST,116.0,,Maximum
07BJ001,Q,1967,H,,5,18,13.0,0.0,MST,91.5,,Maximum
07BJ001,Q,1968,H,,6,13,15.0,30.0,MST,182.0,,Maximum
07BJ001,Q,1969,H,,9,6,5.0,0.0,MST,167.0,,Maximum
07BJ001,Q,1970,H,,6,29,18.0,0.0,MST,213.0,,Maximum
07BJ001,Q,1971,H,,7,4,11.0,30.0,MST,334.0,,Maximum
07BJ001,Q,1972,H,,6,18,23.0,30.0,MST,232.0,A,Maximum
07BJ001,Q,1973,H,,6,17,6.0,30.0,MST,189.0,,Maximum
07BJ001,Q,1974,H,,7,14,3.0,0.0,MST,257.0,A,Maximum
07BJ001,Q,1975,H,,6,29,0.0,30.0,MST,343.0,A,Maximum
07BJ001,Q,1976,H,,8,28,4.0,0.0,MST,294.0,,Maximum
07BJ001,Q,1977,H,,7,7,9.0,30.0,MST,216.0,,Maximum
07BJ001,Q,1978,H,,9,18,8.0,0.0,MST,225.0,,Maximum
07BJ001,Q,1979,H,,7,2,0.0,30.0,MST,362.0,A,Maximum
07BJ001,Q,1980,H,,9,18,3.0,0.0,MST,92.8000030517578,,Maximum
07BJ001,Q,1981,H,,7,23,6.0,30.0,MST,97.1999969482422,,Maximum
07BJ001,Q,1982,H,,8,4,14.0,0.0,MST,200.0,,Maximum
07BJ001,Q,1983,H,,6,26,15.0,30.0,MST,571.0,,Maximum
07BJ001,Q,1984,H,,6,8,13.0,30.0,MST,257.0,,Maximum
07BJ001,Q,1985,H,,6,25,8.0,0.0,MST,182.0,,Maximum
07BJ001,Q,1986,H,,7,19,2.0,30.0,MST,332.0,,Maximum
07BJ001,Q,1987,H,,8,1,15.0,0.0,MST,125.0,,Maximum
07BJ001,Q,1988,H,,7,7,13.0,30.0,MST,654.0,,Maximum
07BJ001,Q,1989,H,,8,5,1.0,0.0,MST,354.0,,Maximum
07BJ001,Q,1990,H,,6,13,15.0,30.0,MST,176.0,,Maximum
07BJ001,Q,1991,H,,5,15,2.0,0.0,MST,366.0,,Maximum
07BJ001,Q,1992,H,,6,4,2.0,30.0,MST,141.0,,Maximum
07BJ001,Q,1994,H,,6,15,11.0,0.0,MST,318.0,,Maximum
07BJ001,Q,1995,H,,8,9,11.0,36.0,MST,177.0,,Maximum
07BJ001,Q,1996,H,,6,19,23.0,25.0,MST,673.0,,Maximum
07BJ001,Q,1997,H,,6,24,9.0,52.0,MST,158.0,,Maximum
07BJ001,Q,1998,H,,6,29,6.0,15.0,MST,69.69999694824219,,Maximum
