STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07CA012,H,2012,H,8.0,7,10,11,16,MST,7.09499979019165,,Maximum
07CA012,H,2013,H,8.0,6,15,7,31,MST,7.567999839782715,,Maximum
07CA012,H,2014,H,8.0,4,25,8,31,MST,7.144000053405762,,Maximum
07CA012,H,2015,H,8.0,4,13,11,30,MST,7.10099983215332,,Maximum
07CA012,H,2016,H,8.0,6,15,3,15,MST,7.400000095367432,,Maximum
07CA012,H,2017,H,8.0,5,20,12,40,MST,7.25,,Maximum
07CA012,H,2020,H,8.0,6,9,22,25,MST,8.501999855041504, ,Maximum
07CA012,H,2021,H,8.0,5,22,20,0,MST,7.079999923706055, ,Maximum
07CA012,H,2022,H,8.0,5,10,17,20,MST,7.177000045776367, ,Maximum
07CA012,H,2023,H,8.0,8,14,21,5,MST,7.051000118255615, ,Maximum
07CA012,H,2024,H,8.0,6,17,12,25,MST,7.158999919891357, ,Maximum
07CA012,Q,1985,H,,5,7,17,29,MST,77.30000305175781,,Maximum
07CA012,Q,1986,H,,7,21,18,49,MST,67.80000305175781,,Maximum
07CA012,Q,1987,H,,4,9,10,48,MST,4.380000114440918,B,Maximum
07CA012,Q,1988,H,,4,18,16,36,MST,4.130000114440918,,Maximum
07CA012,Q,1989,H,,6,12,6,33,MST,4.059999942779541,,Maximum
07CA012,Q,1990,H,,4,28,18,27,MST,9.729999542236328,,Maximum
07CA012,Q,1991,H,,6,17,15,16,MST,6.050000190734863,,Maximum
07CA012,Q,1992,H,,6,6,4,54,MST,3.130000114440918,,Maximum
07CA012,Q,1995,H,,8,16,19,53,MST,17.0,,Maximum
07CA012,Q,1996,H,,8,10,11,22,MST,10.699999809265137,,Maximum
07CA012,Q,1997,H,,6,27,11,15,MST,37.79999923706055,,Maximum
07CA012,Q,1998,H,,7,23,7,0,MST,4.53000020980835,,Maximum
07CA012,Q,1999,L,,10,31,1,50,MST,0.06800000369548798,B,Minimum
07CA012,Q,2000,H,,7,15,3,31,MST,9.18000030517578, ,Maximum
07CA012,Q,2001,H,,7,3,22,51,MST,3.670000076293945, ,Maximum
07CA012,Q,2002,H,,7,25,6,1,MST,2.619999885559082, ,Maximum
07CA012,Q,2003,H,,7,9,16,56,MST,5.739999771118164, ,Maximum
07CA012,Q,2004,H,,6,4,13,26,MST,10.199999809265137, ,Maximum
07CA012,Q,2005,H,,5,23,18,21,MST,14.699999809265137, ,Maximum
07CA012,Q,2006,H,,7,16,11,46,MST,7.369999885559082, ,Maximum
07CA012,Q,2007,H,,5,13,15,1,MST,16.600000381469727, ,Maximum
07CA012,Q,2008,H,,8,18,3,16,MST,19.100000381469727, ,Maximum
07CA012,Q,2009,H,,4,22,21,16,MST,17.399999618530273, ,Maximum
07CA012,Q,2010,H,,6,9,11,16,MST,6.630000114440918, ,Maximum
07CA012,Q,2011,H,,6,30,6,46,MST,5.920000076293945, ,Maximum
07CA012,Q,2012,H,,7,10,11,16,MST,5.789999961853027,,Maximum
07CA012,Q,2013,H,,6,15,7,31,MST,17.0,,Maximum
07CA012,Q,2014,H,,6,4,14,31,MST,7.46999979019165,,Maximum
07CA012,Q,2015,H,,4,25,9,45,MST,4.75,,Maximum
07CA012,Q,2016,H,,6,15,3,15,MST,12.699999809265137,,Maximum
07CA012,Q,2017,H,,5,20,12,40,MST,10.199999809265137,,Maximum
07CA012,Q,2018,H,,4,29,17,30,MST,14.800000190734863, ,Maximum
07CA012,Q,2019,H,,7,2,14,0,MST,5.199999809265137,,Maximum
07CA012,Q,2020,H,,6,9,22,25,MST,41.400001525878906,E,Maximum
07CA012,Q,2021,H,,5,22,20,0,MST,6.610000133514404, ,Maximum
07CA012,Q,2022,H,,8,9,15,50,MST,7.110000133514404, ,Maximum
07CA012,Q,2023,H,,8,15,6,15,MST,5.809999942779541, ,Maximum
07CA012,Q,2024,H,,6,17,12,25,MST,7.920000076293945, ,Maximum
