STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07DA029,H,2018,H,8.0,4,18,9,5,MST,281.9079895019531,,Maximum
07DA029,H,2018,L,8.0,8,16,4,35,MST,280.802001953125,,Minimum
07DA029,H,2019,H,8.0,8,26,17,25,MST,281.9280090332031, ,Maximum
07DA029,H,2020,H,8.0,7,20,17,40,MST,282.4159851074219, ,Maximum
07DA029,H,2020,L,8.0,4,12,21,20,MST,281.0840148925781, ,Minimum
07DA029,H,2021,H,8.0,4,22,7,35,MST,282.0580139160156, ,Maximum
07DA029,H,2021,L,8.0,7,9,22,40,MST,281.02899169921875, ,Minimum
07DA029,H,2022,H,8.0,5,14,13,15,MST,282.10400390625, ,Maximum
07DA029,H,2022,L,8.0,6,30,19,35,MST,281.3949890136719, ,Minimum
07DA029,H,2023,H,8.0,6,26,16,20,MST,282.1430053710937, ,Maximum
07DA029,H,2023,L,8.0,3,5,7,15,MST,281.8280029296875, ,Minimum
07DA029,H,2024,H,8.0,5,7,2,35,MST,282.1730041503906, ,Maximum
07DA029,H,2024,L,8.0,9,25,3,10,MST,280.9530029296875, ,Minimum
07DA029,Q,2018,H,,5,7,2,15,MST,5.070000171661377,,Maximum
07DA029,Q,2018,L,,8,16,4,35,MST,0.03799999877810478,,Minimum
07DA029,Q,2019,H,,8,26,17,25,MST,3.5899999141693115, ,Maximum
07DA029,Q,2020,H,,7,20,17,40,MST,9.170000076293944, ,Maximum
07DA029,Q,2021,H,,4,22,7,35,MST,6.929999828338623, ,Maximum
07DA029,Q,2021,L,,8,25,0,50,MST,0.04800000041723251, ,Minimum
07DA029,Q,2022,H,,5,14,13,15,MST,6.869999885559082, ,Maximum
07DA029,Q,2022,L,,9,18,22,45,MST,0.03999999910593033, ,Minimum
07DA029,Q,2023,H,,6,26,16,20,MST,3.3499999046325684, ,Maximum
07DA029,Q,2023,L,,9,26,17,45,MST,0.13699999451637268, ,Minimum
07DA029,Q,2024,H,,6,19,12,5,MST,4.460000038146973, ,Maximum
