STATION_NUMBER,date,water_level_m,quality_symbol
07EA007,2011-01-01,7.666999816894531,
07EA007,2011-02-01,7.59499979019165,
07EA007,2011-03-01,7.486000061035156,
07EA007,2011-04-01,7.27400016784668,
07EA007,2011-05-01,7.229000091552734,
07EA007,2011-06-01,8.23799991607666,
07EA007,2011-07-01,7.956999778747559,
07EA007,2011-08-01,7.848000049591064,
07EA007,2011-09-01,7.714000225067139,
07EA007,2011-10-01,7.801000118255615,
07EA007,2011-11-01,7.431000232696533,
07EA007,2011-12-01,8.28499984741211,
07EA007,2012-01-01,7.686999797821045,
07EA007,2012-02-01,7.71999979019165,
07EA007,2012-03-01,7.567999839782715,
07EA007,2012-04-01,7.298999786376953,
07EA007,2012-05-01,7.334000110626221,
07EA007,2012-06-01,8.097000122070312,
07EA007,2012-07-01,8.180000305175781,
07EA007,2012-08-01,7.804999828338623,
07EA007,2012-09-01,7.598000049591064,
07EA007,2012-10-01,7.446000099182129,
07EA007,2012-11-01,7.828000068664551,
07EA007,2012-12-01,7.76200008392334,
07EA007,2013-01-01,7.735000133514404,
07EA007,2013-02-01,7.796000003814697,
07EA007,2013-03-01,7.629000186920166,
07EA007,2013-04-01,7.414000034332275,
07EA007,2013-05-01,7.1479997634887695,
07EA007,2013-06-01,8.564000129699707,
07EA007,2013-07-01,8.277999877929688,
07EA007,2013-08-01,7.859000205993652,
07EA007,2013-09-01,7.754000186920166,
07EA007,2013-10-01,7.520999908447266,
07EA007,2013-11-01,7.434000015258789,
07EA007,2013-12-01,7.632999897003174,
07EA007,2014-01-01,7.756999969482422,
07EA007,2014-02-01,7.51200008392334,
07EA007,2014-03-01,7.564000129699707,
07EA007,2014-04-01,7.551000118255615,
07EA007,2014-05-01,7.40500020980835,
07EA007,2014-06-01,8.321000099182129,
07EA007,2014-07-01,8.04800033569336,
07EA007,2014-08-01,7.688000202178955,
07EA007,2014-09-01,7.489999771118164,
07EA007,2014-10-01,7.472000122070312,
07EA007,2014-11-01,7.466000080108643,
07EA007,2014-12-01,7.664000034332275,
07EA007,2015-01-01,7.605000019073486,
07EA007,2015-02-01,7.48199987411499,
07EA007,2015-03-01,7.465000152587891,
07EA007,2015-04-01,7.171999931335449,
07EA007,2015-05-01,7.363999843597412,
07EA007,2015-06-01,8.067999839782715,
07EA007,2015-07-01,7.833000183105469,
07EA007,2015-08-01,7.782999992370605,
07EA007,2015-09-01,7.800000190734863,
07EA007,2015-10-01,7.748000144958496,
07EA007,2015-11-01,7.609000205993652,
07EA007,2015-12-01,8.407999992370605,
07EA007,2016-01-01,8.013999938964844,
07EA007,2016-02-01,7.565999984741211,
07EA007,2016-03-01,7.330999851226807,
07EA007,2016-04-01,7.22599983215332,
07EA007,2016-05-01,7.675000190734863,
07EA007,2016-06-01,8.125,
07EA007,2016-07-01,8.0600004196167,
07EA007,2016-08-01,7.776999950408935,
07EA007,2016-09-01,7.65500020980835,
07EA007,2016-10-01,7.675000190734863,
07EA007,2016-11-01,7.401999950408935,
07EA007,2016-12-01,7.932000160217285,
07EA007,2017-01-01,7.84600019454956,
07EA007,2017-02-01,7.627999782562256,
07EA007,2017-03-01,7.60099983215332,
