Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
07EA007,2024-06-25T18:35:00,-8,Stage/Niveau d'eau,8.206,,,,,,,,,GC: 0.000 HG: 8.209 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
07EA007,2024-06-25T17:52:00,-8,Discharge/Débit,,8.206,90.9,30.0,0.0218,0.041199997,0.041199997,"Measurement condition : Clear; Cloudy , No Precipitation , Very Light Wind Blowing Upstream",,"Used a 50 lb wt but probably should have been 100 lb.   HFC Comments: Control Condition: CLERMeasurement Section Codition: ClearWeather Condition: OvecastWind Velocity: 5 Mid-section TECH: Trimble times were one hour behind. Adjusted start, end, and mmt mean times.",52.8,55.3,1.64,14.1,7.9,Provisional/Provisoire,
07EA007,2024-06-25T17:50:00,-8,Stage/Niveau d'eau,8.206,,,,,,,,,GC: 0.000 HG: 8.209 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
07EA007,2024-06-25T17:40:00,-8,Stage/Niveau d'eau,8.206,,,,,,,,,GC: 0.000 HG: 8.213 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
07EA007,2024-06-25T17:15:00,-8,Stage/Niveau d'eau,8.206,,,,,,,,,GC: 0.000 HG: 8.174 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
07EA007,2024-06-25T16:52:30,-8,Discharge/Débit,,8.206,90.9,30.0,0.0218,0.041199997,0.041199997,"Measurement condition : Clear; Cloudy , No Precipitation , Very Light Wind Blowing Upstream",,Used a 50 lb wt but probably should have been 100 lb.   HFC Comments: Control Condition: CLERMeasurement Section Codition: ClearWeather Condition: OvecastWind Velocity: 5 Mid-section,52.8,55.3,1.64,14.1,7.9,Provisional/Provisoire,
07EA007,2024-05-08T17:25:00,-8,Stage/Niveau d'eau,7.52,,,,,,,,,GC: 0.000 HG: 7.520 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
07EA007,2024-05-08T17:02:30,-8,Discharge/Débit,,7.52,17.3,30.0,0.011,0.0355,0.0355,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Upstream",,HFC Comments: Control Condition: CLERMeasurement Section Codition: ClearWeather Condition: Ovecast Mid-section,33.0,20.9,0.826,9.3,4.3,Provisional/Provisoire,
07EA007,2024-05-08T16:40:00,-8,Stage/Niveau d'eau,7.52,,,,,,,,,GC: 0.000 HG: 7.519 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
07EA007,2024-05-08T16:25:00,-8,Stage/Niveau d'eau,7.52,,,,,,,,,GC: 0.000 HG: 7.535 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
