STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07FB001,H,2011,H,8.0,5,23,21,46,PST,6.953000068664551, ,Maximum
07FB001,H,2012,H,8.0,2,7,0,26,PST,7.64300012588501, ,Maximum
07FB001,H,2012,L,8.0,1,16,22,31,PST,1.4630000591278076, ,Minimum
07FB001,H,2013,H,8.0,5,13,16,56,PST,5.681000232696533, ,Maximum
07FB001,H,2014,L,8.0,9,19,13,40,PST,1.5759999752044678, ,Minimum
07FB001,H,2015,H,8.0,3,30,21,15,PST,5.064000129699707, ,Maximum
07FB001,H,2015,L,8.0,8,29,11,45,PST,1.6410000324249268, ,Minimum
07FB001,H,2016,H,8.0,6,16,4,0,PST,7.497000217437744, ,Maximum
07FB001,H,2016,L,8.0,8,21,0,30,PST,1.6430000066757202, ,Minimum
07FB001,H,2017,H,8.0,6,10,21,50,PST,6.727000236511231, ,Maximum
07FB001,H,2017,L,8.0,9,9,0,40,PST,1.5499999523162842, ,Minimum
07FB001,H,2018,H,8.0,4,28,15,25,PST,7.676000118255615, ,Maximum
07FB001,H,2018,L,8.0,10,11,16,35,PST,1.5889999866485596, ,Minimum
07FB001,H,2019,H,8.0,12,4,6,35,PST,5.507999897003174, ,Maximum
07FB001,H,2019,L,8.0,3,5,19,20,PST,2.0480000972747803, ,Minimum
07FB001,H,2020,H,8.0,4,22,0,45,PST,7.214000225067139, ,Maximum
07FB001,H,2020,L,8.0,10,25,7,5,PST,1.5410000085830688, ,Minimum
07FB001,H,2021,H,8.0,11,22,16,35,PST,6.102000236511231, ,Maximum
07FB001,H,2021,L,8.0,9,9,10,5,PST,1.5329999923706057, ,Minimum
07FB001,H,2022,H,8.0,5,29,6,15,PST,5.671999931335449, ,Maximum
07FB001,H,2022,L,8.0,11,3,10,55,PST,1.2799999713897705, ,Minimum
07FB001,H,2023,H,8.0,5,16,17,25,PST,5.186999797821045, ,Maximum
07FB001,H,2023,L,8.0,9,24,9,40,PST,1.3550000190734863, ,Minimum
07FB001,H,2024,L,8.0,9,18,16,55,PST,1.3830000162124634, ,Minimum
07FB001,Q,1978,H,,11,2,11,10,PST,898.0,,Maximum
07FB001,Q,1979,H,,5,27,20,55,PST,1480.0,,Maximum
07FB001,Q,1982,H,,7,15,15,29,PST,2770.0,,Maximum
07FB001,Q,1983,H,,7,15,11,10,PST,1490.0,,Maximum
07FB001,Q,1984,H,,6,13,14,39,PST,999.0,,Maximum
07FB001,Q,1985,H,,5,31,21,38,PST,1010.0,,Maximum
07FB001,Q,1986,H,,5,28,0,3,PST,1640.0,,Maximum
07FB001,Q,1987,H,,8,2,5,13,PST,2220.0,,Maximum
07FB001,Q,1988,H,,6,7,7,0,PST,1160.0,,Maximum
07FB001,Q,1989,H,,5,8,18,13,PST,1060.0,,Maximum
07FB001,Q,1990,H,,6,13,1,29,PST,4000.0,,Maximum
07FB001,Q,1991,H,,5,14,12,22,PST,1200.0,,Maximum
07FB001,Q,1992,H,,6,2,14,34,PST,886.0,,Maximum
07FB001,Q,1993,H,,5,14,14,23,PST,1020.0,,Maximum
07FB001,Q,1994,H,,6,14,9,45,PST,1630.0,,Maximum
07FB001,Q,1995,H,,5,16,10,52,PST,1190.0,,Maximum
07FB001,Q,1997,H,,5,17,7,53,PST,1740.0,,Maximum
07FB001,Q,1998,H,,5,27,17,0,PST,854.0,,Maximum
07FB001,Q,1999,H,,5,26,3,0,PST,1350.0,E,Maximum
07FB001,Q,1999,L,,3,8,0,0,PST,22.100000381469727,B,Minimum
07FB001,Q,2000,H,,7,4,1,0,PST,1050.0, ,Maximum
07FB001,Q,2000,L,,2,16,0,0,PST,22.0,B,Minimum
07FB001,Q,2001,H,,7,21,5,33,PST,2540.0, ,Maximum
07FB001,Q,2001,L,,3,27,0,0,PST,20.700000762939453,B,Minimum
07FB001,Q,2002,H,,6,18,8,30,PST,1780.0, ,Maximum
07FB001,Q,2002,L,,3,19,0,0,PST,18.299999237060547,B,Minimum
07FB001,Q,2003,H,,5,25,23,40,PST,1260.0, ,Maximum
07FB001,Q,2003,L,,3,10,0,0,PST,17.5,B,Minimum
07FB001,Q,2004,H,,6,7,21,55,PST,1560.0, ,Maximum
07FB001,Q,2005,H,,5,17,11,10,PST,1170.0, ,Maximum
07FB001,Q,2006,H,,5,24,18,5,PST,810.0, ,Maximum
07FB001,Q,2007,H,,6,5,12,10,PST,2210.0, ,Maximum
07FB001,Q,2008,H,,5,19,9,5,PST,1470.0, ,Maximum
07FB001,Q,2009,H,,7,8,13,35,PST,2410.0, ,Maximum
07FB001,Q,2010,H,,5,20,20,55,PST,1020.0, ,Maximum
07FB001,Q,2011,H,,5,23,21,46,PST,2560.0, ,Maximum
07FB001,Q,2012,H,,6,8,10,31,PST,1690.0, ,Maximum
07FB001,Q,2013,H,,5,13,16,11,PST,1660.0, ,Maximum
07FB001,Q,2015,H,,5,24,17,30,PST,1130.0, ,Maximum
07FB001,Q,2016,H,,6,16,4,0,PST,3030.0, ,Maximum
07FB001,Q,2017,H,,6,10,21,50,PST,2390.0, ,Maximum
07FB001,Q,2018,H,,7,22,0,0,PST,2100.0, ,Maximum
07FB001,Q,2019,H,,5,30,17,20,PST,937.0, ,Maximum
07FB001,Q,2021,H,,6,3,14,50,PST,1490.0, ,Maximum
07FB001,Q,2022,H,,5,29,6,15,PST,1650.0, ,Maximum
07FB001,Q,2023,H,,5,16,17,25,PST,1350.0, ,Maximum
07FB001,Q,2024,H,,10,9,18,35,PST,476.0, ,Maximum
