Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07FB001,CopyPaste,QR,2025-11-25T13:50:00,2026-02-28T08:00:00,2025-12-01T16:35:30,-8,OC - PRELIMINARY ICEOverride: Log Linear‌Q(t) = 91.92402542112768e^(-0.010190433739834215t)‌,,Normal
07FB001,DeleteRegion,HG,2025-10-28T03:35:00,2025-10-28T03:35:00,2025-11-28T15:29:38,-8,DR - Invalid stage.,,Normal
07FB001,CopyPaste,HG,2025-10-23T00:30:00,2025-11-27T14:50:00,2025-11-28T15:25:48,-8,"OC - C&P logger data.Override: Copy & Paste‌Source Data Set: Stage.Logger@07FB001, time shift: 00:00 minutes.‌",,PreProcessing
07FB001,Deviation,HG,2025-10-22T02:05:00,2025-11-01T10:00:00,2025-10-24T15:57:31,-8,Tx spike management until next visit,"DeviationValue:0.05,DeviationType:DeviationFromAverage,WindowSizeInMinutes:60",Normal
07FB001,CopyPaste,HG,2025-10-22T00:35:00,2025-10-22T16:20:00,2025-10-24T16:03:11,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@07FB001, time shift: 00:00 minutes.‌",,PreProcessing
07FB001,Offset,HG,2025-10-21T23:55:00,2025-10-22T00:15:00,2025-10-24T15:56:53,-8,SRC - during visit,Offset:-0.005,Normal
07FB001,CopyPaste,HG,2025-10-21T22:50:00,2025-10-22T00:30:00,2025-10-24T15:54:26,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@07FB001, time shift: 00:00 minutes.‌",,PreProcessing
07FB001,DeleteRegion,HG,2025-10-21T22:00:00,2025-10-21T22:00:00,2025-10-24T15:56:32,-8,DR - invalid,,Normal
07FB001,AdjustableTrim,HG,2025-10-21T22:00:00,2025-10-22T01:20:00,2025-10-24T15:52:58,-8,DR - invalid,"UpperThresholdPoints:(Time:2025-10-21T22:00:00Z,Value:71377.00332435472);(Time:2025-10-22T01:20:00Z,Value:71377.00332435472),TrimAction:Delete",Normal
07FB001,AdjustableTrim,HG,2025-10-21T21:35:00,2025-10-21T22:00:00,2025-10-24T15:55:15,-8,DR - purge,"LowerThresholdPoints:(Time:2025-10-21T21:35:00Z,Value:1.73454630446637);(Time:2025-10-21T22:00:00Z,Value:1.73454630446637),TrimAction:Delete",Normal
