STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07FD007,H,2011,H,8.0,7,9,22,40,PST,15.890000343322754, ,Maximum
07FD007,H,2011,L,8.0,8,28,14,15,PST,10.324999809265137, ,Minimum
07FD007,H,2012,H,8.0,6,8,12,40,PST,11.621999740600586, ,Maximum
07FD007,H,2012,L,8.0,8,13,13,40,PST,10.222999572753906, ,Minimum
07FD007,H,2013,H,8.0,8,25,9,10,PST,14.618000030517578, ,Maximum
07FD007,H,2016,H,8.0,6,16,12,35,PST,16.20400047302246, ,Maximum
07FD007,H,2017,L,8.0,8,23,15,45,PST,9.914999961853027, ,Minimum
07FD007,H,2018,H,8.0,4,25,19,30,PST,13.232000350952148, ,Maximum
07FD007,H,2019,H,8.0,11,17,23,15,PST,11.895000457763672, ,Maximum
07FD007,H,2019,L,8.0,9,25,11,55,PST,10.30500030517578, ,Minimum
07FD007,H,2020,H,8.0,7,3,23,0,PST,13.357000350952148, ,Maximum
07FD007,H,2021,H,8.0,3,27,0,0,PST,11.07800006866455, ,Maximum
07FD007,H,2021,L,8.0,8,20,22,15,PST,10.154000282287598, ,Minimum
07FD007,H,2022,H,8.0,5,7,5,5,PST,13.013999938964844, ,Maximum
07FD007,H,2023,H,8.0,4,10,16,50,PST,11.237000465393066, ,Maximum
07FD007,H,2023,L,8.0,12,10,12,55,PST,9.904999732971191, ,Minimum
07FD007,H,2024,H,8.0,3,15,4,50,PST,10.9350004196167, ,Maximum
07FD007,H,2024,L,8.0,6,23,0,15,PST,9.989999771118164, ,Minimum
07FD007,Q,1977,H,,6,10,13,30,PST,179.0,,Maximum
07FD007,Q,1978,H,,5,23,14,46,PST,53.5,,Maximum
07FD007,Q,1979,H,,4,26,19,34,PST,153.0,,Maximum
07FD007,Q,1980,H,,6,18,20,52,PST,63.79999923706055,,Maximum
07FD007,Q,1981,H,,4,24,18,48,PST,113.0,,Maximum
07FD007,Q,1982,H,,8,4,13,21,PST,97.0999984741211,,Maximum
07FD007,Q,1983,H,,7,15,19,10,PST,349.0,,Maximum
07FD007,Q,1984,H,,6,8,4,44,PST,166.0,,Maximum
07FD007,Q,1985,H,,4,23,5,13,PST,21.100000381469727,,Maximum
07FD007,Q,1986,H,,5,18,8,6,PST,108.0,,Maximum
07FD007,Q,1987,H,,8,2,6,3,PST,130.0,,Maximum
07FD007,Q,1988,H,,6,8,14,2,PST,92.8000030517578,,Maximum
07FD007,Q,1989,H,,5,25,12,32,PST,9.670000076293944,,Maximum
07FD007,Q,1994,L,,10,29,10,38,PST,0.11100000143051147,,Minimum
07FD007,Q,1995,L,,9,6,19,53,PST,0.0,,Minimum
07FD007,Q,1996,H,,4,25,22,1,PST,108.0,,Maximum
07FD007,Q,1997,H,,4,25,0,45,PST,265.0,,Maximum
07FD007,Q,1999,H,,4,16,22,43,PST,146.0, ,Maximum
07FD007,Q,1999,L,,12,16,0,0,PST,0.008999999612569809,B,Minimum
07FD007,Q,2000,H,,9,3,9,35,PST,161.0, ,Maximum
07FD007,Q,2000,L,,1,1,0,0,PST,0.014999999664723871,B,Minimum
07FD007,Q,2001,H,,7,21,2,50,PST,416.0,E,Maximum
07FD007,Q,2001,L,,9,5,4,0,PST,0.0, ,Minimum
07FD007,Q,2002,H,,5,13,0,35,PST,132.0, ,Maximum
07FD007,Q,2002,L,,9,19,9,15,PST,0.06599999964237213, ,Minimum
07FD007,Q,2003,H,,4,24,1,0,PST,125.0, ,Maximum
07FD007,Q,2003,L,,8,3,22,15,PST,0.02800000086426735, ,Minimum
07FD007,Q,2004,H,,9,20,1,55,PST,76.5, ,Maximum
07FD007,Q,2005,H,,4,6,17,5,PST,80.5, ,Maximum
07FD007,Q,2005,L,,8,23,15,0,PST,0.028999999165534973, ,Minimum
07FD007,Q,2007,H,,5,6,0,30,PST,145.0, ,Maximum
07FD007,Q,2008,H,,5,2,23,25,PST,25.799999237060547, ,Maximum
07FD007,Q,2009,H,,4,20,0,0,PST,13.5, ,Maximum
07FD007,Q,2010,H,,5,25,3,35,PST,81.5, ,Maximum
07FD007,Q,2012,H,,6,8,12,40,PST,39.900001525878906, ,Maximum
07FD007,Q,2016,H,,6,16,12,35,PST,801.0,E,Maximum
07FD007,Q,2017,L,,9,18,15,5,PST,0.0430000014603138, ,Minimum
07FD007,Q,2018,H,,4,25,19,30,PST,493.0,E,Maximum
07FD007,Q,2019,H,,4,16,2,25,PST,49.400001525878906, ,Maximum
07FD007,Q,2019,L,,6,24,0,20,PST,0.6240000128746033, ,Minimum
07FD007,Q,2021,H,,4,19,0,10,PST,17.5,E,Maximum
07FD007,Q,2021,L,,8,20,22,15,PST,0.0010000000474974513,E,Minimum
07FD007,Q,2022,H,,5,7,5,5,PST,341.0,E,Maximum
07FD007,Q,2023,H,,4,10,16,50,PST,54.5, ,Maximum
07FD007,Q,2023,L,,12,8,8,55,PST,0.0,B,Minimum
07FD007,Q,2024,H,,6,16,6,55,PST,1.9700000286102293, ,Maximum
07FD007,Q,2024,L,,1,1,0,0,PST,0.0,B,Minimum
