Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
07GD001,DeleteRegion,HG,2026-01-01T07:00:00,2026-03-01T06:59:59,2026-01-05T15:45:58,-7,DR - OUTSIDE OF OPERATING PERIOD.,,Normal
07GD001,DeleteRegion,HG,2025-11-01T07:00:00,2026-01-01T06:59:59,2025-10-23T15:23:38,-7,DR - OUTSIDE OPERATING PERIOD,,Normal
07GD001,CopyPaste,HG,2025-06-18T20:40:00,2025-08-07T19:40:00,2025-08-08T20:05:37,-7,"RFT - tx gap fillOverride: Copy & Paste‌Source Data Set: Stage.Logger@07GD001, time shift: 00:00 minutes.‌",,PreProcessing
07GD001,Drift,HG,2025-04-30T17:20:00,2025-06-18T20:30:00,2025-06-19T17:15:23,-7,"SRC (0.000 TO 0.010m) - visit to visit, reset.Drift correction settings:‌Timestamp 1: 2025-04-30 10:20:00, Offset 1: 0‌Timestamp 2: 2025-06-18 13:30:00, Offset 2: 0.01‌","DriftPoints:(Offset:0,Time:2025-04-30T17:20:00Z);(Offset:0.01,Time:2025-06-18T20:30:00Z)",Normal
07GD001,CopyPaste,QR,2025-03-22T17:15:00,2025-04-11T16:25:00,2025-05-07T17:15:33,-7,ESTIMATED ICE AFFECTED DISCHARGEOverride: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07GD001,CopyPaste,QR,2025-03-15T07:00:00,2025-03-22T17:15:00,2025-05-07T17:11:04,-7,ESTIMATED ICE AFFECTED DISCHARGEOverride: Linear‌Q(t) = (0)t + 0‌,,Normal
07GD001,CopyPaste,HG,2025-03-12T20:25:00,2025-04-30T17:25:00,2025-05-01T19:56:36,-7,"Override: Copy & Paste‌Source Data Set: Stage.Logger@07GD001, time shift: 00:00 minutes.‌",,PreProcessing
07GD001,Offset,HG,2025-03-01T07:00:00,2025-03-12T20:10:00,2025-03-14T14:58:19,-7,"SRC (-0.005m)  - offset applied back to start of operating period, reset.",Offset:-0.005,Normal
07GD001,CopyPaste,QR,2025-03-01T07:00:00,2025-03-15T07:00:00,2025-03-14T15:10:08,-7,ESTIMATED DISCHARGE DURING ICE PERIODOverride: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
07GD001,DeleteRegion,HG,2025-01-01T07:00:00,2025-03-01T06:59:59,2024-10-23T21:26:57,-7,DR - OUTSIDE OPERATING PERIOD,,Normal
