STATION_NUMBER,date,water_level_m,quality_symbol
07JA001,1969-08-01,,
07JA001,1969-09-01,29.54400062561035,
07JA001,1969-10-01,29.650999069213867,
07JA001,1970-05-01,29.849000930786133,
07JA001,1970-06-01,29.867000579833984,
07JA001,1970-07-01,,
07JA001,1970-08-01,,
07JA001,1970-09-01,29.916000366210938,
07JA001,1970-10-01,29.88599967956543,
07JA001,1970-11-01,29.895000457763672,
07JA001,1971-05-01,,
07JA001,1971-06-01,29.96199989318848,
07JA001,1971-07-01,30.21199989318848,
07JA001,1971-08-01,30.424999237060547,
07JA001,1971-09-01,30.32200050354004,
07JA001,1971-10-01,30.218000411987305,
07JA001,1972-05-01,30.117000579833984,
07JA001,1972-06-01,,
07JA001,1972-07-01,,
07JA001,1972-08-01,30.11400032043457,
07JA001,1972-09-01,,
07JA001,1972-10-01,,
07JA001,1973-05-01,30.0049991607666,
07JA001,1973-06-01,,
07JA001,1973-07-01,,
07JA001,1973-08-01,30.291000366210938,
07JA001,1973-09-01,,
07JA001,1973-10-01,,
07JA001,1974-05-01,,
07JA001,1974-06-01,30.601999282836918,
07JA001,1974-07-01,,
07JA001,1974-08-01,30.450000762939453,
07JA001,1974-09-01,30.378999710083008,
07JA001,1974-10-01,,
07JA001,1975-05-01,,
07JA001,1975-06-01,,
07JA001,1975-07-01,,
07JA001,1975-08-01,,
07JA001,1975-09-01,,
07JA001,1975-10-01,,
07JA001,1976-05-01,,
07JA001,1976-06-01,,
07JA001,1976-07-01,,
07JA001,1976-08-01,,
07JA001,1976-09-01,30.56800079345703,
07JA001,1976-10-01,30.562000274658203,
07JA001,1977-04-01,,
07JA001,1977-05-01,,
07JA001,1977-06-01,30.28499984741211,
07JA001,1977-07-01,,
07JA001,1977-08-01,,
07JA001,1977-09-01,30.267000198364254,
07JA001,1977-10-01,,
07JA001,1978-05-01,,
07JA001,1978-06-01,,
07JA001,1978-07-01,,
07JA001,1978-08-01,,
07JA001,1978-09-01,30.049999237060547,
07JA001,1978-10-01,,
07JA001,1979-05-01,,
07JA001,1979-06-01,,
07JA001,1979-07-01,,
07JA001,1979-08-01,,
07JA001,1979-09-01,,
07JA001,1979-10-01,,
07JA001,1980-04-01,,
07JA001,1980-05-01,,
07JA001,1980-06-01,,
07JA001,1980-07-01,,
07JA001,1980-08-01,,
07JA001,1980-09-01,,
07JA001,1980-10-01,,
07JA001,1981-04-01,,
07JA001,1981-05-01,,
07JA001,1981-06-01,30.040000915527344,
07JA001,1981-07-01,29.97900009155273,E
07JA001,1981-08-01,29.92300033569336,E
07JA001,1981-09-01,29.77899932861328,E
07JA001,1981-10-01,29.72800064086914,E
07JA001,1982-03-01,,
07JA001,1982-04-01,,
07JA001,1982-05-01,,
