STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
07QC008,H,2013,H,8.0,5,28,5,50,CST,7.190000057220459,,Maximum
07QC008,H,2013,L,8.0,11,29,0,20,CST,6.591000080108643,,Minimum
07QC008,H,2014,H,8.0,6,4,13,10,CST,7.195000171661377,,Maximum
07QC008,H,2014,L,8.0,11,15,20,5,CST,6.552000045776367,,Minimum
07QC008,H,2015,H,8.0,11,16,2,55,CST,6.723999977111816,,Maximum
07QC008,H,2015,L,8.0,3,2,7,45,CST,6.547999858856201,,Minimum
07QC008,H,2016,H,8.0,5,26,0,35,CST,7.068999767303467,,Maximum
07QC008,H,2016,L,8.0,4,8,20,0,CST,6.682000160217285,,Minimum
07QC008,H,2017,H,8.0,5,24,14,30,CST,6.96999979019165,,Maximum
07QC008,H,2017,L,8.0,9,20,17,25,CST,6.47599983215332,,Minimum
07QC008,H,2018,H,8.0,7,2,18,45,CST,6.940999984741211, ,Maximum
07QC008,H,2018,L,8.0,10,31,15,10,CST,6.505000114440918, ,Minimum
07QC008,H,2019,H,8.0,7,2,9,45,CST,6.7170000076293945, ,Maximum
07QC008,H,2019,L,8.0,4,9,8,30,CST,6.520999908447266, ,Minimum
07QC008,H,2020,H,8.0,6,14,19,20,CST,7.311999797821045, ,Maximum
07QC008,H,2020,L,8.0,1,3,3,35,CST,6.611999988555908, ,Minimum
07QC008,H,2021,H,8.0,6,4,21,35,CST,7.60699987411499, ,Maximum
07QC008,H,2021,L,8.0,10,24,12,50,CST,6.671000003814697, ,Minimum
07QC008,H,2022,H,8.0,5,29,20,55,CST,7.296999931335449, ,Maximum
07QC008,H,2022,L,8.0,11,16,5,50,CST,6.511000156402588, ,Minimum
07QC008,H,2023,H,8.0,7,3,0,40,CST,6.743000030517578, ,Maximum
07QC008,H,2023,L,8.0,11,25,7,30,CST,6.446000099182129, ,Minimum
07QC008,H,2024,H,8.0,7,26,11,50,CST,6.869999885559082, ,Maximum
07QC008,H,2024,L,8.0,1,1,2,55,CST,6.478000164031982, ,Minimum
07QC008,Q,2013,H,,5,28,5,50,CST,2.9100000858306885,,Maximum
07QC008,Q,2014,H,,6,4,13,10,CST,2.740000009536743,,Maximum
07QC008,Q,2014,L,,11,15,20,10,CST,0.05099999904632568,,Minimum
07QC008,Q,2015,H,,12,27,6,15,CST,0.33500000834465027,,Maximum
07QC008,Q,2015,L,,4,10,6,20,CST,0.05299999937415123,,Minimum
07QC008,Q,2016,H,,5,26,0,35,CST,1.8600000143051147,,Maximum
07QC008,Q,2016,L,,4,8,20,0,CST,0.25,,Minimum
07QC008,Q,2017,H,,5,24,13,25,CST,1.559999942779541,,Maximum
07QC008,Q,2017,L,,11,7,4,5,CST,0.03500000014901161,,Minimum
07QC008,Q,2018,H,,7,2,18,20,CST,1.2100000381469729, ,Maximum
07QC008,Q,2018,L,,10,24,22,40,CST,0.027000000700354576, ,Minimum
07QC008,Q,2019,H,,7,2,9,45,CST,0.31200000643730164, ,Maximum
07QC008,Q,2019,L,,4,9,8,30,CST,0.04500000178813934, ,Minimum
07QC008,Q,2020,H,,6,14,19,20,CST,3.859999895095825, ,Maximum
07QC008,Q,2020,L,,1,3,3,35,CST,0.13199999928474426, ,Minimum
07QC008,Q,2021,H,,6,4,21,35,CST,8.039999961853027,E,Maximum
07QC008,Q,2021,L,,10,24,12,50,CST,0.239999994635582, ,Minimum
07QC008,Q,2022,H,,5,29,20,55,CST,4.349999904632568, ,Maximum
07QC008,Q,2022,L,,11,16,5,50,CST,0.039000000804662704, ,Minimum
07QC008,Q,2023,H,,7,3,0,40,CST,0.45399999618530273, ,Maximum
07QC008,Q,2023,L,,11,20,16,45,CST,0.009999999776482582, ,Minimum
07QC008,Q,2024,H,,7,26,11,50,CST,1.1299999952316284, ,Maximum
07QC008,Q,2024,L,,1,16,7,0,CST,0.0130000002682209,B,Minimum
