STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08CG005,Q,1972,H,,10,6,14,29,PST,311.0,,Maximum
08CG005,Q,1974,H,,10,8,18,22,PST,603.0,E,Maximum
08CG005,Q,1975,H,,7,9,1,18,PST,300.0,,Maximum
08CG005,Q,1977,H,,8,19,22,12,PST,214.0,,Maximum
08CG005,Q,1978,H,,10,18,23,2,PST,552.0,,Maximum
08CG005,Q,1979,H,,10,10,0,55,PST,303.0,,Maximum
08CG005,Q,1980,H,,10,5,20,17,PST,453.0,,Maximum
08CG005,Q,1981,H,,9,8,23,43,PST,484.0,,Maximum
08CG005,Q,1982,H,,6,29,1,40,PST,237.0,,Maximum
08CG005,Q,1983,H,,6,25,1,42,PST,234.0,,Maximum
08CG005,Q,1984,H,,8,8,22,31,PST,223.0,E,Maximum
08CG005,Q,1985,H,,7,6,4,49,PST,311.0,,Maximum
08CG005,Q,1986,H,,10,15,12,14,PST,303.0,,Maximum
08CG005,Q,1987,H,,9,30,1,59,PST,363.0,,Maximum
08CG005,Q,1988,H,,9,1,21,10,PST,299.0,,Maximum
08CG005,Q,1989,H,,7,12,23,48,PST,236.0,,Maximum
08CG005,Q,1990,H,,6,22,12,12,PST,240.0,,Maximum
08CG005,Q,1991,H,,6,23,1,34,PST,276.0,,Maximum
08CG005,Q,1992,H,,7,3,1,31,PST,411.0,,Maximum
08CG005,Q,1993,H,,10,26,18,27,PST,1060.0,E,Maximum
08CG005,Q,1994,H,,9,22,5,9,PST,1110.0,E,Maximum
