Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08EG018,2024-05-17T23:05:00,-8,Stage/Niveau d'eau,2.315,,,,,,,,,HG: 2.318 Surge: 0.008  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08EG018,2024-05-17T23:00:00,-8,Stage/Niveau d'eau,2.303,,,,,,,,,HG: 2.412 Surge: 0.008  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08EG018,2024-05-17T22:28:30,-8,Discharge/Débit,,2.305,0.412,28.0,0.032,0.3391,-0.048,"Measurement condition : Clear; Cloudy , Light Rain , Light Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Applied -0.109m SRC to HG at 15:02 Mid-section",4.1,0.86,0.479,8.1,3.8,Provisional/Provisoire,5.48
08EG018,2024-04-26T18:46:00,-8,Discharge/Débit,,2.246,0.249,28.0,0.0377,0.5126,-0.0432,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Swirling/Variable",,"FT2 wading mmt 50m u/s gauge. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Stage data between 10:55 and 11:05 invalid - installing YP sensor. Set HG to DWL at 11:12. Applied 0.006m SRC to HG at 11:36. SRC<0.000m from 11:40PST onward Mid-section",3.4,0.564,0.442,9.2,1.8,Provisional/Provisoire,6.21
08EG018,2024-04-26T18:20:00,-8,Stage/Niveau d'eau,2.245,,,,,,,,,GC: 0.000 HG: 2.395 Surge: 0.030  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
08EG018,2024-04-10T21:25:00,-8,Stage/Niveau d'eau,2.174,,,,,,,,,GC: 0.000 HG: 2.170 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08EG018,2024-04-10T20:35:00,-8,Stage/Niveau d'eau,2.173,,,,,,,,,GC: 0.000 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08EG018,2024-04-10T20:16:30,-8,Discharge/Débit,,2.173,0.112,28.0,0.0423,0.8661,0.0034,"Measurement condition : Clear; Mostly Cloudy , Light Rain , Very Light Wind Blowing Upstream",Bridged ice at control. shore ice present but not in contact with water.,"FT2 wading mmt under bridge. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Replaced logger between 11:50 and 1235 - no stage data available. Set HG to DWL at 1235 took awhile to get first stage data point at 1300. Maintenance on N2 system between 1305 and 1310 - erroneous. Applied 0.004m SRC to HG at 1326. Applied 0.005m (2.174m) SRC to HG at 1332. One spike after second reset but stabilized after. Mid-section",2.18,0.283,0.397,5.7,1.2,Provisional/Provisoire,9.71
08EG018,2024-04-10T19:25:00,-8,Stage/Niveau d'eau,2.172,,,,,,,,,GC: 0.000 HG: 2.164 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
08EG018,2023-12-01T20:05:00,-8,Stage/Niveau d'eau,2.182,,,,,,,,,GC: 0.000 HG: 2.180 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08EG018,2023-12-01T19:50:00,-8,Stage/Niveau d'eau,2.18,,,,,,,,,GC: 0.000 HG: 2.180 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08EG018,2023-12-01T19:45:00,-8,Stage/Niveau d'eau,2.18,,,,,,,,,GC: 0.000 HG: 2.190 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08EG018,2023-12-01T19:36:00,-8,Discharge/Débit,,2.182,0.12,28.0,0.0385,0.73120004,0.033099998,"Measurement condition : Clear; Mostly Cloudy , Light Snow , Very Light Wind Swirling/Variable",,"FT2 wading mmt under bridge - 30m u/s of gauge. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ No stage between 11:20 and 11:35 due to power cycle. Applied -0.010m SRC to HG at 11:46.  Mid-section",2.13,0.283,0.424,-1.6,1.5,Provisional/Provisoire,14.2
08EG018,2023-12-01T19:05:00,-8,Stage/Niveau d'eau,2.18,,,,,,,,,GC: 0.000 HG: 2.189 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08EG018,2023-08-29T22:30:00,-8,Stage/Niveau d'eau,2.126,,,,,,,,,GC: 0.000 HG: 2.127 No Reset (NR),,,,,,Provisional/Provisoire,
08EG018,2023-08-29T22:16:30,-8,Discharge/Débit,,2.126,0.051,28.0,0.037,1.0522,0.0172,"Measurement condition : ; Smokey , No Precipitation , Very Light Wind Swirling/Variable",Lots of debris and downed trees upstream.,"Good mmt. Nice and laminar with even cross section. ~80n u/s of gauge just d/s of the pool created by downed tree. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Orifice purged at 13:22 PST. Applied 0.005m SRC to HG at 13:33 PST. Mid-section",2.9,0.355,0.143,18.9,13.0,Provisional/Provisoire,10.6
08EG018,2023-08-29T21:40:00,-8,Stage/Niveau d'eau,2.126,,,,,,,,,GC: 0.000 HG: 2.126 No Reset (NR),,,,,,Provisional/Provisoire,
08EG018,2023-08-29T21:30:00,-8,Stage/Niveau d'eau,2.127,,,,,,,,,GC: 0.000 HG: 2.122 Reset (RS),,,,,,Provisional/Provisoire,
08EG018,2023-08-29T21:15:00,-8,Stage/Niveau d'eau,2.127,,,,,,,,,GC: 0.000 HG: 2.121 Purged  (PU),,,,,,Provisional/Provisoire,
08EG018,2023-05-27T00:20:00,-8,Stage/Niveau d'eau,2.455,,,,,,,,,HG: 2.420 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
