date,flow_cms,infill_flag
1926-04-13,4.130000114440918,observed
1926-04-14,4.960000038146973,observed
1926-04-15,5.949999809265137,observed
1926-04-16,4.670000076293945,observed
1926-04-17,3.880000114440918,observed
1926-04-18,11.600000381469728,observed
1926-04-19,19.200000762939453,observed
1926-04-20,7.019999980926514,observed
1926-04-21,19.200000762939453,observed
1926-04-22,7.789999961853027,observed
1926-04-23,4.389999866485596,observed
1926-04-24,4.960000038146973,observed
1926-04-25,4.960000038146973,observed
1926-04-26,4.960000038146973,observed
1926-04-27,5.269999980926514,observed
1926-04-28,4.389999866485596,observed
1926-04-29,3.880000114440918,observed
1926-04-30,4.389999866485596,observed
1926-05-01,5.579999923706055,observed
1926-05-02,24.600000381469727,observed
1926-05-03,18.89999961853028,observed
1926-05-04,13.199999809265137,observed
1926-05-05,8.579999923706055,observed
1926-05-06,3.880000114440918,observed
1926-05-07,4.389999866485596,observed
1926-05-08,5.269999980926514,observed
1926-05-09,4.360000133514404,observed
1926-05-10,3.430000066757202,observed
1926-05-11,3.430000066757202,observed
1926-05-12,4.389999866485596,observed
1926-05-13,4.670000076293945,observed
1926-05-14,4.389999866485596,observed
1926-05-15,4.670000076293945,observed
1926-05-16,4.670000076293945,observed
1926-05-17,4.670000076293945,observed
1926-05-18,4.960000038146973,observed
1926-05-19,4.960000038146973,observed
1926-05-20,3.880000114440918,observed
1926-05-21,4.960000038146973,observed
1926-05-22,4.389999866485596,observed
1926-05-23,4.670000076293945,observed
1926-05-24,4.960000038146973,observed
1926-05-25,3.0,observed
1926-05-26,2.609999895095825,observed
1926-05-27,6.289999961853027,observed
1926-05-28,6.289999961853027,observed
1926-05-29,5.579999923706055,observed
1926-05-30,3.910000085830689,observed
1926-05-31,2.2699999809265137,observed
1926-06-01,2.609999895095825,observed
1926-06-02,2.2699999809265137,observed
1926-06-03,1.7000000476837158,observed
1926-06-04,3.880000114440918,observed
1926-06-05,1.9800000190734863,observed
1926-06-06,1.9800000190734863,observed
1926-06-07,1.9800000190734863,observed
1926-06-08,1.7000000476837158,observed
1926-06-09,1.9800000190734863,observed
1926-06-10,1.7000000476837158,observed
1926-06-11,1.4199999570846558,observed
1926-06-12,1.159999966621399,observed
1926-06-13,1.0499999523162842,observed
1926-06-14,0.9340000152587892,observed
1926-06-15,1.159999966621399,observed
1926-06-16,0.9340000152587892,observed
1926-06-17,0.9340000152587892,observed
1926-06-18,0.9340000152587892,observed
1926-06-19,1.4199999570846558,observed
1926-06-20,1.559999942779541,observed
1926-06-21,1.7000000476837158,observed
1926-06-22,0.9340000152587892,observed
1926-06-23,0.9340000152587892,observed
1926-06-24,0.9340000152587892,observed
1926-06-25,0.9340000152587892,observed
1926-06-26,0.9340000152587892,observed
1926-06-27,0.722000002861023,observed
1926-06-28,0.5099999904632568,observed
1926-06-29,0.5099999904632568,observed
1926-06-30,0.5659999847412109,observed
1926-07-01,0.6230000257492065,observed
1926-07-02,0.6800000071525574,observed
1926-07-03,0.7649999856948853,observed
1926-07-04,0.8500000238418579,observed
1926-07-05,0.9340000152587892,observed
1926-07-06,0.9340000152587892,observed
1926-07-07,0.7080000042915344,observed
1926-07-08,0.7080000042915344,observed
1926-07-09,0.5099999904632568,observed
1926-07-10,0.4760000109672546,observed
1926-07-11,0.44200000166893,observed
1926-07-12,0.3680000007152557,observed
1926-07-13,0.3680000007152557,observed
1926-07-14,0.5099999904632568,observed
1926-07-15,0.5099999904632568,observed
1926-07-16,0.5099999904632568,observed
1926-07-17,0.3680000007152557,observed
1926-07-18,0.3260000050067901,observed
1926-07-19,0.2829999923706054,observed
1926-07-20,0.1159999966621398,observed
1926-07-21,0.1159999966621398,observed
1926-07-22,0.0710000023245811,observed
1926-07-23,0.0710000023245811,observed
1926-07-24,0.0710000023245811,observed
1926-07-25,0.1759999990463256,observed
1926-07-26,0.2829999923706054,observed
1926-07-27,0.1979999989271164,observed
1926-07-28,0.1159999966621398,observed
1926-07-29,0.0710000023245811,observed
1926-07-30,0.0710000023245811,observed
1926-07-31,0.0509999990463256,observed
1926-08-01,0.125,observed
1926-08-02,0.1979999989271164,observed
1926-08-03,0.1159999966621398,observed
1926-08-04,0.1159999966621398,observed
1926-08-05,0.1159999966621398,observed
1926-08-06,0.1159999966621398,observed
1926-08-07,0.1159999966621398,observed
1926-08-08,0.1159999966621398,observed
1926-08-09,0.1159999966621398,observed
1926-08-10,0.0710000023245811,observed
1926-08-11,0.0710000023245811,observed
1926-08-12,1.159999966621399,observed
1926-08-13,0.7080000042915344,observed
1926-08-14,0.7080000042915344,observed
1926-08-15,1.4199999570846558,observed
1926-08-16,15.5,observed
1926-08-17,23.200000762939453,observed
1926-08-18,23.200000762939453,observed
1926-08-19,23.200000762939453,observed
1926-08-20,23.200000762939453,observed
1926-08-21,18.299999237060547,observed
1926-08-22,13.5,observed
1926-08-23,8.579999923706055,observed
1926-08-24,8.579999923706055,observed
1926-08-25,7.019999980926514,observed
1926-08-26,11.199999809265137,observed
1926-08-27,11.199999809265137,observed
1926-08-28,12.199999809265137,observed
1926-08-29,11.199999809265137,observed
1926-08-30,11.199999809265137,observed
1926-08-31,11.199999809265137,observed
1926-09-01,,unfillable
1926-09-02,,unfillable
1926-09-03,,unfillable
1926-09-04,,unfillable
1926-09-05,,unfillable
1926-09-06,,unfillable
1926-09-07,,unfillable
1926-09-08,,unfillable
1926-09-09,,unfillable
1926-09-10,,unfillable
1926-09-11,,unfillable
1926-09-12,,unfillable
1926-09-13,,unfillable
1926-09-14,,unfillable
1926-09-15,,unfillable
1926-09-16,,unfillable
1926-09-17,,unfillable
1926-09-18,,unfillable
1926-09-19,,unfillable
1926-09-20,,unfillable
1926-09-21,,unfillable
1926-09-22,,unfillable
1926-09-23,,unfillable
1926-09-24,,unfillable
1926-09-25,,unfillable
1926-09-26,,unfillable
1926-09-27,,unfillable
1926-09-28,,unfillable
1926-09-29,,unfillable
1926-09-30,,unfillable
1926-10-01,7.019999980926514,observed
1926-10-02,3.880000114440918,observed
1926-10-03,3.059999942779541,observed
1926-10-04,2.2699999809265137,observed
1926-10-05,1.7000000476837158,observed
1926-10-06,7.789999961853027,observed
1926-10-07,15.5,observed
1926-10-08,19.100000381469727,observed
1926-10-09,11.199999809265137,observed
1926-10-10,13.300000190734863,observed
1926-10-11,15.5,observed
1926-10-12,7.019999980926514,observed
1926-10-13,5.579999923706055,observed
1926-10-14,5.579999923706055,observed
1926-10-15,12.199999809265137,observed
1926-10-16,5.579999923706055,observed
1926-10-17,,unfillable
1926-10-18,,unfillable
1926-10-19,,unfillable
1926-10-20,,unfillable
1926-10-21,,unfillable
1926-10-22,,unfillable
1926-10-23,,unfillable
1926-10-24,,unfillable
1926-10-25,,unfillable
1926-10-26,,unfillable
1926-10-27,,unfillable
1926-10-28,,unfillable
1926-10-29,,unfillable
1926-10-30,,unfillable
1926-10-31,,unfillable
1926-11-01,,unfillable
1926-11-02,,unfillable
1926-11-03,,unfillable
1926-11-04,,unfillable
1926-11-05,,unfillable
1926-11-06,,unfillable
1926-11-07,,unfillable
1926-11-08,,unfillable
1926-11-09,,unfillable
1926-11-10,,unfillable
1926-11-11,,unfillable
1926-11-12,,unfillable
1926-11-13,,unfillable
1926-11-14,19.100000381469727,observed
1926-11-15,8.579999923706055,observed
1926-11-16,6.739999771118164,observed
1926-11-17,3.0,observed
1926-11-18,2.2699999809265137,observed
1926-11-19,1.9800000190734863,observed
1926-11-20,,unfillable
1926-11-21,,unfillable
1926-11-22,,unfillable
1926-11-23,,unfillable
1926-11-24,,unfillable
1926-11-25,,unfillable
1926-11-26,,unfillable
1926-11-27,,unfillable
1926-11-28,,unfillable
1926-11-29,,unfillable
1926-11-30,,unfillable
1926-12-01,,unfillable
1926-12-02,,unfillable
1926-12-03,6.650000095367432,observed
1926-12-04,,unfillable
1926-12-05,,unfillable
1926-12-06,,unfillable
1926-12-07,,unfillable
1926-12-08,,unfillable
1926-12-09,,unfillable
1926-12-10,,unfillable
1926-12-11,,unfillable
1926-12-12,,unfillable
1926-12-13,,unfillable
1926-12-14,,unfillable
1926-12-15,,unfillable
1926-12-16,,unfillable
1926-12-17,,unfillable
1926-12-18,,unfillable
1926-12-19,,unfillable
1926-12-20,,unfillable
1926-12-21,,unfillable
1926-12-22,,unfillable
1926-12-23,,unfillable
1926-12-24,,unfillable
1926-12-25,,unfillable
1926-12-26,,unfillable
1926-12-27,,unfillable
1926-12-28,,unfillable
1926-12-29,,unfillable
1926-12-30,,unfillable
1926-12-31,,unfillable
1927-01-01,48.09999847412109,observed
1927-01-02,,unfillable
1927-01-03,8.270000457763672,observed
1927-01-04,,unfillable
1927-01-05,,unfillable
1927-01-06,,unfillable
1927-01-07,,unfillable
1927-01-08,,unfillable
1927-01-09,,unfillable
1927-01-10,,unfillable
1927-01-11,,unfillable
1927-01-12,,unfillable
1927-01-13,,unfillable
1927-01-14,13.100000381469728,observed
1927-01-15,9.630000114440918,observed
1927-01-16,7.869999885559082,observed
1927-01-17,7.110000133514404,observed
1927-01-18,5.150000095367432,observed
1927-01-19,4.329999923706055,observed
1927-01-20,3.880000114440918,observed
1927-01-21,3.509999990463257,observed
1927-01-22,,unfillable
1927-01-23,3.430000066757202,observed
1927-01-24,3.430000066757202,observed
1927-01-25,3.7899999618530273,observed
1927-01-26,3.7899999618530273,observed
1927-01-27,6.289999961853027,observed
1927-01-28,6.289999961853027,observed
1927-01-29,4.329999923706055,observed
1927-01-30,3.819999933242798,observed
1927-01-31,3.740000009536743,observed
1927-02-01,3.3399999141693115,observed
1927-02-02,9.289999961853027,observed
1927-02-03,11.300000190734863,observed
1927-02-04,6.289999961853027,observed
1927-02-05,4.389999866485596,observed
1927-02-06,3.849999904632568,observed
1927-02-07,3.3399999141693115,observed
1927-02-08,3.259999990463257,observed
1927-02-09,2.9200000762939453,observed
1927-02-10,2.5799999237060547,observed
1927-02-11,2.549999952316284,observed
1927-02-12,2.490000009536743,observed
1927-02-13,2.440000057220459,observed
1927-02-14,2.440000057220459,observed
1927-02-15,2.380000114440918,observed
1927-02-16,1.9299999475479128,observed
1927-02-17,1.840000033378601,observed
1927-02-18,4.25,observed
1927-02-19,5.320000171661377,observed
1927-02-20,8.40999984741211,observed
1927-02-21,4.389999866485596,observed
1927-02-22,4.079999923706055,observed
1927-02-23,3.0,observed
1927-02-24,3.880000114440918,observed
1927-02-25,5.210000038146973,observed
1927-02-26,6.570000171661377,observed
1927-02-27,4.760000228881836,observed
1927-02-28,2.970000028610229,observed
1927-03-01,15.899999618530272,observed
1927-03-02,5.150000095367432,observed
1927-03-03,3.7899999618530273,observed
1927-03-04,2.9200000762939453,observed
1927-03-05,2.609999895095825,observed
1927-03-06,2.940000057220459,observed
1927-03-07,3.2799999713897705,observed
1927-03-08,2.440000057220459,observed
1927-03-09,2.180000066757202,observed
1927-03-10,2.0999999046325684,observed
1927-03-11,2.240000009536743,observed
1927-03-12,16.200000762939453,observed
1927-03-13,10.0,observed
1927-03-14,3.7899999618530273,observed
1927-03-15,3.059999942779541,observed
1927-03-16,2.8299999237060547,observed
1927-03-17,2.4600000381469727,observed
1927-03-18,2.289999961853028,observed
1927-03-19,2.150000095367432,observed
1927-03-20,3.140000104904175,observed
1927-03-21,4.130000114440918,observed
1927-03-22,2.799999952316284,observed
1927-03-23,2.799999952316284,observed
1927-03-24,2.690000057220459,observed
1927-03-25,2.2699999809265137,observed
1927-03-26,2.119999885559082,observed
1927-03-27,2.069999933242798,observed
1927-03-28,1.950000047683716,observed
1927-03-29,2.0999999046325684,observed
1927-03-30,0.7990000247955322,observed
1927-03-31,2.7799999713897705,observed
1927-04-01,2.4600000381469727,observed
1927-04-02,2.0999999046325684,observed
1927-04-03,2.2100000381469727,observed
1927-04-04,2.720000028610229,observed
1927-04-05,2.069999933242798,observed
1927-04-06,2.119999885559082,observed
1927-04-07,2.440000057220459,observed
1927-04-08,1.840000033378601,observed
1927-04-09,1.559999942779541,observed
1927-04-10,1.3600000143051147,observed
1927-04-11,1.6100000143051147,observed
1927-04-12,2.180000066757202,observed
1927-04-13,3.1700000762939453,observed
1927-04-14,3.990000009536743,observed
1927-04-15,7.960000038146973,observed
1927-04-16,7.650000095367432,observed
1927-04-17,6.460000038146973,observed
1927-04-18,3.0899999141693115,observed
1927-04-19,2.289999961853028,observed
1927-04-20,1.7300000190734863,observed
1927-04-21,1.7300000190734863,observed
1927-04-22,2.069999933242798,observed
1927-04-23,3.4800000190734863,observed
1927-04-24,7.110000133514404,observed
1927-04-25,11.800000190734863,observed
1927-04-26,13.899999618530272,observed
1927-04-27,17.299999237060547,observed
1927-04-28,8.75,observed
1927-04-29,4.960000038146973,observed
1927-04-30,3.880000114440918,observed
1927-05-01,10.800000190734863,observed
1927-05-02,25.5,observed
1927-05-03,12.199999809265137,observed
1927-05-04,11.300000190734863,observed
1927-05-05,7.820000171661377,observed
1927-05-06,4.619999885559082,observed
1927-05-07,5.519999980926514,observed
1927-05-08,6.230000019073486,observed
1927-05-09,7.480000019073486,observed
1927-05-10,5.78000020980835,observed
1927-05-11,5.269999980926514,observed
1927-05-12,23.600000381469727,observed
1927-05-13,10.100000381469728,observed
1927-05-14,8.180000305175781,observed
1927-05-15,10.600000381469728,observed
1927-05-16,13.100000381469728,observed
1927-05-17,21.39999961853028,observed
1927-05-18,10.399999618530272,observed
1927-05-19,7.789999961853027,observed
1927-05-20,5.71999979019165,observed
1927-05-21,6.739999771118164,observed
1927-05-22,9.0600004196167,observed
1927-05-23,11.399999618530272,observed
1927-05-24,8.75,observed
1927-05-25,8.100000381469727,observed
1927-05-26,6.139999866485596,observed
1927-05-27,5.130000114440918,observed
1927-05-28,4.28000020980835,observed
1927-05-29,5.269999980926514,observed
1927-05-30,6.260000228881836,observed
1927-05-31,7.21999979019165,observed
1927-06-01,10.600000381469728,observed
1927-06-02,11.0,observed
1927-06-03,10.300000190734863,observed
1927-06-04,10.100000381469728,observed
1927-06-05,13.100000381469728,observed
1927-06-06,16.100000381469727,observed
1927-06-07,19.299999237060547,observed
1927-06-08,17.100000381469727,observed
1927-06-09,12.699999809265137,observed
1927-06-10,9.460000038146973,observed
1927-06-11,8.550000190734863,observed
1927-06-12,8.210000038146973,observed
1927-06-13,7.929999828338623,observed
1927-06-14,7.650000095367432,observed
1927-06-15,7.360000133514404,observed
1927-06-16,7.079999923706055,observed
1927-06-17,6.800000190734863,observed
1927-06-18,6.480000019073486,observed
1927-06-19,6.849999904632568,observed
1927-06-20,7.21999979019165,observed
1927-06-21,11.0,observed
1927-06-22,13.899999618530272,observed
1927-06-23,16.799999237060547,observed
1927-06-24,6.480000019073486,observed
1927-06-25,10.600000381469728,observed
1927-06-26,8.039999961853027,observed
1927-06-27,5.829999923706055,observed
1927-06-28,4.559999942779541,observed
1927-06-29,4.840000152587891,observed
1927-06-30,4.670000076293945,observed
1927-07-01,4.389999866485596,observed
1927-07-02,4.53000020980835,observed
1927-07-03,4.53000020980835,observed
1927-07-04,4.190000057220459,observed
1927-07-05,4.28000020980835,observed
1927-07-06,4.079999923706055,observed
1927-07-07,3.990000009536743,observed
1927-07-08,4.079999923706055,observed
1927-07-09,4.360000133514404,observed
1927-07-10,3.9600000381469727,observed
1927-07-11,4.360000133514404,observed
1927-07-12,4.130000114440918,observed
1927-07-13,4.449999809265137,observed
1927-07-14,4.28000020980835,observed
1927-07-15,3.990000009536743,observed
1927-07-16,5.239999771118164,observed
1927-07-17,4.190000057220459,observed
1927-07-18,3.109999895095825,observed
1927-07-19,3.200000047683716,observed
1927-07-20,3.1700000762939453,observed
1927-07-21,3.109999895095825,observed
1927-07-22,3.0299999713897705,observed
1927-07-23,3.109999895095825,observed
1927-07-24,2.970000028610229,observed
1927-07-25,2.859999895095825,observed
1927-07-26,2.440000057220459,observed
1927-07-27,2.039999961853028,observed
1927-07-28,1.899999976158142,observed
1927-07-29,1.870000004768372,observed
1927-07-30,1.809999942779541,observed
1927-07-31,1.7799999713897705,observed
1927-08-01,1.7300000190734863,observed
1927-08-02,1.7799999713897705,observed
1927-08-03,1.559999942779541,observed
1927-08-04,1.6399999856948853,observed
1927-08-05,1.559999942779541,observed
1927-08-06,1.309999942779541,observed
1927-08-07,1.1699999570846558,observed
1927-08-08,1.309999942779541,observed
1927-08-09,1.0099999904632568,observed
1927-08-10,1.4199999570846558,observed
1927-08-11,1.4199999570846558,observed
1927-08-12,1.6399999856948853,observed
1927-08-13,1.440000057220459,observed
1927-08-14,1.2899999618530271,observed
1927-08-15,1.2899999618530271,observed
1927-08-16,1.1399999856948853,observed
1927-08-17,1.100000023841858,observed
1927-08-18,1.090000033378601,observed
