STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08GA054,Q,1966,H,,12,13,8,0,PST,243.0,,Maximum
08GA054,Q,1967,H,,10,31,8,0,PST,286.0,,Maximum
08GA054,Q,1968,H,,1,14,9,30,PST,283.0,,Maximum
08GA054,Q,1969,H,,9,23,0,20,PST,228.0,,Maximum
08GA054,Q,1970,H,,6,3,20,6,PST,110.0,,Maximum
08GA054,Q,1971,H,,6,23,2,2,PST,143.0,,Maximum
08GA054,Q,1972,H,,7,12,14,55,PST,297.0,,Maximum
08GA054,Q,1973,H,,5,24,0,35,PST,251.0,,Maximum
08GA054,Q,1974,H,,1,15,21,33,PST,257.0,E,Maximum
08GA054,Q,1975,H,,10,17,8,7,PST,326.0,E,Maximum
08GA054,Q,1976,H,,11,17,10,4,PST,149.0,,Maximum
08GA054,Q,1977,H,,11,1,16,55,PST,202.0,,Maximum
08GA054,Q,1978,H,,9,10,1,49,PST,190.0,,Maximum
08GA054,Q,1979,H,,10,26,3,33,PST,186.0,,Maximum
08GA054,Q,1980,H,,12,27,1,5,PST,369.0,,Maximum
08GA054,Q,1983,H,,7,11,23,53,PST,223.0,,Maximum
08GA054,Q,1984,H,,10,8,5,56,PST,211.0,E,Maximum
08GA054,Q,1985,H,,10,19,11,42,PST,131.0,,Maximum
08GA054,Q,1986,H,,2,24,21,19,PST,157.0,E,Maximum
