STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08GF009,H,2013,H,8,5,12,8,15,PST,7.631999969482422, ,Maximum
08GF009,H,2013,L,8,12,11,18,10,PST,3.4760000705718994, ,Minimum
08GF009,H,2014,H,8,11,27,20,25,PST,7.734000205993652, ,Maximum
08GF009,H,2014,L,8,2,9,14,5,PST,3.38100004196167, ,Minimum
08GF009,H,2015,H,8,3,27,16,15,PST,7.644000053405762, ,Maximum
08GF009,H,2015,L,8,12,31,4,0,PST,3.502000093460083, ,Minimum
08GF009,H,2016,H,8,9,17,10,55,PST,6.941999912261963, ,Maximum
08GF009,H,2016,L,8,12,15,7,35,PST,3.4809999465942383, ,Minimum
08GF009,H,2017,H,8,10,16,12,50,PST,7.505000114440918, ,Maximum
08GF009,H,2018,H,8,11,2,2,35,PST,7.730000019073486, ,Maximum
08GF009,H,2018,L,8,3,6,21,30,PST,3.5450000762939453, ,Minimum
08GF009,H,2019,H,8,11,17,5,55,PST,7.572999954223633, ,Maximum
08GF009,H,2019,L,8,3,5,12,35,PST,3.282999992370605, ,Minimum
08GF009,H,2020,L,8,3,14,11,35,PST,3.440999984741211, ,Minimum
08GF009,H,2021,H,8,9,30,4,55,PST,7.357999801635742, ,Maximum
08GF009,H,2021,L,8,2,11,13,5,PST,3.3940000534057617, ,Minimum
08GF009,H,2022,H,8,7,12,3,20,PST,6.565999984741211, ,Maximum
08GF009,H,2022,L,8,12,19,5,40,PST,3.315999984741211, ,Minimum
08GF009,H,2023,H,8,5,19,2,0,PST,6.388999938964844, ,Maximum
08GF009,H,2023,L,8,3,10,21,45,PST,3.359999895095825, ,Minimum
