STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08HA070,H,2011,H,8.0,11,27,4.0,40.0,PST,3.9159998893737793, ,Maximum
08HA070,H,2011,L,8.0,9,14,14.0,46.0,PST,1.2710000276565552, ,Minimum
08HA070,H,2012,H,8.0,1,4,9.0,40.0,PST,2.963000059127808, ,Maximum
08HA070,H,2012,L,8.0,10,6,8.0,55.0,PST,1.256999969482422, ,Minimum
08HA070,H,2013,H,8.0,1,8,22.0,36.0,PST,2.822999954223633, ,Maximum
08HA070,H,2013,L,8.0,8,23,1.0,11.0,PST,1.27400004863739, ,Minimum
08HA070,H,2014,H,8.0,12,9,3.0,35.0,PST,2.976999998092652, ,Maximum
08HA070,H,2014,L,8.0,8,11,14.0,15.0,PST,1.2760000228881836, ,Minimum
08HA070,H,2015,H,8.0,2,6,9.0,45.0,PST,3.068000078201294, ,Maximum
08HA070,H,2015,L,8.0,8,25,16.0,30.0,PST,1.2519999742507937, ,Minimum
08HA070,H,2016,H,8.0,1,28,2.0,5.0,PST,3.111999988555908, ,Maximum
08HA070,H,2016,L,8.0,8,26,14.0,15.0,PST,1.258999943733215, ,Minimum
08HA070,H,2017,H,8.0,11,19,15.0,40.0,PST,2.9030001163482666, ,Maximum
08HA070,H,2017,L,8.0,9,16,21.0,25.0,PST,1.2599999904632568, ,Minimum
08HA070,H,2018,H,8.0,11,26,10.0,40.0,PST,2.809000015258789, ,Maximum
08HA070,H,2018,L,8.0,8,23,3.0,55.0,PST,1.2640000581741333, ,Minimum
08HA070,H,2019,H,8.0,1,3,11.0,55.0,PST,2.7780001163482666, ,Maximum
08HA070,H,2019,L,8.0,9,6,22.0,35.0,PST,1.281999945640564, ,Minimum
08HA070,H,2020,H,8.0,1,31,19.0,10.0,PST,3.2249999046325684, ,Maximum
08HA070,H,2020,L,8.0,7,30,19.0,20.0,PST,1.3200000524520874, ,Minimum
08HA070,H,2021,H,8.0,11,15,7.0,35.0,PST,3.061000108718872, ,Maximum
08HA070,H,2021,L,8.0,9,3,6.0,10.0,PST,1.2580000162124634, ,Minimum
08HA070,H,2022,H,8.0,12,26,5.0,50.0,PST,3.11299991607666, ,Maximum
08HA070,H,2022,L,8.0,9,22,8.0,55.0,PST,1.2549999952316284, ,Minimum
08HA070,H,2023,H,8.0,11,11,1.0,20.0,PST,2.806999921798706, ,Maximum
08HA070,H,2023,L,8.0,8,27,15.0,55.0,PST,1.246999979019165, ,Minimum
08HA070,H,2024,H,8.0,12,18,0.0,55.0,PST,2.88100004196167, ,Maximum
08HA070,H,2024,L,8.0,8,17,8.0,10.0,PST,1.2649999856948853, ,Minimum
08HA070,Q,1997,H,,3,18,,,,203.0,,Maximum
08HA070,Q,1998,H,,12,12,22.0,16.0,PST,186.0,,Maximum
08HA070,Q,1999,H,,1,29,4.0,16.0,PST,103.0,E,Maximum
08HA070,Q,1999,L,,9,21,21.0,1.0,PST,0.08699999749660492, ,Minimum
08HA070,Q,2000,H,,10,20,3.0,36.0,PST,42.400001525878906, ,Maximum
08HA070,Q,2000,L,,9,27,18.0,26.0,PST,0.10700000077486038, ,Minimum
08HA070,Q,2001,H,,12,16,17.0,6.0,PST,76.0, ,Maximum
08HA070,Q,2001,L,,7,31,18.0,56.0,PST,0.07800000160932541, ,Minimum
08HA070,Q,2002,H,,1,7,12.0,51.0,PST,87.9000015258789,E,Maximum
08HA070,Q,2002,L,,9,1,16.0,26.0,PST,0.03599999845027924, ,Minimum
08HA070,Q,2003,H,,10,20,14.0,6.0,PST,94.5999984741211,E,Maximum
08HA070,Q,2003,L,,10,4,15.0,26.0,PST,0.03200000151991844, ,Minimum
08HA070,Q,2004,H,,12,10,15.0,1.0,PST,102.0, ,Maximum
08HA070,Q,2004,L,,8,19,16.0,31.0,PST,0.03200000151991844, ,Minimum
08HA070,Q,2005,H,,1,18,20.0,1.0,PST,69.9000015258789, ,Maximum
08HA070,Q,2006,H,,11,15,13.0,31.0,PST,155.0, ,Maximum
08HA070,Q,2006,L,,9,6,3.0,1.0,PST,0.017999999225139618, ,Minimum
08HA070,Q,2007,L,,9,27,0.0,41.0,PST,0.13500000536441803, ,Minimum
08HA070,Q,2008,H,,11,7,23.0,6.0,PST,54.20000076293945, ,Maximum
08HA070,Q,2008,L,,7,28,23.0,26.0,PST,0.13199999928474426, ,Minimum
08HA070,Q,2009,H,,11,16,3.0,56.0,PST,127.0, ,Maximum
08HA070,Q,2009,L,,9,3,0.0,51.0,PST,0.0430000014603138, ,Minimum
08HA070,Q,2010,H,,1,15,7.0,56.0,PST,89.5999984741211, ,Maximum
08HA070,Q,2010,L,,8,29,20.0,6.0,PST,0.017000000923871994, ,Minimum
08HA070,Q,2011,H,,11,27,4.0,40.0,PST,104.0, ,Maximum
08HA070,Q,2011,L,,9,14,14.0,46.0,PST,0.04500000178813934, ,Minimum
08HA070,Q,2012,L,,10,6,8.0,55.0,PST,0.06300000101327896, ,Minimum
08HA070,Q,2013,H,,1,8,22.0,36.0,PST,52.29999923706055,E,Maximum
08HA070,Q,2013,L,,8,23,1.0,11.0,PST,0.06599999964237213, ,Minimum
08HA070,Q,2014,H,,12,9,3.0,35.0,PST,66.5, ,Maximum
08HA070,Q,2014,L,,8,12,12.0,35.0,PST,0.04100000113248825, ,Minimum
08HA070,Q,2015,H,,2,6,9.0,45.0,PST,74.69999694824219, ,Maximum
08HA070,Q,2015,L,,8,25,16.0,30.0,PST,0.03799999877810478, ,Minimum
08HA070,Q,2016,H,,1,28,2.0,5.0,PST,81.80000305175781, ,Maximum
08HA070,Q,2016,L,,8,27,3.0,20.0,PST,0.039000000804662704, ,Minimum
08HA070,Q,2017,H,,11,19,15.0,40.0,PST,60.900001525878906, ,Maximum
08HA070,Q,2017,L,,9,16,21.0,25.0,PST,0.05000000074505806, ,Minimum
08HA070,Q,2018,H,,11,26,10.0,40.0,PST,55.900001525878906, ,Maximum
08HA070,Q,2018,L,,8,23,3.0,55.0,PST,0.039000000804662704, ,Minimum
08HA070,Q,2019,H,,1,3,11.0,55.0,PST,53.900001525878906, ,Maximum
08HA070,Q,2019,L,,6,25,21.0,25.0,PST,0.07800000160932541, ,Minimum
08HA070,Q,2020,H,,1,31,19.0,10.0,PST,92.4000015258789, ,Maximum
08HA070,Q,2020,L,,7,30,19.0,20.0,PST,0.119999997317791, ,Minimum
08HA070,Q,2021,H,,11,15,7.0,35.0,PST,75.4000015258789, ,Maximum
08HA070,Q,2021,L,,9,3,6.0,10.0,PST,0.0560000017285347, ,Minimum
08HA070,Q,2022,H,,12,26,5.0,50.0,PST,85.9000015258789, ,Maximum
08HA070,Q,2022,L,,9,22,8.0,55.0,PST,0.03099999949336052, ,Minimum
08HA070,Q,2023,H,,11,11,1.0,20.0,PST,54.79999923706055, ,Maximum
08HA070,Q,2023,L,,9,23,8.0,10.0,PST,0.023000000044703484,E,Minimum
08HA070,Q,2024,H,,12,18,0.0,55.0,PST,62.09999847412109, ,Maximum
08HA070,Q,2024,L,,8,17,22.0,5.0,PST,0.06300000101327896, ,Minimum
