STATION_NUMBER,date,water_level_m,quality_symbol
08HB075,2011-01-01,1.2710000276565552,
08HB075,2011-02-01,1.258999943733215,
08HB075,2011-03-01,1.225000023841858,
08HB075,2011-04-01,1.3220000267028809,
08HB075,2011-05-01,1.2719999551773071,
08HB075,2011-06-01,1.375,
08HB075,2011-07-01,1.194000005722046,
08HB075,2011-08-01,1.1100000143051147,
08HB075,2011-09-01,1.0729999542236328,
08HB075,2011-10-01,1.1920000314712524,
08HB075,2011-11-01,1.2330000400543213,
08HB075,2011-12-01,1.3730000257492063,
08HB075,2012-01-01,1.309999942779541,
08HB075,2012-02-01,1.3880000114440918,
08HB075,2012-03-01,1.2949999570846558,
08HB075,2012-04-01,1.3259999752044678,
08HB075,2012-05-01,1.340000033378601,
08HB075,2012-06-01,1.3079999685287476,
08HB075,2012-07-01,1.2089999914169312,
08HB075,2012-08-01,1.1039999723434448,
08HB075,2012-09-01,1.065999984741211,
08HB075,2012-10-01,1.0750000476837158,
08HB075,2012-11-01,1.437000036239624,
08HB075,2012-12-01,1.6779999732971191,
08HB075,2013-01-01,1.2940000295639038,
08HB075,2013-02-01,1.2730000019073486,
08HB075,2013-03-01,1.3849999904632568,
08HB075,2013-04-01,1.3389999866485596,
08HB075,2013-05-01,1.222000002861023,
08HB075,2013-06-01,1.2769999504089355,
08HB075,2013-07-01,1.2350000143051147,
08HB075,2013-08-01,1.0800000429153442,
08HB075,2013-09-01,1.1920000314712524,
08HB075,2013-10-01,1.3849999904632568,
08HB075,2013-11-01,1.14900004863739,
08HB075,2013-12-01,1.190000057220459,
08HB075,2014-01-01,1.2350000143051147,
08HB075,2014-02-01,1.2009999752044678,
08HB075,2014-03-01,1.2799999713897705,
08HB075,2014-04-01,1.3380000591278076,
08HB075,2014-05-01,1.2680000066757202,
08HB075,2014-06-01,1.1679999828338623,
08HB075,2014-07-01,1.1440000534057615,
08HB075,2014-08-01,1.0700000524520874,
08HB075,2014-09-01,1.0720000267028809,
08HB075,2014-10-01,1.152999997138977,
08HB075,2014-11-01,1.3619999885559082,
08HB075,2014-12-01,1.2860000133514404,
08HB075,2015-01-01,1.2109999656677246,
08HB075,2015-02-01,1.2289999723434448,
08HB075,2015-03-01,1.2369999885559082,
08HB075,2015-04-01,1.3830000162124634,
08HB075,2015-05-01,1.1690000295639038,
08HB075,2015-06-01,1.0959999561309814,
08HB075,2015-07-01,1.0670000314712524,
08HB075,2015-08-01,1.0570000410079956,
08HB075,2015-09-01,1.152999997138977,
08HB075,2015-10-01,1.1540000438690186,
08HB075,2015-11-01,1.319000005722046,
08HB075,2015-12-01,1.2599999904632568,
08HB075,2016-01-01,1.22599995136261,
08HB075,2016-02-01,1.315000057220459,
08HB075,2016-03-01,1.5080000162124634,
08HB075,2016-04-01,1.2929999828338623,
08HB075,2016-05-01,1.1799999475479126,
08HB075,2016-06-01,1.1230000257492063,
08HB075,2016-07-01,1.1410000324249268,
08HB075,2016-08-01,1.0779999494552612,
08HB075,2016-09-01,1.0950000286102295,
08HB075,2016-10-01,1.1299999952316284,
08HB075,2016-11-01,1.3609999418258667,
08HB075,2016-12-01,1.437999963760376,
08HB075,2017-01-01,1.2389999628067017,
08HB075,2017-02-01,1.2829999923706057,
08HB075,2017-03-01,1.2289999723434448,
08HB075,2017-04-01,1.3639999628067017,
08HB075,2017-05-01,1.27400004863739,
08HB075,2017-06-01,1.159999966621399,
08HB075,2017-07-01,1.118000030517578,
08HB075,2017-08-01,1.0759999752044678,
08HB075,2017-09-01,1.0520000457763672,
08HB075,2017-10-01,1.0950000286102295,
08HB075,2017-11-01,1.1540000438690186,
08HB075,2017-12-01,1.4220000505447388,
08HB075,2018-01-01,1.2029999494552612,
08HB075,2018-02-01,1.347000002861023,
08HB075,2018-03-01,1.2690000534057615,
08HB075,2018-04-01,1.2380000352859497,
08HB075,2018-05-01,1.253999948501587,
08HB075,2018-06-01,1.1150000095367432,
08HB075,2018-07-01,1.1510000228881836,
08HB075,2018-08-01,1.0609999895095823,
08HB075,2018-09-01,1.0399999618530271,
08HB075,2018-10-01,1.409000039100647,
08HB075,2018-11-01,1.3170000314712524,
08HB075,2018-12-01,1.2949999570846558,
08HB075,2019-01-01,1.3049999475479126,
08HB075,2019-02-01,1.309999942779541,
08HB075,2019-03-01,1.1660000085830688,
08HB075,2019-04-01,1.2350000143051147,
08HB075,2019-05-01,1.1920000314712524,
08HB075,2019-06-01,1.0989999771118164,
08HB075,2019-07-01,1.0779999494552612,
08HB075,2019-08-01,1.097000002861023,
08HB075,2019-09-01,1.0770000219345093,
08HB075,2019-10-01,1.1440000534057615,
08HB075,2019-11-01,1.1790000200271606,
08HB075,2019-12-01,1.1859999895095823,
08HB075,2020-01-01,1.4630000591278076,
08HB075,2020-02-01,1.7170000076293943,
08HB075,2020-03-01,1.2309999465942385,
08HB075,2020-04-01,1.2389999628067017,
08HB075,2020-05-01,1.2380000352859497,
08HB075,2020-06-01,1.1579999923706057,
08HB075,2020-07-01,1.1239999532699585,
08HB075,2020-08-01,1.087000012397766,
08HB075,2020-09-01,1.10099995136261,
08HB075,2020-10-01,1.1660000085830688,
08HB075,2020-11-01,1.246000051498413,
08HB075,2020-12-01,1.4019999504089355,
08HB075,2021-01-01,1.715000033378601,
08HB075,2021-02-01,1.4170000553131104,
08HB075,2021-03-01,1.3170000314712524,
08HB075,2021-04-01,1.2289999723434448,
08HB075,2021-05-01,1.2510000467300415,
08HB075,2021-06-01,1.1749999523162842,
08HB075,2021-07-01,1.0920000076293943,
08HB075,2021-08-01,1.037999987602234,
08HB075,2021-09-01,1.0329999923706057,
08HB075,2021-10-01,1.3359999656677246,
08HB075,2021-11-01,1.2610000371932983,
08HB075,2021-12-01,1.4500000476837158,
08HB075,2022-01-01,1.2920000553131104,A
08HB075,2022-02-01,1.3229999542236328,
08HB075,2022-03-01,1.437000036239624,
08HB075,2022-04-01,1.2769999504089355,
08HB075,2022-05-01,1.412999987602234,
08HB075,2022-06-01,1.2359999418258667,
08HB075,2022-07-01,1.1469999551773071,
08HB075,2022-08-01,1.1050000190734863,
08HB075,2022-09-01,1.065000057220459,
08HB075,2022-10-01,1.0509999990463257,
08HB075,2022-11-01,1.125,
08HB075,2022-12-01,1.1649999618530271,
08HB075,2023-01-01,1.3730000257492063,
08HB075,2023-02-01,1.2230000495910645,
08HB075,2023-03-01,1.1779999732971191,
08HB075,2023-04-01,1.243000030517578,
08HB075,2023-05-01,1.3009999990463257,
08HB075,2023-06-01,1.13100004196167,
08HB075,2023-07-01,1.0670000314712524,
08HB075,2023-08-01,1.0499999523162842,
08HB075,2023-09-01,1.0410000085830688,
08HB075,2023-10-01,1.1549999713897705,
08HB075,2023-11-01,1.184999942779541,
08HB075,2023-12-01,1.2419999837875366,
08HB075,2024-01-01,1.3619999885559082,
08HB075,2024-02-01,1.6139999628067017,
08HB075,2024-03-01,1.309999942779541,
08HB075,2024-04-01,1.2869999408721924,
08HB075,2024-05-01,1.2139999866485596,
08HB075,2024-06-01,1.1729999780654907,
08HB075,2024-07-01,1.159000039100647,
08HB075,2024-08-01,1.093999981880188,
08HB075,2024-09-01,1.1100000143051147,
08HB075,2024-10-01,1.131999969482422,
08HB075,2024-11-01,1.649999976158142,
08HB075,2024-12-01,1.2580000162124634,
08HB075,2011-01-02,1.2599999904632568,
08HB075,2011-02-02,1.246999979019165,
08HB075,2011-03-02,1.3229999542236328,
08HB075,2011-04-02,1.2999999523162842,
08HB075,2011-05-02,1.2979999780654907,
08HB075,2011-06-02,1.3650000095367432,
08HB075,2011-07-02,1.1829999685287476,
08HB075,2011-08-02,1.1050000190734863,
08HB075,2011-09-02,1.0729999542236328,
08HB075,2011-10-02,1.1799999475479126,
08HB075,2011-11-02,1.2209999561309814,
08HB075,2011-12-02,1.3270000219345093,
08HB075,2012-01-02,1.2910000085830688,
08HB075,2012-02-02,1.3380000591278076,
08HB075,2012-03-02,1.274999976158142,
08HB075,2012-04-02,1.4019999504089355,
08HB075,2012-05-02,1.3309999704360962,
08HB075,2012-06-02,1.2979999780654907,
08HB075,2012-07-02,1.2000000476837158,
08HB075,2012-08-02,1.1019999980926514,
08HB075,2012-09-02,1.065000057220459,
08HB075,2012-10-02,1.0750000476837158,
08HB075,2012-11-02,1.3300000429153442,
08HB075,2012-12-02,1.524999976158142,
08HB075,2013-01-02,1.281000018119812,
08HB075,2013-02-02,1.2730000019073486,
08HB075,2013-03-02,1.381999969482422,
08HB075,2013-04-02,1.340999960899353,
08HB075,2013-05-02,1.218999981880188,
08HB075,2013-06-02,1.2510000467300415,
08HB075,2013-07-02,1.212000012397766,
08HB075,2013-08-02,1.0800000429153442,
08HB075,2013-09-02,1.1690000295639038,
08HB075,2013-10-02,1.3240000009536743,
08HB075,2013-11-02,1.3619999885559082,
08HB075,2013-12-02,1.1929999589920044,
08HB075,2014-01-02,1.2380000352859497,
08HB075,2014-02-02,1.1959999799728394,
08HB075,2014-03-02,1.274999976158142,
