STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08HB086,H,2011,H,8.0,11,26,23,51,PST,3.244999885559082, ,Maximum
08HB086,H,2012,H,8.0,10,14,7,46,PST,3.4049999713897705, ,Maximum
08HB086,H,2012,L,8.0,10,12,16,46,PST,0.9639999866485596, ,Minimum
08HB086,H,2013,H,8.0,3,1,13,11,PST,2.559999942779541, ,Maximum
08HB086,H,2013,L,8.0,8,14,7,46,PST,1.0529999732971191, ,Minimum
08HB086,H,2015,H,8.0,11,17,9,45,PST,3.1589999198913574, ,Maximum
08HB086,H,2016,H,8.0,1,27,23,45,PST,3.628999948501587, ,Maximum
08HB086,H,2016,L,8.0,8,30,3,25,PST,0.6650000214576721, ,Minimum
08HB086,H,2017,H,8.0,11,26,4,5,PST,3.1449999809265137, ,Maximum
08HB086,H,2018,H,8.0,11,3,21,35,PST,3.4110000133514404, ,Maximum
08HB086,H,2018,L,8.0,9,7,9,50,PST,-0.09000000357627869, ,Minimum
08HB086,H,2019,H,8.0,1,3,10,25,PST,3.242000102996826, ,Maximum
08HB086,H,2019,L,8.0,3,11,6,15,PST,1.0369999408721924, ,Minimum
08HB086,H,2020,H,8.0,1,3,7,45,PST,3.4189999103546143, ,Maximum
08HB086,H,2020,L,8.0,9,15,0,55,PST,0.9900000095367432, ,Minimum
08HB086,H,2021,H,8.0,9,30,0,35,PST,3.184000015258789, ,Maximum
08HB086,H,2021,L,8.0,9,4,6,5,PST,0.08799999952316284, ,Minimum
08HB086,H,2022,H,8.0,12,24,10,55,PST,2.937000036239624, ,Maximum
08HB086,H,2022,L,8.0,10,23,15,45,PST,-0.3160000145435333, ,Minimum
08HB086,H,2023,H,8.0,12,25,19,10,PST,3.381999969482422, ,Maximum
08HB086,H,2023,L,8.0,9,12,18,45,PST,-0.0020000000949949026, ,Minimum
08HB086,H,2024,H,8.0,1,28,23,55,PST,3.117000102996826, ,Maximum
08HB086,H,2024,L,8.0,8,18,15,50,PST,0.9160000085830688, ,Minimum
08HB086,Q,1996,H,,1,6,13,30,PST,177.0,,Maximum
08HB086,Q,1997,H,,11,3,8,10,PST,208.0,,Maximum
08HB086,Q,1998,H,,11,12,19,30,PST,207.0,,Maximum
08HB086,Q,1999,H,,8,24,22,40,PST,137.0, ,Maximum
08HB086,Q,1999,L,,10,4,14,0,PST,0.39500001072883606, ,Minimum
08HB086,Q,2000,H,,10,17,16,45,PST,144.0, ,Maximum
08HB086,Q,2000,L,,9,28,9,0,PST,0.3610000014305115, ,Minimum
08HB086,Q,2001,H,,12,15,22,45,PST,114.0, ,Maximum
08HB086,Q,2001,L,,9,20,14,0,PST,0.3230000138282776, ,Minimum
08HB086,Q,2002,H,,11,18,13,0,PST,182.0, ,Maximum
08HB086,Q,2002,L,,9,1,21,0,PST,0.014999999664723871, ,Minimum
08HB086,Q,2003,H,,10,18,16,15,PST,196.0, ,Maximum
08HB086,Q,2003,L,,9,6,10,30,PST,0.017000000923871994, ,Minimum
08HB086,Q,2004,H,,11,15,0,55,PST,215.0, ,Maximum
08HB086,Q,2004,L,,8,21,7,0,PST,0.03599999845027924, ,Minimum
08HB086,Q,2005,H,,12,24,7,0,PST,156.0, ,Maximum
08HB086,Q,2005,L,,9,28,0,0,PST,0.10700000077486038, ,Minimum
08HB086,Q,2006,H,,11,15,13,20,PST,230.0,E,Maximum
08HB086,Q,2007,H,,10,7,1,0,PST,269.0,E,Maximum
08HB086,Q,2007,L,,9,16,17,0,PST,0.31200000643730164, ,Minimum
08HB086,Q,2008,H,,10,17,2,5,PST,111.0, ,Maximum
08HB086,Q,2008,L,,9,24,5,55,PST,0.21299999952316284, ,Minimum
08HB086,Q,2009,H,,10,30,19,50,PST,194.0, ,Maximum
08HB086,Q,2009,L,,9,5,1,0,PST,0.020999999716877937, ,Minimum
08HB086,Q,2010,H,,1,11,0,0,PST,197.0,E,Maximum
08HB086,Q,2010,L,,8,30,23,30,PST,0.00800000037997961, ,Minimum
08HB086,Q,2013,H,,3,1,13,11,PST,96.6999969482422, ,Maximum
08HB086,Q,2013,L,,8,13,23,11,PST,0.010999999940395355,E,Minimum
08HB086,Q,2015,H,,11,17,9,45,PST,235.0,E,Maximum
08HB086,Q,2016,H,,1,27,23,45,PST,408.0,E,Maximum
08HB086,Q,2016,L,,8,19,7,50,PST,0.0,E,Minimum
08HB086,Q,2017,H,,11,26,4,5,PST,236.0, ,Maximum
08HB086,Q,2018,H,,11,3,21,35,PST,320.0,E,Maximum
08HB086,Q,2018,L,,8,6,9,0,PST,0.0, ,Minimum
08HB086,Q,2019,H,,1,3,10,25,PST,262.0, ,Maximum
08HB086,Q,2019,L,,6,27,5,55,PST,0.014000000432133676,E,Minimum
08HB086,Q,2020,H,,1,3,7,45,PST,323.0,E,Maximum
08HB086,Q,2020,L,,9,15,0,55,PST,0.0,E,Minimum
08HB086,Q,2021,H,,9,30,0,35,PST,240.0,E,Maximum
08HB086,Q,2022,H,,12,24,10,5,PST,174.0, ,Maximum
08HB086,Q,2023,H,,12,25,19,10,PST,310.0,E,Maximum
08HB086,Q,2023,L,,7,22,15,45,PST,0.0,E,Minimum
08HB086,Q,2024,H,,1,28,23,55,PST,223.0,E,Maximum
08HB086,Q,2024,L,,8,16,22,0,PST,0.0,E,Minimum
