STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08HD025,H,1997,H,8,11,3,21,1,PST,5.158999919891357,,Maximum
08HD025,H,1998,H,8,1,24,18,47,PST,5.0980000495910645,,Maximum
08HD025,H,1999,H,8,1,15,4,6,PST,4.872000217437744, ,Maximum
08HD025,H,1999,L,8,10,27,11,46,PST,2.9830000400543213, ,Minimum
08HD025,H,2000,H,8,1,9,8,56,PST,4.64900016784668, ,Maximum
08HD025,H,2000,L,8,10,15,12,26,PST,0.9259999990463256, ,Minimum
08HD025,H,2001,H,8,11,21,13,56,PST,5.061999797821045, ,Maximum
08HD025,H,2001,L,8,10,15,21,16,PST,2.924000024795532, ,Minimum
08HD025,H,2002,H,8,1,8,3,46,PST,5.208000183105469, ,Maximum
08HD025,H,2002,L,8,11,5,18,1,PST,2.186000108718872, ,Minimum
08HD025,H,2003,H,8,4,9,1,11,PST,5.287000179290772, ,Maximum
08HD025,H,2003,L,8,10,8,4,46,PST,2.8289999961853027, ,Minimum
08HD025,H,2004,H,8,11,15,13,31,PST,5.275000095367432, ,Maximum
08HD025,H,2004,L,8,10,24,19,41,PST,3.1040000915527344, ,Minimum
08HD025,H,2005,H,8,12,25,2,1,PST,5.150000095367432,,Maximum
08HD025,H,2005,L,8,10,10,1,41,PST,2.940000057220459,,Minimum
08HD025,H,2006,H,8,11,20,3,26,PST,5.056000232696533,,Maximum
08HD025,H,2006,L,8,10,25,16,36,PST,2.556999921798706,,Minimum
08HD025,H,2007,H,8,11,12,18,31,PST,5.257999897003174,,Maximum
08HD025,H,2007,L,8,9,29,15,1,PST,3.039999961853028,,Minimum
08HD025,H,2008,H,8,5,20,9,56,PST,4.706999778747559,,Maximum
08HD025,H,2009,H,8,11,16,11,42,PST,5.495999813079834,,Maximum
08HD025,H,2009,L,8,10,15,21,3,PST,2.992000102996826,,Minimum
08HD025,H,2010,H,8,1,12,7,22,PST,5.416999816894531,,Maximum
08HD025,H,2010,L,8,10,9,22,57,PST,3.5,,Minimum
08HD025,H,2011,H,8,11,27,18,38,PST,5.296999931335449, ,Maximum
08HD025,H,2011,L,8,9,21,4,38,PST,3.572000026702881, ,Minimum
08HD025,H,2012,H,8,1,5,2,8,PST,5.363999843597412, ,Maximum
08HD025,H,2012,L,8,10,11,21,17,PST,3.115999937057495, ,Minimum
08HD025,H,2013,H,8,3,16,10,32,PST,4.74399995803833, ,Maximum
08HD025,H,2013,L,8,9,26,22,42,PST,3.336999893188477, ,Minimum
08HD025,H,2014,H,8,12,10,19,52,PST,5.390999794006348, ,Maximum
08HD025,H,2014,L,8,10,12,19,52,PST,2.6059999465942383, ,Minimum
08HD025,H,2015,H,8,12,8,23,27,PST,5.117000102996826, ,Maximum
08HD025,H,2015,L,8,9,19,15,2,PST,3.07699990272522, ,Minimum
08HD025,H,2016,H,8,1,28,12,37,PST,5.409999847412109, ,Maximum
08HD025,H,2016,L,8,10,4,17,17,PST,3.2260000705718994, ,Minimum
08HD025,H,2017,H,8,11,26,14,37,PST,5.142000198364258, ,Maximum
08HD025,H,2017,L,8,10,16,4,32,PST,2.631999969482422, ,Minimum
08HD025,H,2018,H,8,12,15,3,20,PST,5.142000198364258, ,Maximum
08HD025,H,2018,L,8,9,15,17,5,PST,2.8959999084472656, ,Minimum
08HD025,H,2019,H,8,1,4,19,35,PST,5.14300012588501, ,Maximum
08HD025,H,2019,L,8,3,20,18,0,PST,3.0220000743865967, ,Minimum
08HD025,H,2020,H,8,2,1,13,20,PST,5.191999912261963, ,Maximum
08HD025,H,2020,L,8,9,22,23,30,PST,3.066999912261963, ,Minimum
08HD025,H,2021,H,8,12,1,17,20,PST,5.124000072479248, ,Maximum
08HD025,H,2021,L,8,9,16,19,45,PST,2.609999895095825, ,Minimum
08HD025,H,2022,H,8,6,5,19,45,PST,4.741000175476074, ,Maximum
08HD025,H,2022,L,8,10,22,13,55,PST,2.1659998893737797, ,Minimum
08HD025,H,2023,H,8,12,28,21,10,PST,5.173999786376953, ,Maximum
08HD025,H,2023,L,8,10,16,0,20,PST,2.678999900817871, ,Minimum
08HD025,H,2024,H,8,1,31,22,35,PST,5.163000106811523, ,Maximum
08HD025,H,2024,L,8,10,7,3,10,PST,2.884999990463257, ,Minimum
