STATION_NUMBER,date,flow_cms,quality_symbol
08HDX03,2016-06-01,,
08HDX03,2016-07-01,57.09999847412109,
08HDX03,2016-08-01,34.400001525878906,
08HDX03,2016-09-01,41.79999923706055,
08HDX03,2016-10-01,103.0,
08HDX03,2016-11-01,160.0,
08HDX03,2016-12-01,161.0,
08HDX03,2017-01-01,122.0,
08HDX03,2017-02-01,96.0,
08HDX03,2017-03-01,113.0,
08HDX03,2017-04-01,106.0,
08HDX03,2017-05-01,116.0,
08HDX03,2017-06-01,128.0,
08HDX03,2017-07-01,124.0,
08HDX03,2017-08-01,42.70000076293945,
08HDX03,2017-09-01,40.70000076293945,
08HDX03,2017-10-01,108.0,
08HDX03,2017-11-01,94.1999969482422,
08HDX03,2017-12-01,196.0,
08HDX03,2018-01-01,117.0,
08HDX03,2018-02-01,147.0,
08HDX03,2018-03-01,119.0,
08HDX03,2018-04-01,115.0,
08HDX03,2018-05-01,118.0,
08HDX03,2018-06-01,109.0,
08HDX03,2018-07-01,73.80000305175781,
08HDX03,2018-08-01,32.70000076293945,
08HDX03,2018-09-01,33.29999923706055,
08HDX03,2018-10-01,109.0,
08HDX03,2018-11-01,98.8000030517578,
08HDX03,2018-12-01,130.0,
08HDX03,2019-01-01,166.0,
08HDX03,2019-02-01,141.0,
08HDX03,2019-03-01,99.6999969482422,
08HDX03,2019-04-01,81.9000015258789,
08HDX03,2019-05-01,83.9000015258789,
08HDX03,2019-06-01,65.30000305175781,
08HDX03,2019-07-01,34.79999923706055,
08HDX03,2019-08-01,34.5,
08HDX03,2019-09-01,38.400001525878906,
08HDX03,2019-10-01,96.8000030517578,
08HDX03,2019-11-01,97.6999969482422,
08HDX03,2019-12-01,93.8000030517578,
08HDX03,2020-01-01,116.0,
08HDX03,2020-02-01,295.0,
08HDX03,2020-03-01,112.0,
08HDX03,2020-04-01,103.0,
08HDX03,2020-05-01,115.0,
08HDX03,2020-06-01,113.0,
08HDX03,2020-07-01,43.20000076293945,
08HDX03,2020-08-01,39.70000076293945,
08HDX03,2020-09-01,40.400001525878906,
08HDX03,2020-10-01,112.0,
