STATION_NUMBER,date,flow_cms,quality_symbol
08KA003,1949-06-01,,
08KA003,1949-07-01,28.299999237060547,
08KA003,1949-08-01,40.5,
08KA003,1949-09-01,21.399999618530277,
08KA003,1949-10-01,11.199999809265137,
08KA003,1949-11-01,16.0,
08KA003,1949-12-01,10.600000381469728,
08KA003,1950-05-01,,
08KA003,1950-06-01,21.0,
08KA003,1950-07-01,,
08KA003,1950-08-01,23.0,
08KA003,1950-09-01,25.200000762939453,
08KA003,1950-10-01,10.300000190734863,
08KA003,1950-11-01,12.0,
08KA003,1951-04-01,,
08KA003,1951-05-01,7.650000095367432,
08KA003,1951-06-01,29.700000762939453,
08KA003,1951-07-01,59.5,
08KA003,1951-08-01,38.5,
08KA003,1951-09-01,15.800000190734863,E
08KA003,1951-10-01,15.100000381469728,
08KA003,1951-11-01,36.79999923706055,
08KA003,1952-05-01,,
08KA003,1952-06-01,53.5,
08KA003,1952-07-01,66.80000305175781,
08KA003,1952-08-01,44.5,
08KA003,1952-09-01,16.600000381469727,
08KA003,1952-10-01,27.600000381469727,
08KA003,1952-11-01,13.100000381469728,
08KA003,1949-06-02,,
08KA003,1949-07-02,26.799999237060547,
08KA003,1949-08-02,42.5,
08KA003,1949-09-02,20.100000381469727,
08KA003,1949-10-02,9.829999923706056,
08KA003,1949-11-02,14.0,
08KA003,1949-12-02,11.600000381469728,
08KA003,1950-05-02,,
08KA003,1950-06-02,21.799999237060547,
08KA003,1950-07-02,,
08KA003,1950-08-02,38.5,
08KA003,1950-09-02,30.600000381469727,
08KA003,1950-10-02,10.100000381469728,
08KA003,1950-11-02,11.0,
08KA003,1951-04-02,,
08KA003,1951-05-02,7.960000038146973,
08KA003,1951-06-02,30.0,
08KA003,1951-07-02,61.400001525878906,
08KA003,1951-08-02,38.20000076293945,
08KA003,1951-09-02,15.699999809265137,
08KA003,1951-10-02,14.800000190734863,
08KA003,1951-11-02,36.20000076293945,
08KA003,1952-05-02,,
08KA003,1952-06-02,58.900001525878906,
08KA003,1952-07-02,60.0,
08KA003,1952-08-02,43.0,
08KA003,1952-09-02,16.299999237060547,
08KA003,1952-10-02,26.799999237060547,
08KA003,1952-11-02,16.700000762939453,
08KA003,1949-06-03,,
08KA003,1949-07-03,24.899999618530277,
08KA003,1949-08-03,45.0,
08KA003,1949-09-03,19.5,
08KA003,1949-10-03,9.600000381469728,
08KA003,1949-11-03,14.5,
08KA003,1949-12-03,,
08KA003,1950-05-03,,
08KA003,1950-06-03,26.299999237060547,
08KA003,1950-07-03,,
08KA003,1950-08-03,39.400001525878906,
08KA003,1950-09-03,28.600000381469727,
08KA003,1950-10-03,8.720000267028809,
08KA003,1950-11-03,10.100000381469728,
08KA003,1951-04-03,,
08KA003,1951-05-03,7.21999979019165,
08KA003,1951-06-03,31.399999618530277,
08KA003,1951-07-03,64.30000305175781,
08KA003,1951-08-03,38.79999923706055,
08KA003,1951-09-03,15.600000381469728,
08KA003,1951-10-03,14.699999809265137,
08KA003,1951-11-03,35.70000076293945,
08KA003,1952-05-03,,
08KA003,1952-06-03,59.70000076293945,
08KA003,1952-07-03,73.5999984741211,E
08KA003,1952-08-03,42.5,
08KA003,1952-09-03,16.700000762939453,
08KA003,1952-10-03,24.899999618530277,
08KA003,1952-11-03,21.0,
08KA003,1949-06-04,,
08KA003,1949-07-04,25.200000762939453,
08KA003,1949-08-04,43.0,
08KA003,1949-09-04,23.5,
08KA003,1949-10-04,9.600000381469728,
08KA003,1949-11-04,14.5,
08KA003,1949-12-04,,
08KA003,1950-05-04,,
08KA003,1950-06-04,34.0,
08KA003,1950-07-04,,
08KA003,1950-08-04,29.700000762939453,
08KA003,1950-09-04,30.0,
08KA003,1950-10-04,10.300000190734863,
08KA003,1950-11-04,45.900001525878906,
08KA003,1951-04-04,,
08KA003,1951-05-04,8.720000267028809,
08KA003,1951-06-04,36.20000076293945,
08KA003,1951-07-04,68.0,
08KA003,1951-08-04,39.900001525878906,
08KA003,1951-09-04,13.5,
08KA003,1951-10-04,14.100000381469728,
08KA003,1951-11-04,36.20000076293945,
08KA003,1952-05-04,,
08KA003,1952-06-04,65.4000015258789,
08KA003,1952-07-04,87.5,
08KA003,1952-08-04,39.09999847412109,
08KA003,1952-09-04,17.0,
08KA003,1952-10-04,22.299999237060547,
08KA003,1952-11-04,17.200000762939453,
08KA003,1949-06-05,,
08KA003,1949-07-05,31.399999618530277,
08KA003,1949-08-05,37.09999847412109,
08KA003,1949-09-05,21.100000381469727,
08KA003,1949-10-05,10.100000381469728,
08KA003,1949-11-05,15.100000381469728,
08KA003,1949-12-05,,
08KA003,1950-05-05,,
08KA003,1950-06-05,47.0,
08KA003,1950-07-05,,
08KA003,1950-08-05,27.799999237060547,
08KA003,1950-09-05,25.200000762939453,
08KA003,1950-10-05,9.829999923706056,
08KA003,1950-11-05,28.600000381469727,
08KA003,1951-04-05,,
08KA003,1951-05-05,13.5,
08KA003,1951-06-05,37.09999847412109,
08KA003,1951-07-05,71.0999984741211,
08KA003,1951-08-05,,
08KA003,1951-09-05,12.800000190734863,
08KA003,1951-10-05,13.399999618530272,
08KA003,1951-11-05,21.100000381469727,
08KA003,1952-05-05,,
08KA003,1952-06-05,65.69999694824219,
08KA003,1952-07-05,83.30000305175781,
08KA003,1952-08-05,40.79999923706055,
08KA003,1952-09-05,17.299999237060547,
08KA003,1952-10-05,21.399999618530277,
08KA003,1952-11-05,10.5,
08KA003,1949-06-06,,
08KA003,1949-07-06,35.099998474121094,
08KA003,1949-08-06,37.900001525878906,
08KA003,1949-09-06,19.0,
08KA003,1949-10-06,9.260000228881836,
08KA003,1949-11-06,16.200000762939453,
08KA003,1949-12-06,,
08KA003,1950-05-06,,
08KA003,1950-06-06,44.70000076293945,
08KA003,1950-07-06,,
08KA003,1950-08-06,28.299999237060547,
08KA003,1950-09-06,20.5,
08KA003,1950-10-06,10.5,
08KA003,1950-11-06,24.600000381469727,
08KA003,1951-04-06,,
08KA003,1951-05-06,19.799999237060547,
08KA003,1951-06-06,33.400001525878906,
08KA003,1951-07-06,66.0,
08KA003,1951-08-06,,
08KA003,1951-09-06,13.100000381469728,
08KA003,1951-10-06,13.600000381469728,
08KA003,1951-11-06,15.300000190734863,
08KA003,1952-05-06,,
08KA003,1952-06-06,67.69999694824219,
08KA003,1952-07-06,65.4000015258789,
08KA003,1952-08-06,44.5,
08KA003,1952-09-06,18.100000381469727,
08KA003,1952-10-06,21.0,
08KA003,1952-11-06,9.369999885559082,
08KA003,1949-06-07,,
08KA003,1949-07-07,35.099998474121094,
08KA003,1949-08-07,34.29999923706055,
08KA003,1949-09-07,17.899999618530273,
08KA003,1949-10-07,8.5,
08KA003,1949-11-07,16.200000762939453,
08KA003,1949-12-07,,
08KA003,1950-05-07,,
08KA003,1950-06-07,37.900001525878906,
08KA003,1950-07-07,,
08KA003,1950-08-07,30.899999618530277,
