STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08KE024,H,2011,H,8.0,5,27.0,2.0,15.0,PST,2.4679999351501465, ,Maximum
08KE024,H,2011,L,8.0,11,4.0,7.0,5.0,PST,1.0260000228881836, ,Minimum
08KE024,H,2012,H,8.0,6,17.0,7.0,20.0,PST,2.242000102996826, ,Maximum
08KE024,H,2013,H,8.0,5,12.0,16.0,25.0,PST,2.385999917984009, ,Maximum
08KE024,H,2013,L,8.0,9,15.0,16.0,50.0,PST,0.9769999980926514, ,Minimum
08KE024,H,2014,H,8.0,5,23.0,23.0,40.0,PST,2.441999912261963, ,Maximum
08KE024,H,2014,L,8.0,4,1.0,5.0,35.0,PST,0.9829999804496764, ,Minimum
08KE024,H,2015,L,8.0,8,28.0,3.0,35.0,PST,0.9829999804496764, ,Minimum
08KE024,H,2016,H,8.0,4,23.0,8.0,30.0,PST,1.932000041007996, ,Maximum
08KE024,H,2016,L,8.0,1,20.0,22.0,10.0,PST,0.9959999918937684, ,Minimum
08KE024,H,2017,L,8.0,8,12.0,17.0,5.0,PST,0.9449999928474426, ,Minimum
08KE024,H,2018,H,8.0,5,14.0,23.0,40.0,PST,2.193000078201294, ,Maximum
08KE024,H,2018,L,8.0,4,2.0,6.0,40.0,PST,0.977999985218048, ,Minimum
08KE024,H,2019,L,8.0,1,7.0,4.0,25.0,PST,0.9810000061988832, ,Minimum
08KE024,H,2020,H,8.0,5,31.0,10.0,15.0,PST,2.3239998817443848, ,Maximum
08KE024,H,2020,L,8.0,3,7.0,0.0,40.0,PST,1.0130000114440918, ,Minimum
08KE024,H,2021,H,8.0,5,16.0,23.0,50.0,PST,2.0439999103546143, ,Maximum
08KE024,H,2021,L,8.0,9,8.0,5.0,30.0,PST,0.9670000076293944, ,Minimum
08KE024,H,2022,H,8.0,6,8.0,22.0,35.0,PST,2.184999942779541, ,Maximum
08KE024,H,2022,L,8.0,11,2.0,2.0,40.0,PST,0.99099999666214, ,Minimum
08KE024,H,2023,H,8.0,5,6.0,23.0,30.0,PST,2.556999921798706, ,Maximum
08KE024,H,2024,H,8.0,2,18.0,15.0,5.0,PST,2.0420000553131104, ,Maximum
08KE024,H,2024,L,8.0,1,25.0,14.0,10.0,PST,0.9879999756813048, ,Minimum
08KE024,Q,1972,H,,5,29.0,22.0,12.0,PST,37.70000076293945,,Maximum
08KE024,Q,1973,H,,5,24.0,22.0,42.0,PST,24.200000762939453,,Maximum
08KE024,Q,1974,H,,6,16.0,0.0,1.0,PST,25.799999237060547,,Maximum
08KE024,Q,1975,H,,6,13.0,14.0,31.0,PST,23.700000762939453,,Maximum
08KE024,Q,1976,H,,5,10.0,22.0,43.0,PST,39.900001525878906,,Maximum
08KE024,Q,1977,H,,4,26.0,16.0,5.0,PST,23.700000762939453,,Maximum
08KE024,Q,1978,H,,5,20.0,21.0,4.0,PST,17.700000762939453,,Maximum
08KE024,Q,1979,H,,5,26.0,22.0,40.0,PST,38.79999923706055,,Maximum
08KE024,Q,1980,H,,4,29.0,2.0,10.0,PST,19.0,,Maximum
08KE024,Q,1981,H,,5,31.0,0.0,15.0,PST,36.29999923706055,,Maximum
08KE024,Q,1982,H,,7,22.0,16.0,25.0,PST,48.5,,Maximum
08KE024,Q,1983,H,,6,18.0,2.0,53.0,PST,14.899999618530272,,Maximum
08KE024,Q,1984,H,,6,12.0,23.0,5.0,PST,25.5,,Maximum
08KE024,Q,1985,H,,6,5.0,19.0,40.0,PST,34.29999923706055,,Maximum
08KE024,Q,1986,H,,6,1.0,23.0,34.0,PST,39.79999923706055,,Maximum
08KE024,Q,1987,H,,5,8.0,23.0,40.0,PST,17.700000762939453,,Maximum
08KE024,Q,1988,H,,5,,,,,39.0,,Maximum
08KE024,Q,1991,H,,5,19.0,23.0,11.0,PST,27.399999618530277,,Maximum
08KE024,Q,1993,H,,5,15.0,22.0,52.0,PST,45.09999847412109,,Maximum
08KE024,Q,1994,H,,5,11.0,22.0,8.0,PST,24.200000762939453,,Maximum
08KE024,Q,1995,H,,5,15.0,6.0,30.0,PST,19.899999618530277,,Maximum
08KE024,Q,1996,H,,7,20.0,20.0,0.0,PST,19.600000381469727,,Maximum
08KE024,Q,1997,H,,6,1.0,3.0,52.0,PST,34.099998474121094,,Maximum
08KE024,Q,1998,H,,5,2.0,22.0,0.0,PST,21.100000381469727,,Maximum
08KE024,Q,1999,H,,5,24.0,21.0,0.0,PST,30.299999237060547, ,Maximum
08KE024,Q,2000,H,,5,21.0,19.0,21.0,PST,24.200000762939453, ,Maximum
08KE024,Q,2000,L,,2,14.0,0.0,0.0,PST,0.2720000147819519,B,Minimum
08KE024,Q,2001,H,,7,19.0,7.0,41.0,PST,23.700000762939453, ,Maximum
08KE024,Q,2001,L,,2,25.0,0.0,0.0,PST,0.23600000143051147,B,Minimum
08KE024,Q,2002,H,,5,21.0,19.0,58.0,PST,31.899999618530277, ,Maximum
08KE024,Q,2002,L,,2,24.0,0.0,0.0,PST,0.28999999165534973,B,Minimum
08KE024,Q,2003,H,,5,25.0,2.0,0.0,PST,17.0, ,Maximum
08KE024,Q,2003,L,,8,20.0,18.0,0.0,PST,0.2770000100135803, ,Minimum
08KE024,Q,2004,H,,6,6.0,14.0,45.0,PST,29.5, ,Maximum
08KE024,Q,2005,H,,5,16.0,12.0,20.0,PST,22.200000762939453, ,Maximum
08KE024,Q,2005,L,,8,28.0,2.0,0.0,PST,0.4749999940395355, ,Minimum
