STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08LA028,H,2011,L,8.0,4,12,3,35,PST,1.3580000400543213, ,Minimum
08LA028,H,2012,H,8.0,5,16,4,40,PST,1.906000018119812, ,Maximum
08LA028,H,2013,H,8.0,5,12,22,50,PST,2.025000095367432, ,Maximum
08LA028,H,2013,L,8.0,11,11,4,30,PST,1.378000020980835, ,Minimum
08LA028,Q,1999,H,,5,24,23,45,PST,14.5, ,Maximum
08LA028,Q,2000,L,,12,11,0,0,PST,0.057999998331069946,B,Minimum
08LA028,Q,2001,H,,7,22,8,30,PST,8.010000228881836, ,Maximum
08LA028,Q,2001,L,,4,14,6,15,PST,0.04100000113248825, ,Minimum
08LA028,Q,2002,H,,5,29,20,15,PST,13.800000190734863, ,Maximum
08LA028,Q,2002,L,,12,29,0,0,PST,0.04399999976158142,B,Minimum
08LA028,Q,2003,H,,5,25,3,15,PST,4.480000019073486, ,Maximum
08LA028,Q,2003,L,,9,10,14,0,PST,0.003000000026077032, ,Minimum
08LA028,Q,2004,H,,5,3,0,30,PST,5.130000114440918, ,Maximum
08LA028,Q,2004,L,,3,20,4,0,PST,0.02199999988079071, ,Minimum
08LA028,Q,2005,H,,5,16,7,30,PST,7.929999828338623, ,Maximum
08LA028,Q,2005,L,,8,28,21,45,PST,0.10599999874830246, ,Minimum
08LA028,Q,2006,H,,5,18,3,30,PST,6.889999866485596, ,Maximum
08LA028,Q,2007,H,,5,17,1,0,PST,6.460000038146973, ,Maximum
08LA028,Q,2008,H,,5,17,21,30,PST,12.0, ,Maximum
08LA028,Q,2009,H,,5,19,8,45,PST,7.489999771118164, ,Maximum
08LA028,Q,2010,H,,5,19,3,0,PST,7.800000190734863, ,Maximum
08LA028,Q,2012,H,,5,16,4,40,PST,6.110000133514404, ,Maximum
08LA028,Q,2013,H,,5,12,23,0,PST,9.579999923706056, ,Maximum
