Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08LE024,2024-06-12T20:40:00,-8,Stage/Niveau d'eau,2.362,,,,,,,,,GC: 0.000 HG: 2.360,,,,,,Provisional/Provisoire,
08LE024,2024-06-12T20:01:00,-8,Discharge/Débit,,2.375,105.0,44.0,-0.022,-0.025,-0.025,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",CONTROL CLEAR,1225-1230 READINGS ARE WHILE SITE FEED IS CLOSED - NEED TO BE DELETED LARGE DEBRIS HUNG UP ON U/S R/B PIER - DOES NOT APPEAR TO BE AFFECTING WL ADCP by Moving Boat,47.0,95.6,1.1,13.7,7.7,Provisional/Provisoire,3.7
08LE024,2024-06-12T19:20:00,-8,Stage/Niveau d'eau,2.387,,,,,,,,,GC: 0.000 HG: 2.384 Flushed (FL),,,,,,Provisional/Provisoire,
08LE024,2024-05-10T00:45:00,-8,Stage/Niveau d'eau,1.729,,,,,,,,,GC: 0.000 HG: 1.729,,,,,,Provisional/Provisoire,
08LE024,2024-05-10T00:27:30,-8,Discharge/Débit,,1.73,41.7,44.0,-0.0178,-0.031600002,-0.031600002,"Measurement condition : Clear; Clear , No Precipitation ,  ",CONTROL CLEAR,ADCP by Moving Boat,45.5,68.9,0.605,26.1,9.8,Provisional/Provisoire,4.5
08LE024,2024-05-10T00:00:00,-8,Stage/Niveau d'eau,1.73,,,,,,,,,GC: 0.000 HG: 1.727,,,,,,Provisional/Provisoire,
08LE024,2024-03-11T21:34:00,-8,Stage/Niveau d'eau,1.222,,,,,,,,,GC: 0.000 HG: 1.220,,,,,,Provisional/Provisoire,
08LE024,2024-03-11T21:10:00,-8,Discharge/Débit,,1.222,11.9,44.0,-0.0227,-0.0727,0.0215,"Measurement condition : Clear; Partly Cloudy , No Precipitation ,  ",100% OPEN,COMPLETED CONFIRMATION MMNT AS 1ST DID NOT PLOT. ST 10422 END 1202 MGH 1.221m Q 11.9  Mid-section,43.0,45.3,0.26,7.2,3.2,Provisional/Provisoire,5.42
08LE024,2024-03-11T20:00:00,-8,Stage/Niveau d'eau,1.222,,,,,,,,,GC: 0.000 HG: 1.220,,,,,,Provisional/Provisoire,
08LE024,2024-03-11T19:22:00,-8,Discharge/Débit,,1.222,11.9,44.0,-0.0227,-0.0727,0.0215,"Measurement condition : Clear; Partly Cloudy , No Precipitation ,  ",100% OPEN,COMPLETED CONFIRMATION MMNT AS 1ST DID NOT PLOT. ST 10422 END 1202 MGH 1.221m Q 11.9;,,,,7.2,3.2,Provisional/Provisoire,5.42
08LE024,2024-03-11T19:01:00,-8,Stage/Niveau d'eau,1.22,,,,,,,,,GC: 0.000 HG: 1.219,,,,,,Provisional/Provisoire,
