Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08MA003,2024-05-23T20:20:00,-8,Stage/Niveau d'eau,1.844,,,,,,,,,GC: 0.000 HG: 1.848 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08MA003,2024-05-23T20:01:00,-8,Discharge/Débit,,1.846,35.6,14.0,-0.00349,-0.0069,-0.0069,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Downstream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Too windy and turbulent to do another reset. Left as is. ADCP by Moving Boat",36.9,37.0,0.963,12.5,6.9,Provisional/Provisoire,5.0
08MA003,2024-05-23T19:05:00,-8,Stage/Niveau d'eau,1.848,,,,,,,,,GC: 0.000 HG: 1.838 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08MA003,2024-03-13T22:15:00,-8,Stage/Niveau d'eau,1.158,,,,,,,,,GC: 0.000 HG: 1.158 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
08MA003,2024-03-13T21:54:00,-8,Discharge/Débit,,1.156,5.41,14.0,-0.00448,-0.0173,-0.0173,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Moderate Wind Blowing Downstream","Marginal ice on shore, but non in water.","Strong wind might cause the mmt. to plot to the right. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",29.2,16.6,0.326,4.5,2.0,Provisional/Provisoire,6.2
08MA003,2024-03-13T21:30:00,-8,Stage/Niveau d'eau,1.154,,,,,,,,,GC: 0.000 HG: 1.154,,,,,,Provisional/Provisoire,
08MA003,2024-02-13T23:10:00,-8,Stage/Niveau d'eau,1.298,,,,,,,,,GC: 0.000 HG: 1.297 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Final/Finales,
08MA003,2024-02-13T22:52:00,-8,Discharge/Débit,,1.298,9.53,14.0,0.0137,0.0461,0.0461,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind ",no ice in channel.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Changed panel locaton. An inserted panel should have been inserted at 25.25m, but typed in 25.75m (which is really close to the 26.0m mark). I changed it, and it added 0.01cms to final Q. Mid-section",26.5,15.0,0.633,-6.4,1.1,Final/Finales,6.82
08MA003,2024-02-13T22:45:00,-8,Stage/Niveau d'eau,1.301,,,,,,,,,GC: 0.000 HG: 1.307 Reset (RS),,,,,,Final/Finales,
08MA003,2024-02-13T22:35:00,-8,Stage/Niveau d'eau,1.298,,,,,,,,,GC: 0.000 HG: 1.302,,,,,,Final/Finales,
