STATION_NUMBER,date,flow_cms,quality_symbol
08MF036,1952-04-01,1.3300000429153442,E
08MF036,1952-05-01,1.950000047683716,
08MF036,1952-06-01,2.009999990463257,
08MF036,1952-07-01,1.6100000143051147,E
08MF036,1952-08-01,0.6909999847412109,
08MF036,1952-09-01,0.4050000011920929,E
08MF036,1953-04-01,1.159999966621399,
08MF036,1953-05-01,1.840000033378601,
08MF036,1953-06-01,1.809999942779541,
08MF036,1953-07-01,1.7000000476837158,
08MF036,1953-08-01,0.6290000081062317,
08MF036,1953-09-01,0.4079999923706055,
08MF036,1954-04-01,,
08MF036,1954-05-01,0.906000018119812,
08MF036,1954-06-01,2.009999990463257,
08MF036,1954-07-01,3.849999904632568,
08MF036,1954-08-01,0.6629999876022339,
08MF036,1954-09-01,0.8830000162124634,
08MF036,1955-04-01,,
08MF036,1955-05-01,1.0299999713897705,
08MF036,1955-06-01,2.690000057220459,
08MF036,1955-07-01,3.7100000381469727,
08MF036,1955-08-01,3.309999942779541,
08MF036,1955-09-01,0.3540000021457672,
08MF036,1956-04-01,1.7300000190734863,
08MF036,1956-05-01,1.7599999904632568,
08MF036,1956-06-01,2.630000114440918,
08MF036,1956-07-01,2.289999961853028,
08MF036,1956-08-01,0.722000002861023,
08MF036,1956-09-01,0.37400001287460327,
08MF036,1957-04-01,,
08MF036,1957-05-01,2.440000057220459,
08MF036,1957-06-01,2.009999990463257,
08MF036,1957-07-01,1.0399999618530271,
08MF036,1957-08-01,0.5040000081062317,
08MF036,1957-09-01,0.3059999942779541,
08MF036,1952-04-02,1.309999942779541,
08MF036,1952-05-02,1.6699999570846558,
08MF036,1952-06-02,2.0999999046325684,
08MF036,1952-07-02,1.5,
08MF036,1952-08-02,0.6600000262260437,
08MF036,1952-09-02,0.39899998903274536,E
08MF036,1953-04-02,0.9940000176429749,
08MF036,1953-05-02,1.7300000190734863,
08MF036,1953-06-02,1.6699999570846558,
08MF036,1953-07-02,1.3700000047683716,
08MF036,1953-08-02,0.6370000243186951,
08MF036,1953-09-02,0.4079999923706055,
08MF036,1954-04-02,,
08MF036,1954-05-02,0.8500000238418579,
08MF036,1954-06-02,1.840000033378601,
08MF036,1954-07-02,3.1700000762939453,
08MF036,1954-08-02,0.6629999876022339,
08MF036,1954-09-02,0.7929999828338623,
08MF036,1955-04-02,,
08MF036,1955-05-02,1.0199999809265137,
08MF036,1955-06-02,2.720000028610229,
08MF036,1955-07-02,3.309999942779541,
08MF036,1955-08-02,1.950000047683716,
08MF036,1955-09-02,0.3400000035762787,
08MF036,1956-04-02,1.6100000143051147,
08MF036,1956-05-02,1.870000004768372,
08MF036,1956-06-02,2.440000057220459,
08MF036,1956-07-02,2.119999885559082,
08MF036,1956-08-02,0.7870000004768372,
08MF036,1956-09-02,0.3680000007152557,
08MF036,1957-04-02,,
08MF036,1957-05-02,2.2100000381469727,
08MF036,1957-06-02,1.809999942779541,
08MF036,1957-07-02,1.0199999809265137,
08MF036,1957-08-02,0.5609999895095825,
08MF036,1957-09-02,0.26100000739097595,
08MF036,1952-04-03,1.2699999809265137,
08MF036,1952-05-03,1.809999942779541,
08MF036,1952-06-03,2.0999999046325684,
08MF036,1952-07-03,1.4700000286102295,
08MF036,1952-08-03,0.6399999856948853,
08MF036,1952-09-03,0.3910000026226044,E
08MF036,1953-04-03,0.9940000176429749,
08MF036,1953-05-03,1.6399999856948853,
08MF036,1953-06-03,1.7300000190734863,
08MF036,1953-07-03,1.399999976158142,
08MF036,1953-08-03,0.5950000286102295,
08MF036,1953-09-03,0.4079999923706055,
08MF036,1954-04-03,,
08MF036,1954-05-03,0.8500000238418579,
08MF036,1954-06-03,1.950000047683716,
08MF036,1954-07-03,2.4600000381469727,
08MF036,1954-08-03,2.2699999809265137,
08MF036,1954-09-03,0.8500000238418579,
08MF036,1955-04-03,,
08MF036,1955-05-03,0.9629999995231628,
08MF036,1955-06-03,2.720000028610229,
08MF036,1955-07-03,3.140000104904175,
08MF036,1955-08-03,1.6699999570846558,
08MF036,1955-09-03,0.3310000002384186,
08MF036,1956-04-03,1.559999942779541,
08MF036,1956-05-03,1.7599999904632568,
08MF036,1956-06-03,2.609999895095825,
08MF036,1956-07-03,2.150000095367432,
08MF036,1956-08-03,0.7699999809265137,
08MF036,1956-09-03,0.3619999885559082,
08MF036,1957-04-03,,
08MF036,1957-05-03,1.950000047683716,
08MF036,1957-06-03,1.7000000476837158,
08MF036,1957-07-03,0.9800000190734864,
08MF036,1957-08-03,0.5609999895095825,
08MF036,1957-09-03,0.2290000021457672,
08MF036,1952-04-04,1.2100000381469729,
08MF036,1952-05-04,1.590000033378601,
08MF036,1952-06-04,2.4100000858306885,
08MF036,1952-07-04,1.440000057220459,
08MF036,1952-08-04,0.609000027179718,
08MF036,1952-09-04,0.3849999904632568,E
08MF036,1953-04-04,1.0099999904632568,
08MF036,1953-05-04,1.6399999856948853,
08MF036,1953-06-04,1.5299999713897705,
08MF036,1953-07-04,1.399999976158142,
08MF036,1953-08-04,0.6119999885559082,
08MF036,1953-09-04,0.3910000026226044,
08MF036,1954-04-04,,
08MF036,1954-05-04,0.8500000238418579,
08MF036,1954-06-04,2.289999961853028,
08MF036,1954-07-04,2.319999933242798,
08MF036,1954-08-04,1.090000033378601,
08MF036,1954-09-04,0.9629999995231628,
08MF036,1955-04-04,,
08MF036,1955-05-04,0.9399999976158142,
08MF036,1955-06-04,3.369999885559082,
08MF036,1955-07-04,2.890000104904175,
08MF036,1955-08-04,1.5,
08MF036,1955-09-04,0.31700000166893005,
08MF036,1956-04-04,1.9299999475479128,
08MF036,1956-05-04,1.6399999856948853,
08MF036,1956-06-04,2.630000114440918,
08MF036,1956-07-04,2.069999933242798,
08MF036,1956-08-04,0.753000020980835,
08MF036,1956-09-04,0.3680000007152557,
08MF036,1957-04-04,,
08MF036,1957-05-04,1.870000004768372,
08MF036,1957-06-04,1.6399999856948853,
08MF036,1957-07-04,0.9430000185966492,
08MF036,1957-08-04,0.578000009059906,
08MF036,1957-09-04,0.2240000069141388,
08MF036,1952-04-05,1.2300000190734863,
08MF036,1952-05-05,1.590000033378601,
08MF036,1952-06-05,2.890000104904175,
08MF036,1952-07-05,1.4199999570846558,
08MF036,1952-08-05,0.5690000057220459,
08MF036,1952-09-05,0.37700000405311584,E
08MF036,1953-04-05,1.0099999904632568,
08MF036,1953-05-05,2.069999933242798,
08MF036,1953-06-05,1.4700000286102295,
08MF036,1953-07-05,1.3700000047683716,
08MF036,1953-08-05,0.6119999885559082,
08MF036,1953-09-05,0.38199999928474426,
08MF036,1954-04-05,,
08MF036,1954-05-05,0.9509999752044678,
08MF036,1954-06-05,2.0999999046325684,
08MF036,1954-07-05,2.289999961853028,
08MF036,1954-08-05,0.8830000162124634,
08MF036,1954-09-05,0.8610000014305115,
08MF036,1955-04-05,,
08MF036,1955-05-05,0.906000018119812,
08MF036,1955-06-05,2.8299999237060547,
08MF036,1955-07-05,2.720000028610229,
08MF036,1955-08-05,1.3600000143051147,
08MF036,1955-09-05,0.2919999957084656,
08MF036,1956-04-05,1.6399999856948853,
08MF036,1956-05-05,1.7300000190734863,
08MF036,1956-06-05,2.440000057220459,
08MF036,1956-07-05,2.2100000381469727,
08MF036,1956-08-05,0.753000020980835,
08MF036,1956-09-05,0.3449999988079071,
08MF036,1957-04-05,,
08MF036,1957-05-05,2.039999961853028,
08MF036,1957-06-05,1.590000033378601,
08MF036,1957-07-05,0.906000018119812,
08MF036,1957-08-05,0.4869999885559082,
08MF036,1957-09-05,0.16099999845027924,
08MF036,1952-04-06,1.440000057220459,
08MF036,1952-05-06,1.5299999713897705,
08MF036,1952-06-06,2.5799999237060547,
08MF036,1952-07-06,1.3600000143051147,
08MF036,1952-08-06,0.5490000247955322,E
08MF036,1952-09-06,0.3709999918937683,E
08MF036,1953-04-06,0.9490000009536744,
08MF036,1953-05-06,2.5799999237060547,
08MF036,1953-06-06,1.590000033378601,
08MF036,1953-07-06,1.3300000429153442,
08MF036,1953-08-06,0.5350000262260437,
08MF036,1953-09-06,0.38199999928474426,
08MF036,1954-04-06,,
08MF036,1954-05-06,0.8830000162124634,
08MF036,1954-06-06,2.549999952316284,
08MF036,1954-07-06,2.2699999809265137,
08MF036,1954-08-06,0.8500000238418579,
08MF036,1954-09-06,0.7929999828338623,
08MF036,1955-04-06,,
08MF036,1955-05-06,0.9629999995231628,
08MF036,1955-06-06,2.9200000762939453,
08MF036,1955-07-06,2.549999952316284,
08MF036,1955-08-06,1.2899999618530271,
08MF036,1955-09-06,0.27799999713897705,
08MF036,1956-04-06,1.5,
08MF036,1956-05-06,1.7599999904632568,
08MF036,1956-06-06,2.2100000381469727,
08MF036,1956-07-06,1.9800000190734863,
08MF036,1956-08-06,0.6990000009536743,
08MF036,1956-09-06,0.3449999988079071,
08MF036,1957-04-06,,
08MF036,1957-05-06,2.2699999809265137,
08MF036,1957-06-06,1.559999942779541,
08MF036,1957-07-06,1.0199999809265137,
08MF036,1957-08-06,0.4699999988079071,
08MF036,1957-09-06,0.2150000035762787,
08MF036,1952-04-07,1.309999942779541,
08MF036,1952-05-07,1.5,
08MF036,1952-06-07,2.4100000858306885,
08MF036,1952-07-07,1.309999942779541,
08MF036,1952-08-07,0.5299999713897705,E
08MF036,1952-09-07,0.3650000095367432,E
08MF036,1953-04-07,0.902999997138977,
08MF036,1953-05-07,2.690000057220459,
08MF036,1953-06-07,1.6399999856948853,
08MF036,1953-07-07,1.3700000047683716,
08MF036,1953-08-07,0.5519999861717224,
08MF036,1953-09-07,0.38199999928474426,
08MF036,1954-04-07,,
08MF036,1954-05-07,0.9739999771118164,
08MF036,1954-06-07,2.4600000381469727,
08MF036,1954-07-07,2.4600000381469727,
08MF036,1954-08-07,0.7279999852180481,
08MF036,1954-09-07,0.7360000014305115,
08MF036,1955-04-07,,
08MF036,1955-05-07,1.0199999809265137,
08MF036,1955-06-07,2.890000104904175,
08MF036,1955-07-07,2.609999895095825,
08MF036,1955-08-07,1.2200000286102295,
08MF036,1955-09-07,0.27799999713897705,
08MF036,1956-04-07,1.590000033378601,
08MF036,1956-05-07,1.899999976158142,
08MF036,1956-06-07,2.630000114440918,
08MF036,1956-07-07,1.950000047683716,
08MF036,1956-08-07,0.6819999814033508,
08MF036,1956-09-07,0.33399999141693115,
08MF036,1957-04-07,,
08MF036,1957-05-07,2.289999961853028,
08MF036,1957-06-07,1.440000057220459,
08MF036,1957-07-07,0.8690000176429749,
08MF036,1957-08-07,0.4699999988079071,
08MF036,1957-09-07,0.25200000405311584,
08MF036,1952-04-08,1.190000057220459,
08MF036,1952-05-08,1.590000033378601,
08MF036,1952-06-08,2.240000009536743,
08MF036,1952-07-08,1.2799999713897705,
08MF036,1952-08-08,0.5099999904632568,
08MF036,1952-09-08,0.36000001430511475,E
08MF036,1953-04-08,0.8270000219345093,
08MF036,1953-05-08,2.2100000381469727,
08MF036,1953-06-08,1.7300000190734863,
08MF036,1953-07-08,1.399999976158142,
08MF036,1953-08-08,0.5690000057220459,
08MF036,1953-09-08,0.38199999928474426,
08MF036,1954-04-08,,
08MF036,1954-05-08,1.2300000190734863,
08MF036,1954-06-08,2.2100000381469727,
08MF036,1954-07-08,2.289999961853028,
08MF036,1954-08-08,0.7279999852180481,
08MF036,1954-09-08,0.7699999809265137,
08MF036,1955-04-08,,
08MF036,1955-05-08,1.0800000429153442,
08MF036,1955-06-08,3.140000104904175,
08MF036,1955-07-08,2.440000057220459,
08MF036,1955-08-08,1.149999976158142,
08MF036,1955-09-08,0.27799999713897705,
08MF036,1956-04-08,1.5,
08MF036,1956-05-08,2.069999933242798,
08MF036,1956-06-08,3.0899999141693115,
08MF036,1956-07-08,1.9299999475479128,
08MF036,1956-08-08,0.6309999823570251,
08MF036,1956-09-08,0.328000009059906,
08MF036,1957-04-08,,
08MF036,1957-05-08,2.3499999046325684,
08MF036,1957-06-08,1.399999976158142,
08MF036,1957-07-08,0.9430000185966492,
08MF036,1957-08-08,0.4869999885559082,
08MF036,1957-09-08,0.5239999890327454,
08MF036,1952-04-09,1.090000033378601,
08MF036,1952-05-09,1.559999942779541,
08MF036,1952-06-09,1.9299999475479128,
08MF036,1952-07-09,1.2699999809265137,
08MF036,1952-08-09,0.5889999866485596,
08MF036,1952-09-09,0.3540000021457672,
08MF036,1953-04-09,0.7760000228881836,
08MF036,1953-05-09,2.009999990463257,
08MF036,1953-06-09,1.6399999856948853,
08MF036,1953-07-09,1.3700000047683716,
08MF036,1953-08-09,0.5690000057220459,
08MF036,1953-09-09,0.3619999885559082,
08MF036,1954-04-09,,
08MF036,1954-05-09,1.6699999570846558,
08MF036,1954-06-09,2.0999999046325684,
08MF036,1954-07-09,2.180000066757202,
08MF036,1954-08-09,0.7049999833106995,
08MF036,1954-09-09,0.6819999814033508,
08MF036,1955-04-09,,
08MF036,1955-05-09,1.0199999809265137,
08MF036,1955-06-09,3.740000009536743,
08MF036,1955-07-09,2.3499999046325684,
08MF036,1955-08-09,1.100000023841858,
08MF036,1955-09-09,0.27799999713897705,
08MF036,1956-04-09,1.4199999570846558,
08MF036,1956-05-09,2.289999961853028,
08MF036,1956-06-09,3.509999990463257,
08MF036,1956-07-09,1.9299999475479128,
08MF036,1956-08-09,0.546999990940094,
08MF036,1956-09-09,0.33399999141693115,
08MF036,1957-04-09,,
08MF036,1957-05-09,2.289999961853028,
08MF036,1957-06-09,1.3600000143051147,
08MF036,1957-07-09,1.059999942779541,
08MF036,1957-08-09,0.6679999828338623,
08MF036,1957-09-09,1.440000057220459,
08MF036,1952-04-10,1.090000033378601,
08MF036,1952-05-10,2.4100000858306885,
08MF036,1952-06-10,1.9299999475479128,
08MF036,1952-07-10,1.2100000381469729,
08MF036,1952-08-10,0.5609999895095825,
08MF036,1952-09-10,0.34299999475479126,
08MF036,1953-04-10,0.7250000238418579,
08MF036,1953-05-10,1.840000033378601,
08MF036,1953-06-10,1.6699999570846558,
08MF036,1953-07-10,1.3700000047683716,
08MF036,1953-08-10,0.5440000295639038,
08MF036,1953-09-10,0.3449999988079071,
08MF036,1954-04-10,,
08MF036,1954-05-10,1.6699999570846558,
08MF036,1954-06-10,2.2100000381469727,
08MF036,1954-07-10,2.319999933242798,
08MF036,1954-08-10,0.6819999814033508,
08MF036,1954-09-10,0.6629999876022339,
08MF036,1955-04-10,,
08MF036,1955-05-10,1.0800000429153442,
08MF036,1955-06-10,4.300000190734863,
08MF036,1955-07-10,2.440000057220459,
08MF036,1955-08-10,1.0499999523162842,
08MF036,1955-09-10,0.27799999713897705,
08MF036,1956-04-10,1.399999976158142,
08MF036,1956-05-10,2.630000114440918,
08MF036,1956-06-10,5.71999979019165,
08MF036,1956-07-10,1.809999942779541,
08MF036,1956-08-10,0.6169999837875366,
08MF036,1956-09-10,0.328000009059906,
08MF036,1957-04-10,,
08MF036,1957-05-10,2.119999885559082,
08MF036,1957-06-10,1.2300000190734863,
08MF036,1957-07-10,1.1699999570846558,
08MF036,1957-08-10,0.5950000286102295,
08MF036,1957-09-10,0.6140000224113464,
08MF036,1952-04-11,1.100000023841858,
08MF036,1952-05-11,1.9800000190734863,
08MF036,1952-06-11,1.870000004768372,
08MF036,1952-07-11,1.0700000524520874,
08MF036,1952-08-11,0.5550000071525574,E
08MF036,1952-09-11,0.32600000500679016,
08MF036,1953-04-11,0.6970000267028809,
08MF036,1953-05-11,1.809999942779541,
08MF036,1953-06-11,1.6699999570846558,
08MF036,1953-07-11,1.1200000047683716,
08MF036,1953-08-11,0.4839999973773956,
08MF036,1953-09-11,0.32600000500679016,
08MF036,1954-04-11,,
08MF036,1954-05-11,1.7300000190734863,
08MF036,1954-06-11,2.0999999046325684,
08MF036,1954-07-11,2.2100000381469727,
08MF036,1954-08-11,0.6819999814033508,
08MF036,1954-09-11,1.7599999904632568,
08MF036,1955-04-11,,
08MF036,1955-05-11,2.150000095367432,
08MF036,1955-06-11,4.190000057220459,
08MF036,1955-07-11,2.3499999046325684,
08MF036,1955-08-11,1.0099999904632568,
08MF036,1955-09-11,0.2630000114440918,
08MF036,1956-04-11,1.3799999952316284,
08MF036,1956-05-11,2.150000095367432,
08MF036,1956-06-11,3.940000057220459,
08MF036,1956-07-11,1.7599999904632568,
08MF036,1956-08-11,0.6119999885559082,
08MF036,1956-09-11,0.3449999988079071,
08MF036,1957-04-11,,
08MF036,1957-05-11,2.119999885559082,
08MF036,1957-06-11,1.590000033378601,
08MF036,1957-07-11,1.0199999809265137,
08MF036,1957-08-11,0.43299999833107,
08MF036,1957-09-11,0.5239999890327454,
08MF036,1952-04-12,1.2100000381469729,
08MF036,1952-05-12,2.009999990463257,
08MF036,1952-06-12,1.809999942779541,
08MF036,1952-07-12,1.059999942779541,
08MF036,1952-08-12,0.546999990940094,E
08MF036,1952-09-12,0.296999990940094,
08MF036,1953-04-12,0.7160000205039978,
08MF036,1953-05-12,1.6699999570846558,
08MF036,1953-06-12,1.7300000190734863,
08MF036,1953-07-12,1.1200000047683716,
08MF036,1953-08-12,0.44999998807907104,
08MF036,1953-09-12,0.3449999988079071,
08MF036,1954-04-12,,
08MF036,1954-05-12,1.590000033378601,
08MF036,1954-06-12,2.2100000381469727,
08MF036,1954-07-12,2.009999990463257,
08MF036,1954-08-12,0.6629999876022339,
08MF036,1954-09-12,1.0199999809265137,
08MF036,1955-04-12,,
08MF036,1955-05-12,3.140000104904175,
08MF036,1955-06-12,3.7100000381469727,
08MF036,1955-07-12,2.440000057220459,
08MF036,1955-08-12,1.0199999809265137,
08MF036,1955-09-12,0.2549999952316284,
08MF036,1956-04-12,1.3600000143051147,
08MF036,1956-05-12,1.899999976158142,
08MF036,1956-06-12,3.1700000762939453,
08MF036,1956-07-12,1.6699999570846558,
08MF036,1956-08-12,0.6119999885559082,
08MF036,1956-09-12,0.33399999141693115,
08MF036,1957-04-12,1.870000004768372,
08MF036,1957-05-12,2.039999961853028,
08MF036,1957-06-12,1.3799999952316284,
08MF036,1957-07-12,1.1799999475479126,
08MF036,1957-08-12,0.4869999885559082,
08MF036,1957-09-12,0.4869999885559082,
08MF036,1952-04-13,1.0800000429153442,
08MF036,1952-05-13,2.0999999046325684,
08MF036,1952-06-13,1.7000000476837158,
