Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
08MH001,2024-06-11T23:00:00,-8,Stage/Niveau d'eau,2.616,,,,,,,,,GC: 0.000 HG: 2.603 Surge: 0.020  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
08MH001,2024-06-11T22:50:00,-8,Stage/Niveau d'eau,2.616,,,,,,,,,GC: 0.000 HG: 2.622 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
08MH001,2024-06-11T22:45:00,-8,Stage/Niveau d'eau,2.618,,,,,,,,,GC: 0.000 HG: 2.625 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
08MH001,2024-06-11T22:22:30,-8,Discharge/Débit,,2.619,100.0,68.0,-0.398,-0.0734,-0.0232,"Measurement condition : Clear; Mostly Cloudy , Light Rain , Heavy Wind Blowing Upstream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @;@ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @;@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @",39.0,54.1,1.85,18.9,13.3,Final/Finales,4.9
08MH001,2024-06-11T22:00:00,-8,Stage/Niveau d'eau,2.62,,,,,,,,,GC: 0.000 HG: 2.598 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
08MH001,2024-06-11T21:45:00,-8,Discharge/Débit,,2.619,102.0,68.0,-0.398,-0.0548,-0.0037,"Measurement condition : Clear; Mostly Cloudy , Light Rain , Heavy Wind Blowing Upstream",,"CHECK MMT PERFORMED - 100 m3/s.  @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ @ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",39.8,54.7,1.88,18.9,13.3,Final/Finales,4.9
08MH001,2024-06-11T21:05:00,-8,Stage/Niveau d'eau,2.616,,,,,,,,,GC: 0.000 HG: 2.593 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
08MH001,2024-04-23T23:20:00,-8,Stage/Niveau d'eau,2.203,,,,,,,,,GC: 0.000 HG: 2.205 Surge: 0.008  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08MH001,2024-04-23T22:52:30,-8,Discharge/Débit,,2.203,38.1,69.0,0.0328,0.137,-0.030199999,"Measurement condition : ; Clear , No Precipitation , Light Wind ",,"@ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Mid-section",40.0,35.5,1.07,20.1,11.7,Provisional/Provisoire,2.7
08MH001,2024-04-23T22:15:00,-8,Stage/Niveau d'eau,2.202,,,,,,,,,GC: 0.000 HG: 2.203 Surge: 0.008  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08MH001,2024-04-02T19:30:00,-8,Stage/Niveau d'eau,2.231,,,,,,,,,GC: 0.000 HG: 2.233 Surge: 0.006  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
08MH001,2024-04-02T19:25:00,-8,Stage/Niveau d'eau,2.231,,,,,,,,,GC: 0.000 Surge: 0.006  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
08MH001,2024-04-02T18:59:30,-8,Discharge/Débit,,2.235,44.0,69.0,-0.0174,0.1583,-0.0011,"Measurement condition : ; Mostly Cloudy , No Precipitation , Light Wind ",,"@ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Mid-section",41.5,39.3,1.12,15.2,9.0,Provisional/Provisoire,2.72
08MH001,2024-04-02T18:15:00,-8,Stage/Niveau d'eau,2.231,,,,,,,,,GC: 0.000 HG: 2.234 Surge: 0.006  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08MH001,2024-02-22T00:50:00,-8,Stage/Niveau d'eau,2.206,,,,,,,,,GC: 0.000 HG: 2.209 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Changed Tank (CT),,,,,,Final/Finales,
08MH001,2024-02-22T00:25:00,-8,Stage/Niveau d'eau,2.206,,,,,,,,,GC: 0.000 HG: 2.204 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
08MH001,2024-02-22T00:04:00,-8,Discharge/Débit,,2.206,39.7,69.0,-0.0225,0.1705,0.0106,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Calm Wind ",Gravel bar DS control may be moving further DS.,"ADCP TESTS DONE IN WINRIVER II. Solid mmt at this stage with RiverPro. @ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Mid-section",40.5,43.1,0.922,10.3,7.0,Final/Finales,2.63
08MH001,2024-02-21T23:15:00,-8,Stage/Niveau d'eau,2.206,,,,,,,,,GC: 0.000 HG: 2.224 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
08MH001,2023-11-07T23:05:00,-8,Stage/Niveau d'eau,2.462,,,,,,,,,GC: 0.000 HG: 2.459 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
08MH001,2023-11-07T23:00:00,-8,Stage/Niveau d'eau,2.461,,,,,,,,,GC: 0.000 HG: 2.448 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
08MH001,2023-11-07T22:40:30,-8,Discharge/Débit,,2.462,72.1,68.0,-0.462,-0.1627,0.0076,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind ",,"@ Uncertainty: ISO method, 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Mid-section",39.5,48.1,1.5,11.3,9.8,Provisional/Provisoire,2.68
08MH001,2023-11-07T21:55:00,-8,Stage/Niveau d'eau,2.463,,,,,,,,,GC: 0.000 HG: 2.458 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
08MH001,2023-10-05T17:25:00,-8,Stage/Niveau d'eau,2.043,,,,,,,,,GC: 0.000 HG: 2.043 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Maintenance (MT),,,,,,Provisional/Provisoire,
08MH001,2023-10-05T17:19:00,-8,Stage/Niveau d'eau,2.044,,,,,,,,,GC: 0.000 Reset (RS),,,,,,Provisional/Provisoire,
