STATION_NUMBER,date,flow_cms,quality_symbol
08MH055,1956-12-01,24.100000381469727,E
08MH055,1957-01-01,34.5,E
08MH055,1957-02-01,13.699999809265137,E
08MH055,1957-03-01,38.79999923706055,E
08MH055,1957-04-01,26.600000381469727,E
08MH055,1957-05-01,123.0,
08MH055,1957-06-01,142.0,
08MH055,1957-07-01,52.70000076293945,
08MH055,1957-08-01,39.09999847412109,
08MH055,1957-09-01,25.200000762939453,
08MH055,1957-10-01,21.399999618530277,
08MH055,1957-11-01,30.899999618530277,
08MH055,1957-12-01,22.799999237060547,
08MH055,1958-01-01,27.399999618530277,
08MH055,1958-02-01,29.399999618530277,
08MH055,1958-03-01,41.29999923706055,
08MH055,1958-04-01,22.799999237060547,
08MH055,1958-05-01,46.400001525878906,
08MH055,1958-06-01,94.3000030517578,
08MH055,1958-07-01,35.70000076293945,
08MH055,1958-08-01,23.799999237060547,
08MH055,1958-09-01,24.799999237060547,
08MH055,1958-10-01,20.399999618530277,
08MH055,1958-11-01,33.400001525878906,
08MH055,1958-12-01,84.4000015258789,
08MH055,1959-01-01,62.29999923706055,E
08MH055,1959-02-01,29.200000762939453,
08MH055,1959-03-01,33.400001525878906,
08MH055,1959-04-01,64.5999984741211,E
08MH055,1959-05-01,129.0,
08MH055,1959-06-01,113.0,
08MH055,1959-07-01,108.0,
08MH055,1959-08-01,66.80000305175781,
08MH055,1959-09-01,34.79999923706055,
08MH055,1959-10-01,54.09999847412109,
08MH055,1959-11-01,56.59999847412109,
08MH055,1959-12-01,48.09999847412109,
08MH055,1960-01-01,18.399999618530277,E
08MH055,1960-02-01,35.400001525878906,
08MH055,1960-03-01,12.600000381469728,
08MH055,1960-04-01,31.100000381469727,
08MH055,1960-05-01,36.79999923706055,
08MH055,1960-06-01,91.6999969482422,
08MH055,1960-07-01,78.69999694824219,
08MH055,1960-08-01,42.5,
08MH055,1960-09-01,29.399999618530277,
08MH055,1960-10-01,17.5,
08MH055,1960-11-01,45.29999923706055,E
08MH055,1960-12-01,36.79999923706055,
08MH055,1961-01-01,27.399999618530277,
08MH055,1961-02-01,36.79999923706055,
08MH055,1961-03-01,45.900001525878906,
08MH055,1961-04-01,39.900001525878906,
08MH055,1961-05-01,54.400001525878906,
08MH055,1961-06-01,139.0,
08MH055,1961-07-01,72.80000305175781,
08MH055,1961-08-01,41.900001525878906,
08MH055,1961-09-01,51.5,
08MH055,1961-10-01,15.899999618530272,
08MH055,1961-11-01,29.700000762939453,
08MH055,1961-12-01,34.0,
08MH055,1962-01-01,47.29999923706055,
08MH055,1962-02-01,36.0,E
08MH055,1962-03-01,21.0,
08MH055,1962-04-01,18.600000381469727,
08MH055,1962-05-01,40.20000076293945,
08MH055,1962-06-01,82.0999984741211,
08MH055,1962-07-01,104.0,
08MH055,1962-08-01,56.09999847412109,E
08MH055,1962-09-01,27.200000762939453,
08MH055,1962-10-01,26.700000762939453,
08MH055,1962-11-01,26.100000381469727,
08MH055,1962-12-01,,
08MH055,1956-12-02,30.0,E
08MH055,1957-01-02,32.0,E
08MH055,1957-02-02,13.600000381469728,E
08MH055,1957-03-02,36.0,E
08MH055,1957-04-02,27.200000762939453,E
08MH055,1957-05-02,112.0,
08MH055,1957-06-02,147.0,
08MH055,1957-07-02,49.79999923706055,
08MH055,1957-08-02,37.09999847412109,
08MH055,1957-09-02,25.0,
08MH055,1957-10-02,24.0,
08MH055,1957-11-02,27.600000381469727,
08MH055,1957-12-02,22.600000381469727,
08MH055,1958-01-02,26.600000381469727,
08MH055,1958-02-02,28.0,
08MH055,1958-03-02,39.59999847412109,
08MH055,1958-04-02,23.100000381469727,
08MH055,1958-05-02,51.0,
08MH055,1958-06-02,85.5,
08MH055,1958-07-02,35.099998474121094,
08MH055,1958-08-02,23.100000381469727,
08MH055,1958-09-02,19.899999618530277,
08MH055,1958-10-02,19.5,
08MH055,1958-11-02,31.100000381469727,
08MH055,1958-12-02,138.0,
08MH055,1959-01-02,46.70000076293945,E
08MH055,1959-02-02,28.0,
08MH055,1959-03-02,26.700000762939453,
08MH055,1959-04-02,55.20000076293945,E
08MH055,1959-05-02,106.0,
