STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08NE123,H,2011,L,8.0,3,10,11,30,PST,24.04800033569336, ,Minimum
08NE123,H,2012,H,8.0,7,17,1,45,PST,25.64699935913086, ,Maximum
08NE123,H,2012,L,8.0,2,25,14,45,PST,24.04800033569336, ,Minimum
08NE123,H,2013,H,8.0,5,13,23,45,PST,25.100000381469727, ,Maximum
08NE123,H,2013,L,8.0,3,1,8,10,PST,24.05900001525879, ,Minimum
08NE123,H,2014,H,8.0,5,23,20,45,PST,25.04199981689453, ,Maximum
08NE123,H,2014,L,8.0,2,18,20,30,PST,24.051000595092773, ,Minimum
08NE123,H,2015,H,8.0,9,20,21,0,PST,25.50900077819824, ,Maximum
08NE123,H,2015,L,8.0,2,2,0,50,PST,24.131999969482425, ,Minimum
08NE123,H,2016,H,8.0,6,8,23,45,PST,25.097999572753903, ,Maximum
08NE123,H,2016,L,8.0,1,22,11,0,PST,24.076000213623047, ,Minimum
08NE123,H,2017,H,8.0,5,31,22,20,PST,25.266000747680664, ,Maximum
08NE123,H,2017,L,8.0,3,2,23,50,PST,24.09499931335449, ,Minimum
08NE123,H,2018,H,8.0,5,16,21,45,PST,25.25, ,Maximum
08NE123,H,2018,L,8.0,2,4,21,5,PST,24.117000579833984, ,Minimum
08NE123,H,2019,H,8.0,5,12,18,50,PST,25.00300025939941, ,Maximum
08NE123,H,2019,L,8.0,3,12,2,5,PST,24.100000381469727, ,Minimum
08NE123,H,2020,H,8.0,5,31,18,50,PST,25.191999435424805, ,Maximum
08NE123,H,2020,L,8.0,2,27,12,30,PST,24.104999542236328, ,Minimum
08NE123,H,2021,H,8.0,6,2,20,5,PST,25.20599937438965, ,Maximum
08NE123,H,2021,L,8.0,3,3,13,30,PST,24.097999572753903, ,Minimum
08NE123,H,2022,H,8.0,6,22,17,55,PST,25.31599998474121, ,Maximum
08NE123,H,2022,L,8.0,12,14,18,25,PST,24.101999282836918, ,Minimum
08NE123,H,2023,H,8.0,10,19,6,30,PST,25.29400062561035, ,Maximum
08NE123,H,2023,L,8.0,1,28,17,45,PST,24.083999633789062, ,Minimum
08NE123,H,2024,H,8.0,10,21,0,25,PST,25.20499992370605, ,Maximum
08NE123,H,2024,L,8.0,1,25,13,25,PST,24.125999450683597, ,Minimum
08NE123,Q,1981,H,,5,25,19,15,PST,29.799999237060547,,Maximum
08NE123,Q,1982,H,,6,15,0,40,PST,22.799999237060547,,Maximum
08NE123,Q,1983,H,,7,12,1,30,PST,46.79999923706055,,Maximum
08NE123,Q,1985,H,,5,22,19,11,PST,22.700000762939453,,Maximum
08NE123,Q,2011,H,,7,7,22,45,PST,28.100000381469727,E,Maximum
08NE123,Q,2012,H,,6,17,1,45,PST,49.20000076293945,E,Maximum
08NE123,Q,2013,H,,5,13,23,45,PST,22.399999618530277,E,Maximum
08NE123,Q,2013,L,,3,1,8,10,PST,0.1850000023841858, ,Minimum
08NE123,Q,2014,H,,5,23,20,45,PST,22.0,E,Maximum
08NE123,Q,2015,H,,9,20,21,0,PST,46.5,E,Maximum
08NE123,Q,2016,H,,6,8,23,45,PST,22.100000381469727,E,Maximum
08NE123,Q,2017,H,,5,31,22,5,PST,28.899999618530277,E,Maximum
08NE123,Q,2017,L,,3,2,23,50,PST,0.2329999953508377,E,Minimum
08NE123,Q,2019,H,,5,12,18,50,PST,20.899999618530277,E,Maximum
08NE123,Q,2020,H,,5,31,18,50,PST,30.100000381469727,E,Maximum
08NE123,Q,2020,L,,2,27,12,30,PST,0.27799999713897705,E,Minimum
08NE123,Q,2021,H,,6,2,20,5,PST,30.899999618530277,E,Maximum
08NE123,Q,2021,L,,3,3,13,30,PST,0.25600001215934753,E,Minimum
08NE123,Q,2022,H,,6,22,17,55,PST,57.5,E,Maximum
08NE123,Q,2022,L,,2,19,12,40,PST,0.33000001311302185, ,Minimum
08NE123,Q,2023,H,,10,19,6,30,PST,40.400001525878906,E,Maximum
08NE123,Q,2024,H,,10,21,0,25,PST,34.79999923706055,E,Maximum
