STATION_NUMBER,date,flow_cms,quality_symbol
08NJ066,1928-04-01,0.18400000035762787,E
08NJ066,1928-05-01,0.20999999344348907,E
08NJ066,1928-06-01,0.28600001335144043,
08NJ066,1928-07-01,0.023000000044703484,E
08NJ066,1928-08-01,0.017000000923871994,
08NJ066,1928-09-01,0.00800000037997961,E
08NJ066,1929-05-01,,
08NJ066,1929-06-01,0.03400000184774399,E
08NJ066,1929-07-01,0.02500000037252903,E
08NJ066,1929-08-01,0.0020000000949949026,
08NJ066,1929-09-01,0.0010000000474974513,E
08NJ066,1932-05-01,0.1420000046491623,E
08NJ066,1932-06-01,0.04199999943375588,E
08NJ066,1933-05-01,,
08NJ066,1933-06-01,0.28299999237060547,
08NJ066,1928-04-02,0.18400000035762787,E
08NJ066,1928-05-02,0.1979999989271164,
08NJ066,1928-06-02,0.2290000021457672,E
08NJ066,1928-07-02,0.023000000044703484,
08NJ066,1928-08-02,0.017000000923871994,E
08NJ066,1928-09-02,0.00800000037997961,
08NJ066,1929-05-02,,
08NJ066,1929-06-02,0.03400000184774399,
08NJ066,1929-07-02,0.023000000044703484,E
08NJ066,1929-08-02,0.0020000000949949026,E
08NJ066,1929-09-02,0.0010000000474974513,
08NJ066,1932-05-02,0.28299999237060547,E
08NJ066,1932-06-02,0.04199999943375588,E
08NJ066,1933-05-02,,
08NJ066,1933-06-02,0.2549999952316284,
08NJ066,1928-04-03,0.18400000035762787,
08NJ066,1928-05-03,0.20399999618530276,E
08NJ066,1928-06-03,0.17299999296665192,E
08NJ066,1928-07-03,0.023000000044703484,E
08NJ066,1928-08-03,0.017000000923871994,
08NJ066,1928-09-03,0.00800000037997961,E
08NJ066,1929-05-03,,
08NJ066,1929-06-03,0.03099999949336052,E
08NJ066,1929-07-03,0.019999999552965164,
08NJ066,1929-08-03,0.0020000000949949026,E
08NJ066,1929-09-03,0.0010000000474974513,E
08NJ066,1932-05-03,0.42500001192092896,E
08NJ066,1932-06-03,0.04199999943375588,E
08NJ066,1933-05-03,,
08NJ066,1933-06-03,0.2549999952316284,
08NJ066,1928-04-04,0.1809999942779541,E
08NJ066,1928-05-04,0.2070000022649765,
08NJ066,1928-06-04,0.11900000274181366,
08NJ066,1928-07-04,0.02500000037252903,
08NJ066,1928-08-04,0.017000000923871994,E
08NJ066,1928-09-04,0.00800000037997961,
08NJ066,1929-05-04,,
08NJ066,1929-06-04,0.03099999949336052,
08NJ066,1929-07-04,0.017000000923871994,E
08NJ066,1929-08-04,0.0020000000949949026,
08NJ066,1929-09-04,0.0010000000474974513,
08NJ066,1932-05-04,0.5950000286102295,E
08NJ066,1932-06-04,0.04199999943375588,E
08NJ066,1933-05-04,,
08NJ066,1933-06-04,0.2549999952316284,
08NJ066,1928-04-05,0.17599999904632568,
08NJ066,1928-05-05,0.22100000083446503,E
08NJ066,1928-06-05,0.08500000089406967,E
08NJ066,1928-07-05,0.02800000086426735,E
08NJ066,1928-08-05,0.017000000923871994,
08NJ066,1928-09-05,0.00800000037997961,E
08NJ066,1929-05-05,,
08NJ066,1929-06-05,0.02800000086426735,E
08NJ066,1929-07-05,0.017000000923871994,
