STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08NK029,Q,1984,H,,5,30,20,38,MST,7.360000133514404,,Maximum
08NK029,Q,1985,H,,5,25,2,23,MST,3.829999923706055,,Maximum
08NK029,Q,1986,H,,5,28,22,4,MST,12.899999618530272,,Maximum
08NK029,Q,1987,H,,5,1,23,54,MST,4.599999904632568,,Maximum
08NK029,Q,1988,H,,6,8,1,18,MST,4.980000019073486,,Maximum
08NK029,Q,1989,H,,6,6,22,41,MST,4.400000095367432,,Maximum
08NK029,Q,1990,H,,5,29,20,11,MST,13.5,,Maximum
08NK029,Q,1991,H,,5,21,2,30,MST,6.199999809265137,,Maximum
08NK029,Q,1992,H,,7,9,13,39,MST,4.960000038146973,,Maximum
08NK029,Q,1994,H,,5,29,14,21,MST,1.9700000286102293,,Maximum
