STATION_NUMBER,date,flow_cms,quality_symbol
08NL060,1975-01-01,0.04500000178813934,B
08NL060,1975-02-01,0.05700000002980232,B
08NL060,1975-03-01,0.06800000369548798,B
08NL060,1975-04-01,0.164000004529953,
08NL060,1975-05-01,4.590000152587891,
08NL060,1975-06-01,7.25,
08NL060,1975-07-01,1.1100000143051147,
08NL060,1975-08-01,0.164000004529953,
08NL060,1975-09-01,0.090999998152256,
08NL060,1975-10-01,0.0,
08NL060,1975-11-01,0.4839999973773956,
08NL060,1975-12-01,0.5379999876022339,
08NL060,1976-01-01,0.5519999861717224,E
08NL060,1976-02-01,0.6309999823570251,E
08NL060,1976-03-01,0.27799999713897705,E
08NL060,1976-04-01,0.847000002861023,
08NL060,1976-05-01,7.650000095367432,
08NL060,1976-06-01,2.319999933242798,
08NL060,1976-07-01,1.809999942779541,
08NL060,1976-08-01,0.2800000011920929,
08NL060,1976-09-01,0.07100000232458115,
08NL060,1976-10-01,0.0,
08NL060,1976-11-01,0.003000000026077032,E
08NL060,1976-12-01,0.03400000184774399,
08NL060,1977-01-01,0.024000000208616257,
08NL060,1977-02-01,0.0,
08NL060,1977-03-01,0.37400001287460327,B
08NL060,1977-04-01,0.17000000178813934,
08NL060,1977-05-01,2.619999885559082,
08NL060,1977-06-01,1.159999966621399,
08NL060,1977-07-01,0.125,
08NL060,1977-08-01,0.0,
08NL060,1977-09-01,0.0,
08NL060,1977-10-01,0.0,
08NL060,1977-11-01,0.05700000002980232,E
08NL060,1977-12-01,0.421999990940094,
08NL060,1978-01-01,0.03999999910593033,B
08NL060,1978-02-01,0.05900000035762787,B
08NL060,1978-03-01,0.05400000140070915,B
08NL060,1978-04-01,6.139999866485596,
08NL060,1978-05-01,11.5,
08NL060,1978-06-01,2.9200000762939453,
08NL060,1978-07-01,0.7139999866485596,
08NL060,1978-08-01,0.0,
08NL060,1978-09-01,0.0,
08NL060,1978-10-01,0.012000000104308128,
08NL060,1978-11-01,0.0989999994635582,
08NL060,1978-12-01,0.1330000013113022,B
08NL060,1979-01-01,0.04500000178813934,B
08NL060,1979-02-01,0.0,
08NL060,1979-03-01,0.07100000232458115,B
08NL060,1979-04-01,0.5379999876022339,E
08NL060,1979-05-01,6.860000133514404,
08NL060,1979-06-01,1.5,
08NL060,1979-07-01,0.164000004529953,
08NL060,1979-08-01,0.0,
08NL060,1979-09-01,0.0,
08NL060,1979-10-01,0.0,
08NL060,1979-11-01,0.0,
08NL060,1979-12-01,0.0,
08NL060,1980-01-01,0.06800000369548798,E
08NL060,1980-02-01,0.02800000086426735,B
08NL060,1980-03-01,0.4810000061988831,B
08NL060,1980-04-01,0.4670000076293945,
08NL060,1980-05-01,7.619999885559082,
08NL060,1980-06-01,1.5399999618530271,
08NL060,1980-07-01,0.5659999847412109,
08NL060,1980-08-01,0.0,
08NL060,1980-09-01,0.0,
08NL060,1980-10-01,0.0,
08NL060,1980-11-01,0.0,
