STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
08NM131,H,1965,H,8,6,12,,,,3.755000114440918,,Maximum
08NM131,H,1966,H,8,7,5,,,,3.4200000762939453,,Maximum
08NM131,H,1967,H,8,6,9,,,,4.02899980545044,,Maximum
08NM131,H,1969,H,8,5,14,18.0,54.0,PST,3.822000026702881,,Maximum
08NM131,H,1970,H,8,5,20,9.0,30.0,PST,3.4719998836517334,,Maximum
08NM131,H,1971,H,8,6,9,4.0,15.0,PST,4.026000022888184,,Maximum
08NM131,H,1972,H,8,6,2,16.0,0.0,PST,5.178999900817871,,Maximum
08NM131,H,1974,H,8,6,19,11.0,30.0,PST,4.776000022888184,,Maximum
08NM131,H,1977,H,8,5,6,,,,3.934999942779541,,Maximum
08NM131,H,1978,H,8,5,23,,,,3.7799999713897705,,Maximum
08NM131,H,1979,H,8,5,9,17.0,0.0,PST,3.496000051498413,,Maximum
08NM131,H,1981,H,8,6,14,,,,3.9779999256134033,,Maximum
08NM131,H,1982,H,8,5,27,1.0,30.0,PST,3.858999967575073,,Maximum
08NM131,H,1983,H,8,5,31,23.0,0.0,PST,4.318999767303467,,Maximum
08NM131,H,1984,H,8,6,16,18.0,0.0,PST,3.974999904632568,,Maximum
08NM131,H,1986,H,8,6,2,10.0,30.0,PST,4.324999809265137,,Maximum
08NM131,H,1987,H,8,7,8,,,,3.964999914169312,,Maximum
08NM131,H,1988,H,8,6,12,,,,3.865000009536743,,Maximum
08NM131,H,1989,H,8,4,7,,,,3.5269999504089355,,Maximum
08NM131,H,1990,H,8,6,14,,,,4.001999855041504,,Maximum
