Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
08NM171,Drift,HG,2025-10-24T16:50:00,2026-01-21T19:10:00,2026-01-22T18:00:43,-8,"SRC - VISIT TO VISITDrift correction settings:‌Timestamp 1: 2025-10-24 08:50:00, Offset 1: 0‌Timestamp 2: 2026-01-21 11:10:00, Offset 2: 0.011‌","DriftPoints:(Offset:0,Time:2025-10-24T16:50:00Z);(Offset:0.011,Time:2026-01-21T19:10:00Z)",Normal
08NM171,CopyPaste,HG,2025-10-24T16:10:00,2026-01-21T18:55:00,2026-01-22T17:58:18,-8,"OC - COPY & PASTE LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,HG,2025-09-17T21:40:00,2025-10-24T16:05:00,2025-10-27T18:44:33,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,Drift,HG,2025-09-17T20:35:00,2025-10-24T16:05:00,2025-10-27T18:46:00,-8,"SRC - visit to visit.Drift correction settings:‌Timestamp 1: 2025-09-17 12:35:00, Offset 1: 0‌Timestamp 2: 2025-10-24 08:05:00, Offset 2: -0.004‌","DriftPoints:(Offset:0,Time:2025-09-17T20:35:00Z);(Offset:-0.004,Time:2025-10-24T16:05:00Z)",Normal
08NM171,Drift,HG,2025-08-01T17:40:00,2025-09-17T20:15:00,2025-09-18T18:06:53,-8,"SRC - visit to visit.Drift correction settings:‌Timestamp 1: 2025-08-01 09:40:00, Offset 1: 0‌Timestamp 2: 2025-09-17 12:15:00, Offset 2: -0.007‌","DriftPoints:(Offset:0,Time:2025-08-01T17:40:00Z);(Offset:-0.007,Time:2025-09-17T20:15:00Z)",Normal
08NM171,CopyPaste,HG,2025-08-01T17:15:00,2025-09-17T19:35:00,2025-09-18T18:05:20,-8,"RFT - copy/paste from logger.Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,Drift,HG,2025-07-07T21:20:00,2025-08-01T17:05:00,2025-08-05T20:13:22,-8,SRC - visit to visit.,"DriftPoints:(Offset:0,Time:2025-07-07T21:20:00Z);(Offset:0.008,Time:2025-08-01T17:05:00Z)",Normal
08NM171,DeleteRegion,HG,2025-07-07T21:10:00,2025-07-07T21:10:00,2025-07-08T21:38:25,-8,,,Normal
08NM171,CopyPaste,HG,2025-07-07T21:10:00,2025-08-01T17:10:00,2025-08-05T20:12:38,-8,"RFT - tx gap fillOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,HG,2025-05-06T18:00:00,2025-07-07T21:05:00,2025-07-08T21:41:08,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,HG,2025-01-21T20:00:00,2025-05-06T17:55:00,2025-05-07T16:56:21,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,QR,2025-01-21T08:00:00,2025-03-12T15:40:00,2025-03-12T16:47:39,-8,Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
08NM171,DeleteRegion,HG,2024-12-02T16:05:00,2024-12-02T16:05:00,2024-12-05T16:42:43,-8,Spike,,Normal
08NM171,CopyPaste,QR,2024-11-16T18:45:00,2025-01-21T08:00:00,2025-03-12T16:42:15,-8,Override: Freehand‌Override: Freehand‌,,Normal
08NM171,CopyPaste,QR,2024-11-06T13:40:00,2024-11-09T15:20:00,2025-03-12T16:35:37,-8,Override: Freehand‌Override: Freehand‌,,Normal
08NM171,CopyPaste,HG,2024-11-01T17:00:00,2025-01-21T19:55:00,2025-01-22T19:20:00,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,DeleteRegion,HG,2024-11-01T08:40:00,2024-11-01T08:40:00,2024-11-04T16:42:05,-8,spike,,Normal
08NM171,CopyPaste,HG,2024-08-27T21:45:00,2024-11-01T16:14:08,2024-11-04T17:39:29,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,Offset,HG,2024-08-27T20:05:00,2024-08-27T20:20:00,2024-08-28T21:43:44,-8,,Offset:-0.159,Normal
08NM171,CopyPaste,QR,2024-08-27T16:05:00,2024-08-27T20:15:00,2025-03-11T23:26:26,-8,Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
08NM171,CopyPaste,HG,2024-08-26T21:35:00,2024-08-27T15:30:00,2024-08-28T21:42:43,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,HG,2024-07-18T17:40:00,2024-08-26T21:16:05,2024-08-27T17:18:35,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,DeleteRegion,HG,2024-06-24T04:30:00,2024-06-24T04:30:00,2024-06-24T16:56:05,-8,Spike,,Normal
08NM171,CopyPaste,HG,2024-05-22T18:20:00,2024-07-18T17:05:00,2024-07-18T23:03:33,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,Drift,HG,2024-05-22T18:20:00,2024-07-18T17:05:00,2024-07-18T23:02:32,-8,SRC - visit to visit,"DriftPoints:(Offset:0.018,Time:2024-05-22T18:20:00Z);(Offset:0.007,Time:2024-07-18T17:05:00Z)",Normal
08NM171,Drift,HG,2024-05-22T17:20:00,2024-05-22T18:15:00,2024-05-23T18:30:13,-8,"SRC (0.013 TO 0.018m) NO RESET, LARGE SURGE","DriftPoints:(Offset:0.013,Time:2024-05-22T17:20:00Z);(Offset:0.018,Time:2024-05-22T18:15:00Z)",Normal
08NM171,Drift,HG,2024-03-28T18:15:00,2024-05-22T17:15:00,2024-05-23T18:29:10,-8,"SRC (0.000 TO 0.013m) NO RESET, LARGE SURGE","DriftPoints:(Offset:0,Time:2024-03-28T18:15:00Z);(Offset:0.013,Time:2024-05-22T17:15:00Z)",Normal
08NM171,CopyPaste,HG,2024-03-28T17:55:00,2024-05-22T17:25:00,2024-05-23T18:20:18,-8,"OC - C&P FROM LOGGER TO FILL TELEMETRY GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,Drift,HG,2024-02-01T19:25:00,2024-03-28T18:10:00,2024-04-02T19:48:27,-8,SRC - visit to visit,"DriftPoints:(Offset:0,Time:2024-02-01T19:25:00Z);(Offset:-0.007,Time:2024-03-28T18:10:00Z)",Normal
08NM171,CopyPaste,HG,2024-02-01T19:25:00,2024-03-28T17:50:00,2024-04-02T19:46:57,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,QR,2024-02-01T18:40:00,2024-03-22T21:35:00,2025-03-12T16:08:40,-8,Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
08NM171,AdjustableTrim,HG,2023-12-04T23:25:00,2023-12-05T03:50:00,2024-04-15T22:05:48,-8,Sensor issue,"UpperThresholdPoints:(Time:2023-12-04T23:25:00Z,Value:1.0370443432212002);(Time:2023-12-05T01:30:37.078Z,Value:1.039488094530254);(Time:2023-12-05T03:50:00Z,Value:1.0458883955777758),TrimAction:Delete",Normal
08NM171,AdjustableTrim,HG,2023-12-02T03:10:00,2023-12-02T21:25:00,2024-04-15T22:04:26,-8,Sensor issue,"UpperThresholdPoints:(Time:2023-12-02T03:10:00Z,Value:1.0299091546817876);(Time:2023-12-02T10:30:58.482Z,Value:1.0184999202566214);(Time:2023-12-02T21:25:00Z,Value:1.0180825093187398),TrimAction:Delete",Normal
08NM171,CopyPaste,HG,2023-11-29T17:20:00,2024-02-01T18:35:00,2024-04-15T22:28:52,-8,"Fill telem gapsOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,QR,2023-10-26T14:00:00,2024-02-01T18:40:00,2024-10-23T17:25:09,-8,ICEOverride: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
08NM171,CopyPaste,HG,2023-10-24T22:00:00,2023-11-29T08:05:00,2023-11-30T16:57:31,-8,"TELEMETRY GAPSOverride: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,DeleteRegion,HG,2023-10-24T17:55:00,2023-10-24T18:30:00,2023-10-25T18:56:28,-8,RFT - Maintenance,,Normal
08NM171,CopyPaste,HG,2023-08-31T23:05:00,2023-10-24T16:35:00,2023-10-25T18:54:19,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
08NM171,CopyPaste,QR,2023-06-28T23:30:00,2023-08-31T20:55:00,2024-10-23T16:41:23,-8,Override: Freehand‌,,Normal
08NM171,CopyPaste,HG,2023-06-28T22:05:00,2023-08-31T20:55:00,2023-09-01T21:03:51,-8,"Override: Copy & Paste‌Source Data Set: Stage.Logger@08NM171, time shift: 00:00 minutes.‌",,PreProcessing
