STATION_NUMBER,date,water_level_m,quality_symbol
08NM234,1973-01-01,4.632999897003174,E
08NM234,1973-02-01,,
08NM234,1973-04-01,,
08NM234,1973-05-01,,
08NM234,1973-06-01,,
08NM234,1973-07-01,6.675000190734863,
08NM234,1973-08-01,3.91100001335144,
08NM234,1973-09-01,3.505000114440918,
08NM234,1973-10-01,,
08NM234,1973-12-01,,
08NM234,1974-01-01,4.053999900817871,
08NM234,1974-02-01,4.114999771118164,
08NM234,1974-03-01,4.236999988555908,
08NM234,1974-04-01,4.3429999351501465,
08NM234,1974-05-01,6.348999977111816,
08NM234,1974-06-01,8.107999801635742,
08NM234,1974-07-01,8.07699966430664,
08NM234,1974-08-01,5.943999767303467,
08NM234,1974-09-01,4.999000072479248,
08NM234,1974-10-01,4.876999855041504,
08NM234,1974-11-01,4.876999855041504,
08NM234,1974-12-01,4.876999855041504,
08NM234,1975-01-01,5.105000019073486,
08NM234,1975-02-01,5.105000019073486,
08NM234,1975-03-01,5.105000019073486,
08NM234,1975-04-01,5.232999801635742,
08NM234,1975-05-01,5.355000019073486,
08NM234,1975-06-01,8.07699966430664,
08NM234,1975-07-01,8.07699966430664,
08NM234,1975-08-01,6.629000186920166,
08NM234,1975-09-01,5.638999938964844,
08NM234,1975-10-01,5.638999938964844,
08NM234,1975-11-01,5.638999938964844,
08NM234,1975-12-01,5.638999938964844,
08NM234,1976-01-01,5.638999938964844,
08NM234,1976-02-01,5.867000102996826,
08NM234,1976-03-01,5.943999767303467,
08NM234,1976-04-01,5.943999767303467,
08NM234,1976-05-01,6.324999809265137,
08NM234,1976-06-01,8.07699966430664,
08NM234,1976-07-01,5.943999767303467,
08NM234,1976-08-01,5.943999767303467,
08NM234,1976-09-01,6.828000068664551,
08NM234,1976-10-01,8.07699966430664,
08NM234,1976-11-01,6.197000026702881,
08NM234,1976-12-01,6.2179999351501465,
08NM234,1977-01-01,,
08NM234,1977-02-01,,
08NM234,1977-03-01,,
08NM234,1977-04-01,,
08NM234,1977-05-01,,
08NM234,1977-06-01,,
08NM234,1977-07-01,,
08NM234,1977-08-01,,
08NM234,1977-09-01,,
08NM234,1977-10-01,,
08NM234,1978-01-01,,
08NM234,1978-02-01,,
08NM234,1978-03-01,,
08NM234,1978-05-01,6.629000186920166,
08NM234,1978-06-01,,
08NM234,1978-07-01,,
08NM234,1978-08-01,,
08NM234,1978-09-01,,
08NM234,1978-10-01,,
08NM234,1978-11-01,,
08NM234,1979-01-01,5.2820000648498535,
08NM234,1979-03-01,,
08NM234,1979-04-01,,
08NM234,1979-05-01,,
08NM234,1979-06-01,,
08NM234,1979-07-01,,
08NM234,1979-08-01,,
08NM234,1979-10-01,,
08NM234,1985-02-01,,
08NM234,1985-03-01,,
08NM234,1985-05-01,6.452000141143799,
08NM234,1985-06-01,,
08NM234,1985-07-01,7.822999954223633,
08NM234,1985-08-01,3.5309998989105225,
08NM234,1985-09-01,,
08NM234,1985-11-01,,
08NM234,1985-12-01,,
08NM234,1986-02-01,,
08NM234,1986-04-01,4.546999931335449,
08NM234,1986-05-01,,
08NM234,1986-06-01,,
08NM234,1986-07-01,,
08NM234,1986-08-01,,
08NM234,1986-09-01,4.114999771118164,
08NM234,1986-10-01,,
08NM234,1986-11-01,,
08NM234,1973-01-02,,
08NM234,1973-02-02,,
08NM234,1973-04-02,,
08NM234,1973-05-02,,
08NM234,1973-06-02,,
08NM234,1973-07-02,,
08NM234,1973-08-02,,
08NM234,1973-09-02,,
08NM234,1973-10-02,,
08NM234,1973-12-02,,
08NM234,1974-01-02,,
08NM234,1974-02-02,,
08NM234,1974-03-02,,
08NM234,1974-04-02,,
08NM234,1974-05-02,,
08NM234,1974-06-02,,
08NM234,1974-07-02,,
08NM234,1974-08-02,,
08NM234,1974-09-02,,
08NM234,1974-10-02,,
08NM234,1974-11-02,,
