STATION_NUMBER,date,flow_cms,quality_symbol
08NN027,1976-04-01,,
08NN027,1976-05-01,5.860000133514404,E
08NN027,1976-06-01,1.7699999809265137,E
08NN027,1976-07-01,0.5130000114440918,E
08NN027,1976-08-01,0.18400000035762787,E
08NN027,1976-09-01,0.4390000104904175,
08NN027,1976-10-01,0.19499999284744263,
08NN027,1977-03-01,,
08NN027,1977-04-01,0.090999998152256,B
08NN027,1977-05-01,1.9800000190734863,E
08NN027,1977-06-01,0.9200000166893004,
08NN027,1977-07-01,0.17599999904632568,
08NN027,1977-08-01,0.05400000140070915,
08NN027,1977-09-01,0.03700000047683716,E
08NN027,1978-03-01,,
08NN027,1978-04-01,0.5659999847412109,E
08NN027,1978-05-01,4.980000019073486,
08NN027,1978-06-01,0.8130000233650208,
08NN027,1978-07-01,0.17800000309944153,E
08NN027,1978-08-01,0.06800000369548798,E
08NN027,1978-09-01,0.10499999672174454,
08NN027,1979-03-01,,
08NN027,1979-04-01,0.13699999451637268,E
08NN027,1979-05-01,3.740000009536743,E
08NN027,1979-06-01,0.5830000042915344,
08NN027,1979-07-01,0.2169999927282333,E
08NN027,1979-08-01,0.03999999910593033,
08NN027,1979-09-01,0.052000001072883606,E
08NN027,1980-04-01,0.05099999904632568,B
08NN027,1980-05-01,1.9700000286102293,E
08NN027,1980-06-01,1.0800000429153442,E
08NN027,1980-07-01,0.6650000214576721,E
08NN027,1980-08-01,0.03400000184774399,
08NN027,1980-09-01,0.12200000137090684,
08NN027,1981-03-01,,
08NN027,1981-04-01,0.5170000195503235,
08NN027,1981-05-01,,
08NN027,1981-06-01,1.5499999523162842,
08NN027,1981-07-01,1.0299999713897705,
08NN027,1981-08-01,0.4589999914169312,
08NN027,1981-09-01,0.2070000022649765,
08NN027,1982-03-01,,
08NN027,1982-04-01,0.27799999713897705,E
08NN027,1982-05-01,4.119999885559082,E
08NN027,1982-06-01,1.4900000095367432,
08NN027,1982-07-01,0.9409999847412108,E
08NN027,1982-08-01,0.28999999165534973,
08NN027,1982-09-01,0.1330000013113022,
08NN027,1983-04-01,1.3600000143051147,E
08NN027,1983-05-01,7.389999866485596,E
08NN027,1983-06-01,0.9010000228881836,
08NN027,1983-07-01,0.5199999809265137,E
08NN027,1983-08-01,0.3089999854564667,E
08NN027,1983-09-01,0.17499999701976776,
08NN027,1984-04-01,0.8429999947547913,
08NN027,1984-05-01,3.2100000381469727,
08NN027,1984-06-01,2.319999933242798,
08NN027,1984-07-01,1.0499999523162842,
08NN027,1984-08-01,0.1330000013113022,
08NN027,1984-09-01,0.0820000022649765,
08NN027,1984-10-01,0.07100000232458115,
08NN027,1976-04-02,,
08NN027,1976-05-02,6.0,E
08NN027,1976-06-02,1.5,
08NN027,1976-07-02,0.5379999876022339,
08NN027,1976-08-02,0.18700000643730164,
08NN027,1976-09-02,0.4160000085830689,E
08NN027,1976-10-02,,
08NN027,1977-03-02,,
08NN027,1977-04-02,0.090999998152256,B
08NN027,1977-05-02,2.359999895095825,
08NN027,1977-06-02,0.9660000205039978,E
08NN027,1977-07-02,0.18400000035762787,E
08NN027,1977-08-02,0.05099999904632568,E
08NN027,1977-09-02,0.03700000047683716,
08NN027,1978-03-02,,
08NN027,1978-04-02,0.5860000252723694,E
08NN027,1978-05-02,4.46999979019165,E
08NN027,1978-06-02,0.7620000243186951,
08NN027,1978-07-02,0.18700000643730164,E
08NN027,1978-08-02,0.06499999761581421,
08NN027,1978-09-02,0.10499999672174454,E
08NN027,1979-03-02,,
08NN027,1979-04-02,0.1459999978542328,
08NN027,1979-05-02,4.050000190734863,
08NN027,1979-06-02,0.5519999861717224,E
08NN027,1979-07-02,0.2440000027418137,
08NN027,1979-08-02,0.03599999845027924,E
08NN027,1979-09-02,0.05299999937415123,E
08NN027,1980-04-02,0.05099999904632568,B
08NN027,1980-05-02,1.7699999809265137,
08NN027,1980-06-02,1.0,
08NN027,1980-07-02,0.6470000147819519,
08NN027,1980-08-02,0.06300000101327896,E
08NN027,1980-09-02,0.12200000137090684,E
08NN027,1981-03-02,,
08NN027,1981-04-02,0.49799999594688416,E
08NN027,1981-05-02,,
08NN027,1981-06-02,1.5,E
08NN027,1981-07-02,1.1100000143051147,E
08NN027,1981-08-02,0.4079999923706055,
08NN027,1981-09-02,0.2070000022649765,
08NN027,1982-03-02,,
08NN027,1982-04-02,0.28299999237060547,E
08NN027,1982-05-02,4.730000019073486,
08NN027,1982-06-02,1.4600000381469729,E
08NN027,1982-07-02,0.9409999847412108,
08NN027,1982-08-02,0.27399998903274536,
08NN027,1982-09-02,0.1330000013113022,E
08NN027,1983-04-02,1.3899999856948853,
08NN027,1983-05-02,6.789999961853027,
08NN027,1983-06-02,0.8429999947547913,
08NN027,1983-07-02,0.5370000004768372,E
08NN027,1983-08-02,0.2849999964237213,E
08NN027,1983-09-02,0.29600000381469727,
08NN027,1984-04-02,0.8550000190734863,
08NN027,1984-05-02,3.759999990463257,
08NN027,1984-06-02,2.130000114440918,
08NN027,1984-07-02,0.906000018119812,E
08NN027,1984-08-02,0.1469999998807907,E
08NN027,1984-09-02,0.07900000363588333,
08NN027,1984-10-02,,
08NN027,1976-04-03,,
08NN027,1976-05-03,6.119999885559082,
08NN027,1976-06-03,1.649999976158142,
08NN027,1976-07-03,0.5099999904632568,E
08NN027,1976-08-03,0.1979999989271164,E
08NN027,1976-09-03,0.39399999380111694,
08NN027,1976-10-03,,
08NN027,1977-03-03,,
08NN027,1977-04-03,0.12999999523162842,B
08NN027,1977-05-03,2.6700000762939453,E
08NN027,1977-06-03,1.0099999904632568,
08NN027,1977-07-03,0.1899999976158142,E
08NN027,1977-08-03,0.04800000041723251,
08NN027,1977-09-03,0.03700000047683716,E
08NN027,1978-03-03,,
08NN027,1978-04-03,0.6029999852180481,
08NN027,1978-05-03,3.9600000381469727,
08NN027,1978-06-03,0.6940000057220459,E
08NN027,1978-07-03,0.19499999284744263,
08NN027,1978-08-03,0.06499999761581421,E
08NN027,1978-09-03,0.10499999672174454,E
08NN027,1979-03-03,,
08NN027,1979-04-03,0.1340000033378601,E
08NN027,1979-05-03,4.050000190734863,E
08NN027,1979-06-03,0.5210000276565552,E
08NN027,1979-07-03,0.2150000035762787,E
08NN027,1979-08-03,0.032999999821186066,
08NN027,1979-09-03,0.05400000140070915,
08NN027,1980-04-03,0.05099999904632568,B
08NN027,1980-05-03,1.649999976158142,E
08NN027,1980-06-03,1.0700000524520874,E
08NN027,1980-07-03,0.6119999885559082,E
08NN027,1980-08-03,0.09300000220537186,E
08NN027,1980-09-03,0.12200000137090684,
08NN027,1981-03-03,,
08NN027,1981-04-03,0.4779999852180481,
08NN027,1981-05-03,,
08NN027,1981-06-03,1.4500000476837158,
08NN027,1981-07-03,1.190000057220459,
08NN027,1981-08-03,0.453000009059906,E
08NN027,1981-09-03,0.17800000309944153,E
08NN027,1982-03-03,,
08NN027,1982-04-03,0.2870000004768372,E
08NN027,1982-05-03,5.079999923706055,E
08NN027,1982-06-03,1.4299999475479126,
08NN027,1982-07-03,1.0399999618530271,E
08NN027,1982-08-03,0.2630000114440918,E
08NN027,1982-09-03,0.1330000013113022,
08NN027,1983-04-03,1.4700000286102295,E
08NN027,1983-05-03,6.929999828338623,E
08NN027,1983-06-03,0.8429999947547913,
08NN027,1983-07-03,0.5540000200271606,E
08NN027,1983-08-03,0.2619999945163727,E
08NN027,1983-09-03,0.2189999967813492,
08NN027,1984-04-03,0.8550000190734863,
08NN027,1984-05-03,3.890000104904175,
08NN027,1984-06-03,2.009999990463257,
08NN027,1984-07-03,0.7580000162124634,
08NN027,1984-08-03,0.1599999964237213,
08NN027,1984-09-03,0.08100000023841858,E
08NN027,1984-10-03,,
08NN027,1976-04-04,,
08NN027,1976-05-04,6.309999942779541,E
08NN027,1976-06-04,1.5,
08NN027,1976-07-04,0.4810000061988831,E
08NN027,1976-08-04,0.2070000022649765,
08NN027,1976-09-04,0.3680000007152557,E
08NN027,1976-10-04,,
08NN027,1977-03-04,,
08NN027,1977-04-04,0.1420000046491623,B
08NN027,1977-05-04,2.970000028610229,
08NN027,1977-06-04,1.0499999523162842,E
08NN027,1977-07-04,0.1979999989271164,
08NN027,1977-08-04,0.04500000178813934,E
08NN027,1977-09-04,0.03400000184774399,E
08NN027,1978-03-04,,
08NN027,1978-04-04,0.6629999876022339,E
08NN027,1978-05-04,3.7100000381469727,E
08NN027,1978-06-04,0.6290000081062317,E
08NN027,1978-07-04,0.3109999895095825,E
08NN027,1978-08-04,0.06499999761581421,
08NN027,1978-09-04,0.10499999672174454,
08NN027,1979-03-04,,
08NN027,1979-04-04,0.12200000137090684,
08NN027,1979-05-04,4.050000190734863,
08NN027,1979-06-04,0.4900000095367432,
08NN027,1979-07-04,0.1860000044107437,
08NN027,1979-08-04,0.032999999821186066,E
08NN027,1979-09-04,0.05400000140070915,E
08NN027,1980-04-04,0.05099999904632568,B
08NN027,1980-05-04,1.5299999713897705,E
08NN027,1980-06-04,1.1299999952316284,
08NN027,1980-07-04,0.5740000009536743,
08NN027,1980-08-04,0.12200000137090684,
08NN027,1980-09-04,0.1040000021457672,E
08NN027,1981-03-04,,
08NN027,1981-04-04,0.4900000095367432,E
08NN027,1981-05-04,,
08NN027,1981-06-04,1.4199999570846558,E
08NN027,1981-07-04,0.9879999756813048,E
08NN027,1981-08-04,0.4970000088214874,
08NN027,1981-09-04,0.15000000596046448,
08NN027,1982-03-04,,
08NN027,1982-04-04,0.2919999957084656,E
08NN027,1982-05-04,5.420000076293945,
08NN027,1982-06-04,1.409999966621399,E
08NN027,1982-07-04,1.1299999952316284,
08NN027,1982-08-04,0.2529999911785126,E
08NN027,1982-09-04,0.1330000013113022,E
08NN027,1983-04-04,1.559999942779541,E
08NN027,1983-05-04,7.070000171661377,
08NN027,1983-06-04,0.7889999747276306,E
08NN027,1983-07-04,0.5709999799728394,
08NN027,1983-08-04,0.23899999260902405,E
08NN027,1983-09-04,0.2119999974966049,
08NN027,1984-04-04,1.0700000524520874,E
08NN027,1984-05-04,3.890000104904175,E
08NN027,1984-06-04,2.009999990463257,
08NN027,1984-07-04,0.6460000276565552,
08NN027,1984-08-04,0.1420000046491623,
08NN027,1984-09-04,0.0820000022649765,
08NN027,1984-10-04,,
