STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
09AA010,Q,1967,H,,9,15,23,0,PST,259.0,,Maximum
09AA010,Q,1968,H,,5,23,1,30,PST,54.70000076293945,,Maximum
09AA010,Q,1969,H,,6,16,5,0,PST,70.5,,Maximum
09AA010,Q,1970,H,,6,5,3,40,PST,39.400001525878906,,Maximum
09AA010,Q,1971,H,,6,22,2,0,PST,53.0,,Maximum
09AA010,Q,1973,H,,6,20,12,48,PST,32.599998474121094,,Maximum
09AA010,Q,1974,H,,9,15,5,0,PST,35.099998474121094,,Maximum
09AA010,Q,1975,H,,7,3,10,11,PST,68.0,,Maximum
09AA010,Q,1976,H,,6,30,16,50,PST,48.09999847412109,,Maximum
09AA010,Q,1977,H,,7,13,18,50,PST,45.0,,Maximum
09AA010,Q,1978,H,,10,19,1,15,PST,51.29999923706055,,Maximum
09AA010,Q,1979,H,,7,7,7,15,PST,56.900001525878906,,Maximum
09AA010,Q,1981,H,,9,7,11,14,PST,57.400001525878906,,Maximum
09AA010,Q,1982,H,,6,13,5,10,PST,44.09999847412109,,Maximum
09AA010,Q,1983,H,,6,2,23,1,PST,56.900001525878906,,Maximum
09AA010,Q,1984,H,,8,26,21,45,PST,38.20000076293945,,Maximum
09AA010,Q,1985,H,,7,2,3,50,PST,48.59999847412109,,Maximum
09AA010,Q,1986,H,,7,1,10,10,PST,48.09999847412109,,Maximum
09AA010,Q,1987,H,,10,2,1,15,PST,63.70000076293945,,Maximum
09AA010,Q,1988,H,,6,10,12,47,PST,56.79999923706055,,Maximum
09AA010,Q,1989,H,,6,1,5,6,PST,51.5,,Maximum
09AA010,Q,1990,H,,9,24,2,59,PST,80.5999984741211,,Maximum
09AA010,Q,1991,H,,6,24,13,20,PST,51.79999923706055,,Maximum
09AA010,Q,1992,H,,7,3,10,33,PST,75.0,,Maximum
09AA010,Q,1992,L,,2,24,0,48,PST,0.8550000190734863,,Minimum
09AA010,Q,1993,H,,6,6,23,13,PST,55.900001525878906,,Maximum
