STATION_NUMBER,date,water_level_m,quality_symbol
09AC005,1952-08-01,,
09AC005,1952-09-01,2.246000051498413,
09AC005,1952-10-01,,
09AC005,1952-11-01,1.7369999885559082,
09AC005,1953-06-01,,
09AC005,1953-07-01,3.127000093460083,
09AC005,1953-08-01,2.9019999504089355,
09AC005,1953-09-01,2.3959999084472656,
09AC005,1953-10-01,1.743000030517578,
09AC005,1953-11-01,1.3530000448226929,
09AC005,1954-06-01,,
09AC005,1954-07-01,2.309999942779541,
09AC005,1954-08-01,2.377000093460083,
09AC005,1954-09-01,2.246000051498413,
09AC005,1954-10-01,1.6640000343322754,
09AC005,1954-11-01,1.2649999856948853,
09AC005,1956-06-01,,
09AC005,1956-07-01,1.725000023841858,
09AC005,1956-08-01,2.4719998836517334,
09AC005,1956-09-01,2.191999912261963,
09AC005,1956-11-01,,
09AC005,1956-12-01,0.975000023841858,
09AC005,1958-06-01,,
09AC005,1958-07-01,2.3529999256134038,
09AC005,1958-08-01,2.384000062942505,
09AC005,1958-09-01,2.0209999084472656,
09AC005,1958-10-01,1.4479999542236328,
09AC005,1958-11-01,1.1089999675750732,
09AC005,1959-05-01,,
09AC005,1959-06-01,1.128000020980835,
09AC005,1959-07-01,2.9779999256134038,
09AC005,1959-08-01,2.25600004196167,
09AC005,1959-09-01,1.996000051498413,
09AC005,1959-10-01,1.50600004196167,
09AC005,1959-11-01,1.14900004863739,
09AC005,1960-05-01,,
09AC005,1960-06-01,1.27400004863739,
09AC005,1960-07-01,2.437999963760376,
09AC005,1960-08-01,2.627000093460083,
09AC005,1960-09-01,2.1489999294281006,
09AC005,1960-10-01,1.6610000133514404,
09AC005,1960-11-01,1.25,
09AC005,1961-04-01,,
09AC005,1961-07-01,,
09AC005,1961-09-01,,
09AC005,1961-10-01,,
09AC005,1961-11-01,1.2799999713897705,
09AC005,1962-06-01,,
09AC005,1962-07-01,2.749000072479248,
09AC005,1962-08-01,2.6610000133514404,
09AC005,1962-09-01,2.4049999713897705,
09AC005,1962-10-01,1.9079999923706052,
09AC005,1962-11-01,1.4259999990463257,
09AC005,1963-05-01,,
09AC005,1963-06-01,1.3589999675750732,
09AC005,1963-07-01,2.0820000171661377,
09AC005,1963-08-01,2.6519999504089355,
09AC005,1963-09-01,2.4200000762939453,
09AC005,1963-10-01,2.13100004196167,
09AC005,1963-11-01,1.5729999542236328,
09AC005,1964-06-01,,
09AC005,1964-07-01,2.365000009536743,
09AC005,1964-08-01,2.5299999713897705,
09AC005,1964-11-01,,
09AC005,1965-01-01,,
09AC005,1965-03-01,,
09AC005,1965-04-01,,
09AC005,1965-05-01,,
09AC005,1965-06-01,0.847000002861023,
09AC005,1965-07-01,1.6890000104904177,
09AC005,1965-08-01,2.4200000762939453,
09AC005,1965-09-01,2.094000101089477,
09AC005,1965-10-01,1.77400004863739,
09AC005,1965-11-01,1.2339999675750732,
09AC005,1965-12-01,,
09AC005,1966-01-01,,
09AC005,1966-02-01,,
09AC005,1966-03-01,,
09AC005,1966-04-01,,
09AC005,1966-05-01,,
09AC005,1966-06-01,0.7829999923706055,
09AC005,1966-07-01,2.315999984741211,
09AC005,1966-08-01,2.700999975204468,
09AC005,1966-09-01,2.128000020980835,
09AC005,1966-10-01,1.753000020980835,
09AC005,1966-11-01,1.3589999675750732,
09AC005,1966-12-01,1.0149999856948853,
09AC005,1967-01-01,0.8140000104904175,
09AC005,1967-02-01,0.6769999861717224,
09AC005,1967-03-01,0.6489999890327454,
09AC005,1967-04-01,0.5550000071525574,
09AC005,1967-05-01,0.5699999928474426,
09AC005,1967-06-01,1.0420000553131104,
09AC005,1967-07-01,2.806999921798706,
09AC005,1967-08-01,2.5299999713897705,
09AC005,1967-09-01,2.2309999465942383,
09AC005,1967-10-01,2.26200008392334,
09AC005,1967-11-01,1.4479999542236328,
09AC005,1967-12-01,1.0520000457763672,
09AC005,1968-01-01,0.8500000238418579,
09AC005,1968-02-01,,
09AC005,1968-04-01,,
09AC005,1968-05-01,,
09AC005,1968-07-01,,
09AC005,1968-08-01,,
09AC005,1968-09-01,2.219000101089477,
09AC005,1968-10-01,1.8869999647140503,
09AC005,1968-11-01,1.3380000591278076,
09AC005,1968-12-01,,
09AC005,1969-01-01,,
09AC005,1969-04-01,0.6069999933242798,A
09AC005,1969-05-01,,
09AC005,1969-06-01,1.3049999475479126,
09AC005,1969-07-01,2.7980000972747803,
09AC005,1969-08-01,2.2100000381469727,
09AC005,1969-09-01,,
09AC005,1969-10-01,1.6790000200271606,
09AC005,1969-11-01,1.39900004863739,
09AC005,1969-12-01,1.1030000448226929,
09AC005,1970-01-01,0.9240000247955322,
09AC005,1970-02-01,0.7620000243186951,
09AC005,1970-03-01,0.6800000071525574,
09AC005,1970-04-01,0.6190000176429749,
09AC005,1970-05-01,0.6190000176429749,
09AC005,1970-06-01,0.9300000071525574,
09AC005,1970-07-01,1.871000051498413,
09AC005,1970-08-01,2.243000030517578,
09AC005,1970-09-01,1.8170000314712524,
09AC005,1970-10-01,1.5540000200271606,
09AC005,1970-11-01,1.2369999885559082,
09AC005,1970-12-01,1.02400004863739,
09AC005,1971-01-01,0.8320000171661377,
09AC005,1971-02-01,0.6859999895095825,
09AC005,1971-03-01,,
09AC005,1971-04-01,0.593999981880188,
09AC005,1971-05-01,0.5519999861717224,
09AC005,1971-06-01,0.7009999752044678,
09AC005,1971-07-01,2.681999921798706,
09AC005,1971-08-01,2.874000072479248,
09AC005,1971-09-01,2.377000093460083,
09AC005,1971-10-01,1.6979999542236328,
09AC005,1971-11-01,1.1799999475479126,
09AC005,1971-12-01,0.9110000133514404,
09AC005,1972-01-01,0.7860000133514404,
09AC005,1972-02-01,,
09AC005,1972-03-01,0.6129999756813049,
09AC005,1972-04-01,0.5820000171661377,
09AC005,1972-05-01,0.5669999718666077,
09AC005,1972-06-01,1.1610000133514404,
09AC005,1972-07-01,2.4809999465942383,
09AC005,1972-08-01,2.532999992370605,
09AC005,1972-09-01,2.3929998874664307,
09AC005,1972-10-01,,
09AC005,1972-11-01,1.258999943733215,
09AC005,1972-12-01,0.977999985218048,
09AC005,1973-01-01,0.8050000071525574,
09AC005,1973-02-01,0.6740000247955322,
09AC005,1973-03-01,0.625,
09AC005,1973-04-01,0.5849999785423279,
09AC005,1973-05-01,0.5730000138282776,
09AC005,1973-06-01,0.8050000071525574,
09AC005,1973-07-01,2.0420000553131104,
09AC005,1973-08-01,2.51200008392334,
09AC005,1973-09-01,2.0910000801086426,
09AC005,1973-10-01,1.5449999570846558,
09AC005,1973-11-01,1.1460000276565552,
09AC005,1973-12-01,0.8410000205039978,
09AC005,1974-02-01,,
09AC005,1974-03-01,0.6460000276565552,
09AC005,1974-04-01,0.5910000205039978,
09AC005,1974-05-01,0.5759999752044678,
09AC005,1974-06-01,1.097000002861023,
09AC005,1974-07-01,2.0510001182556152,
09AC005,1974-08-01,2.407999992370605,
09AC005,1974-09-01,2.4570000171661377,
09AC005,1974-10-01,1.9600000381469729,
09AC005,1974-11-01,1.4420000314712524,
09AC005,1974-12-01,1.1670000553131104,
09AC005,1975-01-01,,
09AC005,1975-02-01,0.7739999890327454,
09AC005,1975-03-01,0.6980000138282776,
09AC005,1975-04-01,0.6520000100135803,
09AC005,1975-05-01,0.6399999856948853,
09AC005,1975-06-01,0.9330000281333924,
09AC005,1975-07-01,,
09AC005,1975-08-01,2.575999975204468,
09AC005,1975-09-01,2.184999942779541,
09AC005,1975-10-01,2.121000051498413,
09AC005,1975-11-01,1.4600000381469729,
09AC005,1975-12-01,1.1130000352859497,
09AC005,1976-01-01,0.8930000066757202,
09AC005,1976-02-01,0.753000020980835,
09AC005,1976-03-01,0.6769999861717224,
09AC005,1976-04-01,0.6340000033378601,
09AC005,1976-05-01,0.621999979019165,
09AC005,1976-06-01,0.8109999895095825,
09AC005,1976-07-01,2.618000030517578,
09AC005,1976-08-01,2.4260001182556152,
09AC005,1976-09-01,2.249000072479248,
09AC005,1976-10-01,1.89300000667572,
09AC005,1976-11-01,1.4170000553131104,
09AC005,1976-12-01,1.222000002861023,
09AC005,1977-01-01,0.972000002861023,
09AC005,1977-02-01,0.8349999785423279,
09AC005,1977-03-01,0.7319999933242798,
09AC005,1977-04-01,0.6639999747276306,
09AC005,1977-05-01,0.6949999928474426,
09AC005,1977-06-01,0.9020000100135804,
09AC005,1977-07-01,2.463000059127808,
09AC005,1977-08-01,2.7739999294281006,
09AC005,1977-09-01,2.51200008392334,
09AC005,1977-10-01,1.753000020980835,
09AC005,1977-11-01,1.2860000133514404,
09AC005,1977-12-01,0.9850000143051147,
09AC005,1978-01-01,0.7829999923706055,
09AC005,1978-02-01,0.6740000247955322,
09AC005,1978-03-01,0.6069999933242798,
09AC005,1978-04-01,0.5640000104904175,
09AC005,1978-05-01,0.5910000205039978,
09AC005,1978-06-01,0.8840000033378601,
09AC005,1978-08-01,,
09AC005,1978-11-01,,
09AC005,1978-12-01,1.0390000343322754,
09AC005,1979-01-01,0.8259999752044678,
