STATION_NUMBER,date,water_level_m,quality_symbol
09DA001,2015-07-01,,
09DA001,2015-08-01,14.776000022888184,
09DA001,2015-09-01,14.710000038146973,
09DA001,2015-10-01,14.428999900817873,
09DA001,2015-11-01,13.95699977874756,
09DA001,2015-12-01,14.310999870300291,
09DA001,2016-01-01,14.883000373840332,
09DA001,2016-02-01,14.638999938964844,
09DA001,2016-03-01,14.50100040435791,
09DA001,2016-04-01,14.375,
09DA001,2016-05-01,14.065999984741213,
09DA001,2016-06-01,14.553000450134276,
09DA001,2016-07-01,14.612000465393066,
09DA001,2016-08-01,14.732000350952148,
09DA001,2016-09-01,14.270999908447266,
09DA001,2016-10-01,14.119000434875488,
09DA001,2016-11-01,13.89799976348877,
09DA001,2016-12-01,14.57800006866455,
09DA001,2017-01-01,,
09DA001,2017-02-01,,
09DA001,2017-03-01,14.37600040435791,
09DA001,2017-04-01,14.42199993133545,
09DA001,2017-05-01,,
09DA001,2017-06-01,14.81700038909912,
09DA001,2017-07-01,14.520999908447266,
09DA001,2017-08-01,14.331000328063965,
09DA001,2017-09-01,14.102999687194824,
09DA001,2017-10-01,14.123000144958496,
09DA001,2017-11-01,13.852999687194824,
09DA001,2017-12-01,14.373000144958496,
09DA001,2018-01-01,14.265999794006348,
09DA001,2018-02-01,14.246999740600586,
09DA001,2018-03-01,14.321999549865724,
09DA001,2018-04-01,14.291999816894531,
09DA001,2018-05-01,14.369999885559082,
09DA001,2018-06-01,14.45400047302246,
09DA001,2018-07-01,14.640999794006348,
09DA001,2018-08-01,14.211000442504885,
09DA001,2018-09-01,14.40999984741211,
09DA001,2018-10-01,13.881999969482422,
09DA001,2018-11-01,13.826000213623049,
09DA001,2018-12-01,14.31999969482422,
09DA001,2019-01-01,14.184000015258787,
09DA001,2019-02-01,14.12600040435791,
09DA001,2019-03-01,14.069000244140623,
09DA001,2019-04-01,14.14799976348877,
09DA001,2019-05-01,13.645000457763672,
09DA001,2019-06-01,14.74899959564209,
09DA001,2019-07-01,14.239999771118164,
09DA001,2019-08-01,14.29699993133545,
09DA001,2019-09-01,13.887999534606934,
09DA001,2019-10-01,13.984000205993652,
09DA001,2019-11-01,13.78600025177002,
09DA001,2019-12-01,14.73799991607666,
09DA001,2020-01-01,14.380000114440918,
09DA001,2020-02-01,14.251999855041504,
09DA001,2020-03-01,14.243000030517578,
09DA001,2020-04-01,14.362000465393066,
09DA001,2020-05-01,14.211999893188477,
09DA001,2020-06-01,15.274999618530272,
09DA001,2020-07-01,14.866999626159668,
09DA001,2020-08-01,14.72700023651123,
09DA001,2020-09-01,14.609000205993652,
09DA001,2020-10-01,14.229999542236328,
09DA001,2020-11-01,14.8149995803833,
09DA001,2020-12-01,14.845999717712402,
09DA001,2021-01-01,14.609999656677246,
09DA001,2021-02-01,14.399999618530272,
09DA001,2021-03-01,14.352999687194824,
09DA001,2021-04-01,14.29300022125244,
09DA001,2021-05-01,14.48799991607666,
09DA001,2021-06-01,15.211000442504885,
09DA001,2021-07-01,15.152000427246094,
09DA001,2021-08-01,14.373000144958496,
09DA001,2021-09-01,14.380999565124512,
09DA001,2021-10-01,14.18299961090088,
09DA001,2021-11-01,13.880999565124512,
09DA001,2021-12-01,14.32800006866455,
09DA001,2022-01-01,14.265999794006348,
09DA001,2022-02-01,14.29599952697754,
09DA001,2022-03-01,14.394000053405762,
09DA001,2022-04-01,14.425000190734863,
09DA001,2022-05-01,14.368000030517578,
09DA001,2022-06-01,15.241999626159668,
09DA001,2022-07-01,14.92199993133545,
09DA001,2022-08-01,14.461000442504885,
09DA001,2022-09-01,14.404000282287598,
09DA001,2022-10-01,14.706000328063965,
09DA001,2022-11-01,14.288999557495115,
09DA001,2022-12-01,14.798999786376951,
09DA001,2023-01-01,14.64799976348877,
09DA001,2023-02-01,14.489999771118164,
09DA001,2023-03-01,14.343999862670898,
09DA001,2023-04-01,14.270000457763672,
09DA001,2023-05-01,14.272000312805176,
09DA001,2023-06-01,14.588000297546388,
09DA001,2023-07-01,15.121999740600586,
09DA001,2023-08-01,14.300000190734863,
09DA001,2023-09-01,14.237000465393066,
09DA001,2023-10-01,14.404999732971191,
09DA001,2023-11-01,14.272000312805176,
09DA001,2023-12-01,14.114999771118164,
09DA001,2024-01-01,14.996999740600586,
09DA001,2024-02-01,14.61299991607666,
09DA001,2024-03-01,14.282999992370604,A
09DA001,2024-04-01,14.236000061035156,
09DA001,2024-05-01,14.527000427246094,
09DA001,2024-06-01,14.788999557495115,
09DA001,2024-07-01,14.723999977111816,
09DA001,2024-08-01,14.472999572753906,
09DA001,2024-09-01,14.428999900817873,
09DA001,2024-10-01,14.312000274658203,
09DA001,2024-11-01,14.039999961853027,
09DA001,2024-12-01,15.161999702453612,
09DA001,2015-07-02,,
09DA001,2015-08-02,14.682000160217283,
09DA001,2015-09-02,14.630999565124512,
09DA001,2015-10-02,14.336000442504885,
09DA001,2015-11-02,13.928999900817873,
09DA001,2015-12-02,14.359999656677246,
09DA001,2016-01-02,14.871000289916992,
09DA001,2016-02-02,14.630000114440918,
09DA001,2016-03-02,14.52400016784668,
09DA001,2016-04-02,14.395000457763672,
09DA001,2016-05-02,14.109999656677246,
09DA001,2016-06-02,14.5649995803833,
09DA001,2016-07-02,14.607000350952148,
09DA001,2016-08-02,14.67300033569336,
09DA001,2016-09-02,14.258000373840332,
09DA001,2016-10-02,14.116999626159668,
09DA001,2016-11-02,13.9399995803833,
09DA001,2016-12-02,14.581000328063965,
09DA001,2017-01-02,,
09DA001,2017-02-02,,
09DA001,2017-03-02,14.361000061035156,
09DA001,2017-04-02,14.427000045776367,
09DA001,2017-05-02,,
09DA001,2017-06-02,14.994000434875488,
09DA001,2017-07-02,14.496000289916992,
09DA001,2017-08-02,14.309000015258787,
09DA001,2017-09-02,14.083999633789062,
09DA001,2017-10-02,14.07800006866455,
09DA001,2017-11-02,13.800999641418455,
09DA001,2017-12-02,14.383999824523926,
09DA001,2018-01-02,14.258000373840332,
09DA001,2018-02-02,14.239999771118164,
09DA001,2018-03-02,14.321000099182127,
09DA001,2018-04-02,14.286999702453612,
09DA001,2018-05-02,14.387999534606934,
09DA001,2018-06-02,14.51200008392334,
09DA001,2018-07-02,14.689000129699709,
09DA001,2018-08-02,14.199000358581545,
09DA001,2018-09-02,14.37399959564209,
09DA001,2018-10-02,13.845000267028809,
09DA001,2018-11-02,13.798999786376951,
09DA001,2018-12-02,14.310999870300291,
09DA001,2019-01-02,14.187999725341797,
09DA001,2019-02-02,14.12600040435791,
09DA001,2019-03-02,14.0649995803833,
09DA001,2019-04-02,14.142000198364258,
09DA001,2019-05-02,13.66100025177002,
09DA001,2019-06-02,14.68000030517578,
09DA001,2019-07-02,14.211000442504885,
09DA001,2019-08-02,14.270000457763672,
09DA001,2019-09-02,13.881999969482422,
09DA001,2019-10-02,14.045000076293944,
09DA001,2019-11-02,13.79599952697754,
09DA001,2019-12-02,14.732000350952148,
09DA001,2020-01-02,14.380000114440918,
09DA001,2020-02-02,14.255000114440918,
09DA001,2020-03-02,14.25,
09DA001,2020-04-02,14.357999801635742,
09DA001,2020-05-02,14.201000213623049,
09DA001,2020-06-02,15.166999816894531,
09DA001,2020-07-02,14.864999771118164,
09DA001,2020-08-02,14.718999862670898,
09DA001,2020-09-02,14.61400032043457,
09DA001,2020-10-02,14.217000007629396,
09DA001,2020-11-02,14.789999961853027,
09DA001,2020-12-02,14.817999839782717,
09DA001,2021-01-02,14.593000411987305,
09DA001,2021-02-02,14.404999732971191,
09DA001,2021-03-02,14.357999801635742,
09DA001,2021-04-02,14.291000366210938,
09DA001,2021-05-02,14.468999862670898,
09DA001,2021-06-02,15.336000442504885,
09DA001,2021-07-02,14.954999923706056,
09DA001,2021-08-02,14.366000175476074,
09DA001,2021-09-02,14.354999542236328,
09DA001,2021-10-02,14.18000030517578,
09DA001,2021-11-02,13.836000442504885,
09DA001,2021-12-02,14.35099983215332,
09DA001,2022-01-02,14.267999649047852,
09DA001,2022-02-02,14.307000160217283,
09DA001,2022-03-02,14.394000053405762,
09DA001,2022-04-02,14.42099952697754,
09DA001,2022-05-02,14.366000175476074,
09DA001,2022-06-02,15.388999938964844,
09DA001,2022-07-02,14.880999565124512,
09DA001,2022-08-02,14.611000061035156,
09DA001,2022-09-02,14.364999771118164,
09DA001,2022-10-02,14.92199993133545,
09DA001,2022-11-02,14.282999992370604,
09DA001,2022-12-02,14.920000076293944,
09DA001,2023-01-02,14.63700008392334,
09DA001,2023-02-02,14.473999977111816,
09DA001,2023-03-02,14.345999717712402,
09DA001,2023-04-02,14.270999908447266,
09DA001,2023-05-02,14.309000015258787,
09DA001,2023-06-02,14.520999908447266,
09DA001,2023-07-02,15.072999954223633,
09DA001,2023-08-02,14.272000312805176,
09DA001,2023-09-02,14.383999824523926,
09DA001,2023-10-02,14.373000144958496,
09DA001,2023-11-02,14.218000411987305,
09DA001,2023-12-02,14.161999702453612,
09DA001,2024-01-02,14.967000007629396,A
09DA001,2024-02-02,14.619999885559082,
09DA001,2024-03-02,14.27400016784668,A
09DA001,2024-04-02,14.23900032043457,
09DA001,2024-05-02,14.618000030517578,
09DA001,2024-06-02,14.776000022888184,
09DA001,2024-07-02,14.706000328063965,
09DA001,2024-08-02,14.442999839782717,
09DA001,2024-09-02,14.484000205993652,
09DA001,2024-10-02,14.26200008392334,
09DA001,2024-11-02,14.071999549865724,
09DA001,2024-12-02,15.109999656677246,
09DA001,2015-07-03,,
09DA001,2015-08-03,14.614999771118164,
09DA001,2015-09-03,14.571000099182127,
09DA001,2015-10-03,14.312999725341797,
09DA001,2015-11-03,13.875,
09DA001,2015-12-03,14.390000343322754,
09DA001,2016-01-03,14.861000061035156,
09DA001,2016-02-03,14.62399959564209,
09DA001,2016-03-03,14.515999794006348,
09DA001,2016-04-03,14.376999855041504,
09DA001,2016-05-03,14.255999565124512,
09DA001,2016-06-03,14.62600040435791,
09DA001,2016-07-03,14.5649995803833,
09DA001,2016-08-03,14.616000175476074,
09DA001,2016-09-03,14.23799991607666,
09DA001,2016-10-03,14.093999862670898,
09DA001,2016-11-03,13.99899959564209,
09DA001,2016-12-03,14.579999923706056,A
09DA001,2017-01-03,,
09DA001,2017-02-03,,
09DA001,2017-03-03,14.357999801635742,
09DA001,2017-04-03,14.425000190734863,
09DA001,2017-05-03,,
09DA001,2017-06-03,14.963000297546388,
09DA001,2017-07-03,14.62600040435791,
09DA001,2017-08-03,14.28499984741211,
09DA001,2017-09-03,14.050999641418455,
09DA001,2017-10-03,14.0649995803833,
09DA001,2017-11-03,13.836999893188477,
09DA001,2017-12-03,14.394000053405762,
09DA001,2018-01-03,14.26099967956543,
09DA001,2018-02-03,14.229999542236328,
09DA001,2018-03-03,14.321000099182127,
09DA001,2018-04-03,14.288000106811523,
09DA001,2018-05-03,14.43000030517578,
09DA001,2018-06-03,14.52400016784668,
09DA001,2018-07-03,14.59000015258789,
09DA001,2018-08-03,14.241000175476074,
09DA001,2018-09-03,14.34000015258789,
09DA001,2018-10-03,13.835000038146973,
09DA001,2018-11-03,13.72700023651123,
09DA001,2018-12-03,14.303000450134276,
09DA001,2019-01-03,14.185999870300291,
09DA001,2019-02-03,14.119999885559082,
09DA001,2019-03-03,14.062000274658203,
09DA001,2019-04-03,14.10200023651123,
09DA001,2019-05-03,13.61299991607666,
09DA001,2019-06-03,14.576000213623049,
09DA001,2019-07-03,14.21399974822998,
09DA001,2019-08-03,14.272000312805176,
09DA001,2019-09-03,13.894000053405762,
09DA001,2019-10-03,14.08899974822998,
09DA001,2019-11-03,13.769000053405762,
09DA001,2019-12-03,14.723999977111816,
09DA001,2020-01-03,14.366000175476074,
09DA001,2020-02-03,14.251999855041504,
09DA001,2020-03-03,14.262999534606934,
09DA001,2020-04-03,14.35200023651123,
09DA001,2020-05-03,14.20400047302246,
09DA001,2020-06-03,15.083000183105469,
09DA001,2020-07-03,14.83199977874756,
09DA001,2020-08-03,14.666000366210938,
09DA001,2020-09-03,14.60099983215332,
09DA001,2020-10-03,14.21500015258789,
09DA001,2020-11-03,14.859000205993652,
09DA001,2020-12-03,14.786999702453612,
09DA001,2021-01-03,14.56999969482422,
09DA001,2021-02-03,14.413000106811523,
09DA001,2021-03-03,14.357999801635742,
09DA001,2021-04-03,14.29699993133545,
09DA001,2021-05-03,14.472999572753906,
09DA001,2021-06-03,15.29800033569336,
09DA001,2021-07-03,14.864999771118164,
09DA001,2021-08-03,14.371999740600586,
09DA001,2021-09-03,14.345999717712402,
09DA001,2021-10-03,14.180999755859377,
09DA001,2021-11-03,13.800000190734863,
09DA001,2021-12-03,14.33899974822998,
09DA001,2022-01-03,14.265999794006348,
09DA001,2022-02-03,14.312999725341797,
09DA001,2022-03-03,14.392999649047852,
09DA001,2022-04-03,14.42099952697754,
09DA001,2022-05-03,14.357999801635742,
09DA001,2022-06-03,15.47700023651123,
09DA001,2022-07-03,14.861000061035156,
09DA001,2022-08-03,14.729000091552734,
09DA001,2022-09-03,14.335000038146973,
09DA001,2022-10-03,14.819000244140623,
09DA001,2022-11-03,14.300999641418455,
09DA001,2022-12-03,14.875,
09DA001,2023-01-03,14.628000259399414,
09DA001,2023-02-03,14.45699977874756,
09DA001,2023-03-03,14.340999603271484,
09DA001,2023-04-03,14.265999794006348,
09DA001,2023-05-03,14.409000396728516,
09DA001,2023-06-03,14.48900032043457,
09DA001,2023-07-03,14.973999977111816,
09DA001,2023-08-03,14.274999618530272,
09DA001,2023-09-03,14.409000396728516,
09DA001,2023-10-03,14.369000434875488,
09DA001,2023-11-03,14.142000198364258,
09DA001,2023-12-03,14.236000061035156,A
09DA001,2024-01-03,,
09DA001,2024-02-03,14.609999656677246,
09DA001,2024-03-03,14.265999794006348,A
09DA001,2024-04-03,14.229999542236328,
09DA001,2024-05-03,14.630999565124512,
09DA001,2024-06-03,14.807000160217283,
09DA001,2024-07-03,14.70300006866455,
09DA001,2024-08-03,14.42099952697754,
09DA001,2024-09-03,14.51099967956543,
09DA001,2024-10-03,14.25,
09DA001,2024-11-03,14.095999717712402,
09DA001,2024-12-03,15.04300022125244,
09DA001,2015-07-04,,
09DA001,2015-08-04,14.562999725341797,
09DA001,2015-09-04,14.522000312805176,
09DA001,2015-10-04,14.326000213623049,
09DA001,2015-11-04,13.866000175476074,
09DA001,2015-12-04,14.463000297546388,
09DA001,2016-01-04,14.848999977111816,
09DA001,2016-02-04,14.61299991607666,
09DA001,2016-03-04,14.506999969482422,
09DA001,2016-04-04,14.34000015258789,
09DA001,2016-05-04,14.411999702453612,
09DA001,2016-06-04,14.69499969482422,
09DA001,2016-07-04,14.513999938964844,
09DA001,2016-08-04,14.61400032043457,
09DA001,2016-09-04,14.21500015258789,
09DA001,2016-10-04,14.034000396728516,
09DA001,2016-11-04,14.0649995803833,
09DA001,2016-12-04,14.565999984741213,
09DA001,2017-01-04,,
09DA001,2017-02-04,,
09DA001,2017-03-04,14.345999717712402,
09DA001,2017-04-04,14.423999786376951,
09DA001,2017-05-04,,
09DA001,2017-06-04,15.13599967956543,
09DA001,2017-07-04,14.638999938964844,
09DA001,2017-08-04,14.291999816894531,
09DA001,2017-09-04,14.02400016784668,
