STATION_NUMBER,date,water_level_m,quality_symbol
09DC003,1996-06-01,,
09DC003,1996-07-01,7.210999965667725,
09DC003,1996-08-01,6.677999973297119,
09DC003,1996-09-01,8.074000358581543,
09DC003,1996-06-02,,
09DC003,1996-07-02,7.079999923706055,
09DC003,1996-08-02,6.630000114440918,
09DC003,1996-09-02,8.050000190734863,
09DC003,1996-06-03,,
09DC003,1996-07-03,7.019999980926514,
09DC003,1996-08-03,6.630000114440918,
09DC003,1996-09-03,7.946000099182129,
09DC003,1996-06-04,,
09DC003,1996-07-04,7.056000232696533,
09DC003,1996-08-04,6.670000076293945,
09DC003,1996-09-04,7.854000091552734,
09DC003,1996-06-05,10.100000381469728,A
09DC003,1996-07-05,6.9720001220703125,
09DC003,1996-08-05,6.843999862670898,
09DC003,1996-09-05,7.696000099182129,
09DC003,1996-06-06,9.232999801635742,
09DC003,1996-07-06,6.863999843597412,
09DC003,1996-08-06,7.201000213623047,
09DC003,1996-09-06,7.474999904632568,
09DC003,1996-06-07,8.368000030517578,
09DC003,1996-07-07,6.800000190734863,
09DC003,1996-08-07,7.36899995803833,
09DC003,1996-09-07,7.291999816894531,
09DC003,1996-06-08,7.863999843597412,
09DC003,1996-07-08,6.76800012588501,
09DC003,1996-08-08,7.65500020980835,
09DC003,1996-09-08,7.184999942779541,
09DC003,1996-06-09,7.73199987411499,
09DC003,1996-07-09,6.822999954223633,
09DC003,1996-08-09,7.831999778747559,
09DC003,1996-09-09,7.086999893188477,
09DC003,1996-06-10,8.211000442504883,
09DC003,1996-07-10,6.940000057220459,
09DC003,1996-08-10,7.703999996185303,
09DC003,1996-09-10,7.001999855041504,
09DC003,1996-06-11,9.86299991607666,
09DC003,1996-07-11,7.151000022888184,
09DC003,1996-08-11,7.547999858856201,
09DC003,1996-09-11,6.997000217437744,
09DC003,1996-06-12,10.164999961853027,
09DC003,1996-07-12,7.821000099182129,
09DC003,1996-08-12,7.414999961853027,
09DC003,1996-09-12,7.125999927520752,
09DC003,1996-06-13,9.387999534606934,
09DC003,1996-07-13,8.204000473022461,
09DC003,1996-08-13,7.267000198364258,
09DC003,1996-09-13,7.256999969482422,
09DC003,1996-06-14,8.812000274658203,
09DC003,1996-07-14,8.043999671936035,
09DC003,1996-08-14,7.247000217437744,
09DC003,1996-09-14,7.289999961853027,
09DC003,1996-06-15,8.630999565124512,
09DC003,1996-07-15,7.925000190734863,
09DC003,1996-08-15,7.320000171661377,
09DC003,1996-09-15,7.436999797821045,
09DC003,1996-06-16,8.565999984741211,
09DC003,1996-07-16,8.055999755859375,
09DC003,1996-08-16,7.414999961853027,
09DC003,1996-09-16,7.573999881744385,
09DC003,1996-06-17,8.539999961853027,
09DC003,1996-07-17,8.333000183105469,
09DC003,1996-08-17,7.349999904632568,
09DC003,1996-09-17,7.551000118255615,
09DC003,1996-06-18,8.42300033569336,
09DC003,1996-07-18,8.321999549865723,
09DC003,1996-08-18,7.21999979019165,A
09DC003,1996-09-18,7.453000068664551,
09DC003,1996-06-19,8.331999778747559,
09DC003,1996-07-19,8.038000106811523,
09DC003,1996-08-19,7.131999969482422,
09DC003,1996-09-19,7.388999938964844,
09DC003,1996-06-20,8.27299976348877,
09DC003,1996-07-20,7.789000034332275,
09DC003,1996-08-20,7.156000137329102,
09DC003,1996-09-20,7.361999988555908,A
09DC003,1996-06-21,8.170000076293945,
09DC003,1996-07-21,7.578000068664551,
09DC003,1996-08-21,7.191999912261963,
09DC003,1996-09-21,,
09DC003,1996-06-22,8.12600040435791,
09DC003,1996-07-22,7.434000015258789,
09DC003,1996-08-22,7.209000110626221,
09DC003,1996-09-22,,
09DC003,1996-06-23,8.182000160217285,
09DC003,1996-07-23,7.302999973297119,
09DC003,1996-08-23,7.254000186920166,
09DC003,1996-09-23,,
09DC003,1996-06-24,8.230999946594238,
09DC003,1996-07-24,7.228000164031982,
09DC003,1996-08-24,7.590000152587891,
09DC003,1996-09-24,,
09DC003,1996-06-25,8.279000282287598,
09DC003,1996-07-25,7.289000034332275,
09DC003,1996-08-25,7.888000011444092,
09DC003,1996-09-25,,
09DC003,1996-06-26,8.1850004196167,
09DC003,1996-07-26,7.255000114440918,
09DC003,1996-08-26,7.926000118255615,
09DC003,1996-09-26,,
09DC003,1996-06-27,8.043000221252441,
09DC003,1996-07-27,7.11299991607666,
09DC003,1996-08-27,8.012999534606934,
09DC003,1996-09-27,,
09DC003,1996-06-28,7.870999813079834,
09DC003,1996-07-28,7.050000190734863,
09DC003,1996-08-28,8.079999923706055,
09DC003,1996-09-28,,
09DC003,1996-06-29,7.618000030517578,
09DC003,1996-07-29,6.948999881744385,
09DC003,1996-08-29,8.003000259399414,
09DC003,1996-09-29,,
09DC003,1996-06-30,7.394999980926514,
09DC003,1996-07-30,6.835000038146973,
09DC003,1996-08-30,7.960000038146973,
09DC003,1996-09-30,,
09DC003,1996-07-31,6.745999813079834,
09DC003,1996-08-31,8.01099967956543,
