STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
09FA001,H,2016,H,8.0,5,5,6,0,PST,5.302999973297119,E,Maximum
09FA001,H,2023,L,8.0,11,11,6,10,PST,1.187999963760376, ,Minimum
09FA001,Q,1981,H,,7,21,2,11,YST,894.0,,Maximum
09FA001,Q,1982,H,,3,27,16,25,YST,1070.0,,Maximum
09FA001,Q,1983,H,,5,28,21,41,YST,587.0,,Maximum
09FA001,Q,1985,H,,5,23,22,50,YST,692.0,,Maximum
09FA001,Q,1986,H,,6,12,2,59,YST,161.0,,Maximum
09FA001,Q,1987,H,,5,23,1,0,YST,568.0,,Maximum
09FA001,Q,1988,H,,5,24,12,17,YST,651.0,,Maximum
09FA001,Q,1989,H,,6,27,13,40,YST,1400.0,,Maximum
09FA001,Q,1991,H,,6,12,23,29,YST,331.0,,Maximum
09FA001,Q,1993,H,,5,14,13,23,YST,488.0,,Maximum
09FA001,Q,1994,H,,5,4,19,40,YST,755.0,,Maximum
09FA001,Q,1995,H,,6,19,12,44,YST,583.0,,Maximum
09FA001,Q,1996,H,,6,12,0,20,YST,358.0,,Maximum
09FA001,Q,2016,H,,8,12,19,10,PST,1200.0, ,Maximum
09FA001,Q,2022,H,,5,22,12,0,PST,876.0,E,Maximum
