STATION_NUMBER,date,flow_cms,quality_symbol
10BA001,1967-05-01,16.700000762939453,E
10BA001,1967-06-01,442.0,
10BA001,1967-07-01,212.0,
10BA001,1967-08-01,124.0,
10BA001,1967-09-01,80.4000015258789,
10BA001,1967-10-01,126.0,
10BA001,1967-11-01,51.0,
10BA001,1967-12-01,26.799999237060547,B
10BA001,1968-01-01,16.600000381469727,B
10BA001,1968-02-01,12.5,B
10BA001,1968-03-01,12.699999809265137,B
10BA001,1968-04-01,13.199999809265137,B
10BA001,1968-05-01,18.700000762939453,B
10BA001,1968-06-01,218.0,
10BA001,1968-07-01,203.0,
10BA001,1968-08-01,117.0,
10BA001,1968-09-01,212.0,
10BA001,1968-10-01,110.0,
10BA001,1968-11-01,50.400001525878906,
10BA001,1968-12-01,30.0,E
10BA001,1969-01-01,15.899999618530272,B
10BA001,1969-02-01,7.28000020980835,B
10BA001,1969-03-01,6.090000152587891,B
10BA001,1969-04-01,7.5,B
10BA001,1969-05-01,22.0,B
10BA001,1969-06-01,242.0,
10BA001,1969-07-01,99.4000015258789,
10BA001,1969-08-01,93.6999969482422,
10BA001,1969-09-01,142.0,
10BA001,1969-10-01,94.9000015258789,
10BA001,1969-11-01,28.899999618530277,B
10BA001,1969-12-01,24.399999618530277,B
10BA001,1970-01-01,19.299999237060547,B
10BA001,1970-02-01,15.699999809265137,B
10BA001,1970-03-01,17.0,B
10BA001,1970-04-01,14.699999809265137,B
10BA001,1970-05-01,16.399999618530273,B
10BA001,1970-06-01,210.0,
10BA001,1970-07-01,267.0,
10BA001,1970-08-01,146.0,
10BA001,1970-09-01,117.0,
10BA001,1970-10-01,161.0,
10BA001,1970-11-01,62.29999923706055,B
10BA001,1970-12-01,23.899999618530277,B
10BA001,1971-01-01,18.100000381469727,B
10BA001,1971-02-01,12.5,B
10BA001,1971-03-01,11.600000381469728,B
10BA001,1971-04-01,11.399999618530272,B
10BA001,1971-05-01,33.70000076293945,B
10BA001,1971-06-01,214.0,
10BA001,1971-07-01,180.0,
10BA001,1971-08-01,101.0,E
10BA001,1971-09-01,61.70000076293945,
10BA001,1971-10-01,71.0999984741211,E
10BA001,1971-11-01,36.79999923706055,B
10BA001,1971-12-01,21.0,B
10BA001,1972-01-01,11.600000381469728,B
10BA001,1972-02-01,10.300000190734863,B
10BA001,1972-03-01,9.600000381469728,B
10BA001,1972-04-01,9.0600004196167,B
10BA001,1972-05-01,19.799999237060547,B
10BA001,1972-06-01,779.0,
10BA001,1972-07-01,167.0,
10BA001,1972-08-01,181.0,
10BA001,1972-09-01,90.0,
10BA001,1972-10-01,110.0,E
10BA001,1972-11-01,62.0,E
10BA001,1972-12-01,24.899999618530277,B
10BA001,1973-01-01,18.100000381469727,B
10BA001,1973-02-01,14.199999809265137,B
10BA001,1973-03-01,12.0,B
10BA001,1973-04-01,14.199999809265137,B
10BA001,1973-05-01,22.700000762939453,E
10BA001,1973-06-01,180.0,
10BA001,1973-07-01,300.0,
10BA001,1973-08-01,146.0,
10BA001,1973-09-01,111.0,
10BA001,1973-10-01,90.3000030517578,
10BA001,1973-11-01,47.0,
10BA001,1973-12-01,18.100000381469727,B
10BA001,1974-01-01,14.399999618530272,B
10BA001,1974-02-01,12.5,B
10BA001,1974-03-01,12.199999809265137,B
10BA001,1974-04-01,13.0,B
10BA001,1974-05-01,14.399999618530272,B
10BA001,1974-06-01,211.0,
10BA001,1974-07-01,379.0,
10BA001,1974-08-01,261.0,
10BA001,1974-09-01,126.0,
10BA001,1974-10-01,83.5,
10BA001,1974-11-01,104.0,
10BA001,1974-12-01,28.899999618530277,B
10BA001,1975-01-01,23.200000762939453,B
10BA001,1975-02-01,18.700000762939453,B
10BA001,1975-03-01,14.699999809265137,B
10BA001,1975-04-01,12.899999618530272,B
10BA001,1975-05-01,15.899999618530272,B
10BA001,1975-06-01,180.0,
10BA001,1975-07-01,402.0,
10BA001,1975-08-01,165.0,
10BA001,1975-09-01,119.0,
10BA001,1975-10-01,90.9000015258789,
