STATION_NUMBER,date,water_level_m,quality_symbol
10CD005,2011-01-01,1.0789999961853027,
10CD005,2011-02-01,1.0579999685287476,
10CD005,2011-05-01,,
10CD005,2011-06-01,1.305999994277954,
10CD005,2011-07-01,1.3309999704360962,
10CD005,2011-08-01,1.2860000133514404,
10CD005,2011-09-01,1.215999960899353,
10CD005,2011-10-01,1.1649999618530271,
10CD005,2011-11-01,1.152999997138977,
10CD005,2012-05-01,,
10CD005,2012-06-01,1.2710000276565552,
10CD005,2012-07-01,1.2319999933242798,
10CD005,2012-08-01,1.1640000343322754,
10CD005,2012-09-01,1.1720000505447388,
10CD005,2012-10-01,1.1369999647140503,
10CD005,2012-11-01,1.2319999933242798,
10CD005,2012-12-01,1.125,
10CD005,2013-01-01,1.0980000495910645,
10CD005,2013-02-01,1.1059999465942385,
10CD005,2013-03-01,1.0720000267028809,
10CD005,2013-05-01,,
10CD005,2013-06-01,1.4600000381469729,
10CD005,2013-07-01,1.434000015258789,
10CD005,2013-08-01,1.2899999618530271,
10CD005,2013-09-01,1.241000056266785,
10CD005,2013-10-01,1.2419999837875366,
10CD005,2013-11-01,1.2450000047683716,
10CD005,2014-04-01,,
10CD005,2014-05-01,1.6670000553131104,
10CD005,2014-06-01,1.3229999542236328,
10CD005,2014-07-01,1.2799999713897705,
10CD005,2014-08-01,1.2400000095367432,
10CD005,2014-09-01,1.1640000343322754,
10CD005,2014-10-01,1.2910000085830688,
10CD005,2014-11-01,1.3070000410079956,
10CD005,2014-12-01,1.190000057220459,
10CD005,2015-04-01,,
10CD005,2015-05-01,1.430999994277954,
10CD005,2015-06-01,1.5199999809265137,
10CD005,2015-07-01,1.6230000257492063,
10CD005,2015-08-01,1.656000018119812,
10CD005,2015-09-01,1.777999997138977,
10CD005,2015-10-01,1.8140000104904173,
10CD005,2015-11-01,1.7929999828338623,
10CD005,2015-12-01,1.6660000085830688,
10CD005,2016-01-01,1.5119999647140503,
10CD005,2016-02-01,1.277999997138977,
10CD005,2016-03-01,1.2419999837875366,
10CD005,2016-04-01,1.3849999904632568,
10CD005,2016-05-01,1.8279999494552608,
10CD005,2016-06-01,2.0850000381469727,
10CD005,2016-07-01,,
10CD005,2016-08-01,0.9039999842643738,
10CD005,2016-09-01,1.7949999570846558,
10CD005,2016-10-01,0.9079999923706056,
10CD005,2016-11-01,0.8980000019073486,
10CD005,2017-04-01,,
10CD005,2017-05-01,1.1670000553131104,
10CD005,2017-06-01,1.0290000438690186,
10CD005,2017-07-01,1.125,
10CD005,2017-08-01,0.9729999899864196,
10CD005,2017-09-01,0.7680000066757202,
10CD005,2017-10-01,0.7639999985694885,
10CD005,2017-11-01,0.8080000281333923,
10CD005,2017-12-01,0.7739999890327454,
10CD005,2018-01-01,1.027999997138977,
10CD005,2018-02-01,,
10CD005,2018-03-01,0.8190000057220459,
10CD005,2018-04-01,0.8190000057220459,
10CD005,2018-05-01,1.4570000171661377,
10CD005,2018-06-01,1.0149999856948853,
10CD005,2018-07-01,1.0549999475479126,
10CD005,2018-08-01,0.7979999780654907,
10CD005,2018-09-01,0.9990000128746032,
10CD005,2018-10-01,0.8029999732971191,
10CD005,2018-11-01,0.8080000281333923,
10CD005,2018-12-01,0.875,
10CD005,2019-02-01,,
10CD005,2019-03-01,0.718999981880188,
10CD005,2019-04-01,1.2100000381469729,
