Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
10CD005,2024-03-26T16:40:00,-8,Stage/Niveau d'eau,1.529,,,,,,,,,GC: 0.000 HG: 4.533 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
10CD005,2024-01-23T16:27:30,-8,Discharge/Débit,,,0.0,,,,,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Light Wind Blowing Cross Stream",100% ice to bed,Ice to bed. No measurement.,,,,-18.0,,Final/Finales,
10CD005,2023-10-17T18:05:00,-8,Stage/Niveau d'eau,0.846,,,,,,,,,GC: 0.000 HG: 0.846 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Final/Finales,
10CD005,2023-10-17T17:43:00,-8,Discharge/Débit,,0.847,0.024,41.0,-0.126,-0.0064,-0.0064,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind Blowing Cross Stream",Some algae growth in creek.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Good measurement. This measurement is slighly lower than the last measurement even with a higher stage value. These measurements were taken in the same location. AFTER REVIEW IN THE OFFICE THIS MMT WAS CONDUCTED 20m DOWNSTREAM OF THE PREVIOUS MMT. Purged o-line at 09:07. Reset stage to 0.847 at 09:11. Mid-section",10.8,1.83,0.013,6.6,3.8,Final/Finales,66.0
10CD005,2023-10-17T17:00:00,-8,Stage/Niveau d'eau,0.847,,,,,,,,,GC: 0.000 HG: 0.844 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
10CD005,2023-09-25T18:25:00,-8,Stage/Niveau d'eau,0.839,,,,,,,,,GC: 0.000 HG: 0.839 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Final/Finales,
10CD005,2023-09-25T18:10:00,-8,Discharge/Débit,,0.839,0.027,41.0,-0.114,0.64839995,0.0461,"Measurement condition : Clear; Smokey , No Precipitation , Calm Wind Blowing Cross Stream",Some algae growth upstream and downstream of the control. The channel is starting to split.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Good measurement. Purged o-line at 09:50. Reset stage to 0.839 at 09:56. Mid-section",3.7,0.645,0.042,5.0,8.1,Final/Finales,12.5
10CD005,2023-09-25T17:45:00,-8,Stage/Niveau d'eau,0.839,,,,,,,,,GC: 0.000 HG: 0.826 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
10CD005,2023-07-31T20:25:00,-8,Stage/Niveau d'eau,1.165,,,,,,,,,GC: 0.000 HG: 1.162 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
10CD005,2023-07-31T19:48:30,-8,Discharge/Débit,,1.163,3.07,41.0,0.0159,0.0167,0.0167,"Measurement condition : Clear; Cloudy , Light Rain , Very Light Wind Blowing Downstream",Nothing out of the ordinary.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Okay measurement. Flow highly concentrated to 1/2 of the river.  Purged o-line at 10:56. Reset stage to 1.161m at 11:01. Mid-section",17.5,6.02,0.511,16.2,14.0,Provisional/Provisoire,7.15
10CD005,2023-07-31T18:55:00,-8,Stage/Niveau d'eau,1.161,,,,,,,,,GC: 0.000 HG: 1.185 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
10CD005,2023-06-08T22:45:00,-8,Stage/Niveau d'eau,0.889,,,,,,,,,GC: 0.000 HG: 0.897 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
10CD005,2023-06-08T22:25:00,-8,Discharge/Débit,,0.891,0.1,41.0,-0.113,-0.0427,-0.0427,"Measurement condition : Clear; Smokey , No Precipitation , Very Light Wind Blowing Upstream",Large gravel island downstream of gauge. Channel is split below the gauge. Could potentially result in a control change. Algae growth upstream and downstream of gauge.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Good measurement. Hard purge at 13:52. O-line was buried. Dug out o-line during purge. Reset stage to 0.894m at 13:56. Reset stage after second cut to 0.889m at 14:47. Mid-section",6.2,1.94,0.051,30.2,16.4,Provisional/Provisoire,6.44
10CD005,2023-06-08T21:50:00,-8,Stage/Niveau d'eau,0.894,,,,,,,,,GC: 0.000 HG: 0.962 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
10CD005,2023-05-06T18:05:00,-8,Stage/Niveau d'eau,1.002,,,,,,,,,GC: 0.000 HG: 1.003 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
10CD005,2023-05-06T17:50:30,-8,Discharge/Débit,,1.002,0.814,41.0,-0.0469,0.0403,0.0403,"Measurement condition : Clear; Smokey , No Precipitation , Calm Wind Swirling/Variable",Some ice on left bank 10m upstream of the gauge. Appears to be in contact with the water.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Good measurement Purged o-line at 09:22. Reset stage to 1.001m at 09:26. Tech working on site caused stage to jump from 09:10-09:20. Reset did not hold. Reset again at 09:32. Reset again at 09:36. Mid-section",9.8,2.67,0.305,11.1,2.6,Provisional/Provisoire,5.08
10CD005,2023-05-06T17:15:00,-8,Stage/Niveau d'eau,1.001,,,,,,,,,GC: 0.000 HG: 1.065 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
10CD005,2022-10-26T21:54:00,-8,Discharge/Débit,,0.757,0.036,41.0,-0.0233,-0.4465,-0.36380002,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind ","soft slush, snow and ice forming throughout channel. Mostly clear under the bridge, where the measurement was taken.","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.75,0.685,0.052,1.2,0.5,Final/Finales,29.6
10CD005,2022-10-26T21:45:00,-8,Stage/Niveau d'eau,0.757,,,,,,,,,GC: 0.000 HG: 0.758 Reset (RS),,,,,,Final/Finales,
10CD005,2022-10-26T21:25:00,-8,Stage/Niveau d'eau,0.757,,,,,,,,,GC: 0.000 HG: 0.771 Found (FD),,,,,,Final/Finales,
10CD005,2022-08-17T19:40:00,-8,Stage/Niveau d'eau,0.848,,,,,,,,,GC: 0.000 HG: 0.848,,,,,,Final/Finales,
10CD005,2022-08-17T19:25:00,-8,Discharge/Débit,,0.848,0.265,41.0,-0.00631,-0.0752,-0.0038,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind Blowing Downstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Dug out anchor at 11:02. Purged o-line at 11:06. Reset stage to 0.848m at 11:11. Mid-section",7.0,2.24,0.119,26.9,11.8,Final/Finales,5.86
10CD005,2022-08-17T18:50:00,-8,Stage/Niveau d'eau,0.848,,,,,,,,,GC: 0.000 HG: 0.873 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
10CD005,2022-06-11T17:40:00,-8,Stage/Niveau d'eau,1.138,,,,,,,,,GC: 0.000 HG: 1.141,,,,,,Final/Finales,
10CD005,2022-06-11T17:19:00,-8,Discharge/Débit,,1.139,1.95,41.0,-0.0508,-0.2326,-0.0057,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Cross Stream",Plotting left on Curve 41.00 possibly due to sedimentation during falling limb... Last measurement also plotted left.,"Good quality FT2 measurement under bridge. Reset HG to 1.140m at 9:08pst. Painting on arrival, purge seems to have solved it. Mid-section",11.0,4.96,0.392,17.3,5.9,Final/Finales,4.4
10CD005,2022-06-11T16:40:00,-8,Stage/Niveau d'eau,1.14,,,,,,,,,GC: 0.000 HG: 1.145 Found (FD),,,,,,Final/Finales,
10CD005,2022-05-14T17:15:00,-8,Stage/Niveau d'eau,1.47,,,,,,,,,GC: 0.000 HG: 1.472,,,,,,Final/Finales,
10CD005,2022-05-14T17:05:00,-8,Stage/Niveau d'eau,1.47,,,,,,,,,GC: 0.000 HG: 1.461 Reset (RS),,,,,,Final/Finales,
10CD005,2022-05-14T16:41:00,-8,Discharge/Débit,,1.469,8.13,41.0,-0.0273,-0.078600004,-0.0001,"Measurement condition : Ice; Mostly Cloudy , No Precipitation , Calm Wind Swirling/Variable",Shelf ice underneath water. Small wood debris floating down the channel.  Large ice chunk in middle of channel 15m downstream of gauge.  Likely backwater.  Likely more ice in channel that we can't see.,Shelf ice underneath water at wade location on river left bank 200m u/s (on mmt. transect) Purged o-line at 08:56. Reset stage to 1.470 at 09:11. Mid-section,25.6,10.2,0.796,13.4,0.3,Final/Finales,6.54
10CD005,2022-05-14T16:35:00,-8,Stage/Niveau d'eau,1.469,,,,,,,,,GC: 0.000 HG: 1.448 Purged  (PU),,,,,,Final/Finales,
10CD005,2022-05-14T16:00:00,-8,Stage/Niveau d'eau,1.469,,,,,,,,,GC: 0.000 HG: 1.448,,,,,,Final/Finales,
10CD005,2022-02-13T16:55:00,-8,Stage/Niveau d'eau,1.082,,,,,,,,,HG: 8.698 SRC: -7.616 No Reset (NR),,,,,,Final/Finales,
10CD005,2022-02-13T16:51:00,-8,Discharge/Débit,,1.082,0.0,,,-1.0,-1.0,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Very Light Wind Blowing Cross Stream","Ice is 0.5m at gauge, and 1.2m upstream of guage",No measurement collected. Found minimal (<1cm) water below ice 25m upstream where there is evidence of past overflow. Maxed out auger length and chiseled through bottom of hole. No water found in 3 holes near orifice,,,,-14.7,0.0,Final/Finales,
10CD005,2021-10-11T23:15:00,-8,Stage/Niveau d'eau,0.79,,,,,,,,,GC: 0.000 HG: 0.699 SRC: 0.091 Reset (RS),,,,,,Final/Finales,
10CD005,2021-10-11T23:03:00,-8,Discharge/Débit,,0.79,0.139,41.0,0.00673,0.12,0.0464,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Downstream",,"UPDATED MMT END TIME FROM 15:12 TO 15:20 AS PER FLOWTRACKER FILE, AND MEAN TIME TO 15:03 AS RESULT. NO CHANGE TO MGH - RV.2021.10.18 FT2 by Jen. Could have been a boot mmt! Purge whistly, anchor found completely buried in sediment and bubbles appearing from 3-4 locations. Lifted anchor out of sediment and tip was not well attached to anchor. Re-attached o-line to anchor, and set as deep was possible with current o-line length. Changed tank after this work at 15:00. Delete 14:30 - 15:00 logger readings. New tank only had 600 psi. Must be a used one that got mixed up. Changed tank again at 15:12. Mid-section",6.5,1.19,0.117,9.2,3.1,Final/Finales,6.79
10CD005,2021-10-11T22:25:00,-8,Stage/Niveau d'eau,0.791,,,,,,,,,GC: 0.000 HG: 0.924 SRC: -0.133 Found (FD),,,,,,Final/Finales,
10CD005,2021-07-22T23:05:00,-8,Stage/Niveau d'eau,0.938,,,,,,,,,GC: 0.000 HG: 0.942 SRC: -0.004,,,,,,Final/Finales,
10CD005,2021-07-22T22:48:00,-8,Discharge/Débit,,0.938,0.706,41.0,-0.000326,-0.0027,-0.0027,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",,UPDATED END TIME FROM 15:00 TO 15:04 AND MEAN TIME FROM 14:46 TO 14:48.  Mid-section,8.9,2.34,0.302,17.6,12.3,Final/Finales,6.23
10CD005,2021-07-22T22:30:00,-8,Stage/Niveau d'eau,0.938,,,,,,,,,GC: 0.000 HG: 0.996 SRC: -0.058 Purged  (PU),,,,,,Final/Finales,
10CD005,2021-06-26T18:35:00,-8,Stage/Niveau d'eau,0.977,,,,,,,,,GC: 0.000 HG: 0.978 SRC: -0.001,,,,,,Final/Finales,
