STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10HC008,H,2006,H,8.0,5,9,7,50,MST,3.723000049591065,,Maximum
10HC008,H,2008,H,8.0,5,5,2,50,MST,3.700000047683716,,Maximum
10HC008,H,2009,H,8.0,5,4,2,45,MST,3.8540000915527344,A,Maximum
10HC008,H,2010,H,8.0,4,22,12,30,MST,3.568000078201294,,Maximum
10HC008,H,2011,H,8.0,5,17,11,30,MST,3.766999959945679, ,Maximum
10HC008,H,2011,L,8.0,1,23,10,35,MST,2.3299999237060547, ,Minimum
10HC008,H,2012,H,8.0,5,5,9,15,MST,3.700999975204468, ,Maximum
10HC008,H,2013,H,8.0,5,18,9,5,MST,3.5920000076293945, ,Maximum
10HC008,H,2020,H,8.0,5,24,7,5,MST,3.526000022888184, ,Maximum
10HC008,H,2020,L,8.0,4,28,5,30,MST,2.3510000705718994, ,Minimum
10HC008,H,2021,H,8.0,5,7,22,40,MST,3.609999895095825, ,Maximum
10HC008,H,2021,L,8.0,8,6,23,45,MST,2.4040000438690186, ,Minimum
10HC008,H,2022,H,8.0,5,4,6,20,MST,3.6459999084472656, ,Maximum
10HC008,H,2022,L,8.0,10,23,17,0,MST,2.2780001163482666, ,Minimum
10HC008,H,2023,H,8.0,6,7,13,5,MST,3.890000104904175, ,Maximum
10HC008,H,2023,L,8.0,4,18,3,40,MST,2.184999942779541, ,Minimum
10HC008,H,2024,H,8.0,3,28,2,0,MST,3.562000036239624, ,Maximum
10HC008,H,2024,L,8.0,1,28,13,50,MST,2.111000061035156, ,Minimum
10HC008,Q,2006,H,,5,9,7,50,MST,189.0,E,Maximum
10HC008,Q,2008,H,,5,12,10,25,MST,168.0,E,Maximum
10HC008,Q,2009,H,,5,10,9,45,MST,110.0,E,Maximum
10HC008,Q,2010,H,,4,30,7,50,MST,81.69999694824219, ,Maximum
10HC008,Q,2011,H,,5,17,11,30,MST,200.0,E,Maximum
10HC008,Q,2012,H,,5,9,9,40,MST,160.0,E,Maximum
10HC008,Q,2013,H,,5,18,9,5,MST,153.0,E,Maximum
10HC008,Q,2013,L,,3,25,1,0,MST,0.7599999904632568,B,Minimum
10HC008,Q,2020,H,,5,24,7,5,MST,138.0, ,Maximum
10HC008,Q,2021,H,,5,8,8,25,MST,151.0, ,Maximum
10HC008,Q,2022,H,,5,14,10,45,MST,140.0, ,Maximum
10HC008,Q,2023,H,,6,7,13,5,MST,249.0, ,Maximum
10HC008,Q,2024,H,,5,5,14,40,MST,56.09999847412109, ,Maximum
