Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
10HC008,AdjustableTrim,HG,2026-01-20T08:30:00,2026-01-22T02:30:00,2026-01-26T17:06:15,-7,DR = suspected TX error.,"LowerThresholdPoints:(Time:2026-01-20T08:30:00Z,Value:2.2601961540989617);(Time:2026-01-22T02:30:00Z,Value:2.2601961540989617),TrimAction:Delete",Normal
10HC008,Drift,HG,2025-07-31T22:30:00,2025-09-14T17:55:00,2025-09-15T16:40:56,-7,"SRC - visit to visit, RESETDrift correction settings:‌Timestamp 1: 2025-07-31 15:30:00, Offset 1: 0‌Timestamp 2: 2025-09-14 10:55:00, Offset 2: 0.005‌","DriftPoints:(Offset:0,Time:2025-07-31T22:30:00Z);(Offset:0.005,Time:2025-09-14T17:55:00Z)",Normal
10HC008,Offset,HG,2025-07-31T22:25:00,2025-07-31T22:25:00,2025-08-05T17:45:33,-7,"SRC - as found after maintenance, before gauge reset.",Offset:1.868,Normal
10HC008,CopyPaste,HG,2025-07-31T22:20:00,2025-09-14T18:00:00,2025-09-15T16:39:34,-7,"OC - C&P FROM LOGGEROverride: Copy & Paste‌Source Data Set: Stage.Logger@10HC008, time shift: 00:00 minutes.‌",,PreProcessing
10HC008,AdjustableTrim,HG,2025-07-31T21:05:00,2025-07-31T22:20:00,2025-08-05T17:44:44,-7,RFT - invalid during station maintenance,"LowerThresholdPoints:(Time:2025-07-31T21:05:00Z,Value:2.234257573612337);(Time:2025-07-31T22:20:00Z,Value:2.234257573612337),TrimAction:Delete",Normal
10HC008,CopyPaste,HG,2025-06-06T18:45:00,2025-07-31T21:25:00,2025-08-05T17:44:18,-7,"RFT - tx gap fillOverride: Copy & Paste‌Source Data Set: Stage.Logger@10HC008, time shift: 00:00 minutes.‌",,PreProcessing
10HC008,DeleteRegion,HG,2025-06-06T18:25:00,2025-06-06T18:40:00,2025-06-09T15:55:02,-7,RFT - DR - invalid. Likely prior to deployment,,Normal
10HC008,SinglePoint,QR,2025-04-08T17:05:00,2025-04-08T17:05:00,2025-08-27T20:19:48,-7,OC = found mmnt value.,Value:0.278,Normal
10HC008,AdjustableTrim,HG,2025-02-03T13:20:00,2025-02-03T14:00:00,2025-02-03T21:55:25,-7,"DR = suspected TX error, check once logger file is used to fill gaps","LowerThresholdPoints:(Time:2025-02-03T13:20:00Z,Value:2.372371217224121);(Time:2025-02-03T14:00:00Z,Value:2.372371217224121),TrimAction:Delete",Normal
10HC008,AdjustableTrim,HG,2025-01-01T08:15:00,2025-01-01T15:30:00,2025-01-02T18:26:41,-7,DR = suspected tx error,"LowerThresholdPoints:(Time:2025-01-01T08:15:00Z,Value:2.2737737239074223);(Time:2025-01-01T15:30:00Z,Value:2.2737737239074223),TrimAction:Delete",Normal
