STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10PB003,H,2000,L,8,5,13,6,50,MST,7.22599983215332, ,Minimum
10PB003,H,2001,H,8,7,13,20,0,MST,9.440999984741213, ,Maximum
10PB003,H,2001,L,8,5,4,10,45,MST,7.159999847412109, ,Minimum
10PB003,H,2002,H,8,9,15,16,45,MST,8.182000160217285, ,Maximum
10PB003,H,2002,L,8,5,26,11,15,MST,7.041999816894531, ,Minimum
10PB003,H,2003,H,8,7,17,1,30,MST,8.112000465393066, ,Maximum
10PB003,H,2003,L,8,5,17,9,30,MST,7.078000068664551, ,Minimum
10PB003,H,2004,H,8,8,4,8,0,MST,8.371999740600586, ,Maximum
10PB003,H,2004,L,8,6,3,8,30,MST,6.953000068664551, ,Minimum
10PB003,H,2005,H,8,7,12,2,45,MST,8.73799991607666,,Maximum
10PB003,H,2005,L,8,5,30,7,30,MST,7.017000198364258,,Minimum
10PB003,H,2006,H,8,7,5,11,50,MST,8.876999855041504,,Maximum
10PB003,H,2006,L,8,4,26,10,0,MST,7.11299991607666,,Minimum
10PB003,H,2007,H,8,8,2,4,15,MST,8.154000282287598,,Maximum
10PB003,H,2007,L,8,5,15,0,15,MST,6.964000225067139,,Minimum
10PB003,H,2008,H,8,10,22,18,35,MST,8.774999618530273,,Maximum
10PB003,H,2008,L,8,5,15,9,25,MST,6.896999835968018,,Minimum
10PB003,H,2009,H,8,7,29,10,45,MST,8.526000022888184,,Maximum
10PB003,H,2009,L,8,6,3,4,15,MST,7.117000102996826,A,Minimum
10PB003,H,2010,H,8,8,3,0,0,MST,8.390999794006348,A,Maximum
10PB003,H,2010,L,8,5,24,8,20,MST,7.070000171661377,,Minimum
10PB003,H,2011,H,8,10,28,11,35,MST,8.10200023651123, ,Maximum
10PB003,H,2011,L,8,5,10,15,10,MST,7.065999984741211, ,Minimum
10PB003,H,2012,H,8,7,1,11,50,MST,8.541000366210938, ,Maximum
10PB003,H,2012,L,8,5,6,9,55,MST,7.177000045776367, ,Minimum
10PB003,H,2013,H,8,7,26,22,30,MST,8.289999961853027, ,Maximum
10PB003,H,2013,L,8,5,20,0,0,MST,6.9079999923706055, ,Minimum
10PB003,H,2014,H,8,8,16,21,10,MST,7.776000022888184, ,Maximum
10PB003,H,2014,L,8,5,14,20,10,MST,6.896999835968018, ,Minimum
10PB003,H,2015,H,8,9,19,10,10,MST,8.204000473022461, ,Maximum
10PB003,H,2015,L,8,5,13,2,0,MST,6.86899995803833, ,Minimum
10PB003,H,2016,H,8,7,5,7,40,MST,8.723999977111816, ,Maximum
10PB003,H,2016,L,8,5,3,17,0,MST,7.151999950408936, ,Minimum
10PB003,H,2017,H,8,7,12,17,15,MST,8.532999992370605, ,Maximum
10PB003,H,2017,L,8,5,6,10,25,MST,7.000999927520752, ,Minimum
10PB003,H,2018,H,8,8,10,9,50,MST,8.465999603271484, ,Maximum
10PB003,H,2018,L,8,5,22,21,30,MST,6.888999938964844, ,Minimum
10PB003,H,2023,H,8,7,9,20,30,MST,7.597000122070312, ,Maximum
10PB003,H,2023,L,8,5,3,23,55,MST,6.84499979019165, ,Minimum
10PB003,H,2024,H,8,7,9,16,40,MST,7.985000133514404, ,Maximum
10PB003,H,2024,L,8,5,7,17,5,MST,6.894000053405762, ,Minimum
