STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
10UH006,H,2007,H,8.0,6,26,14,5,MST,8.755000114440918,,Maximum
10UH006,H,2007,L,8.0,5,27,20,30,MST,7.693999767303467,,Minimum
10UH006,H,2008,H,8.0,6,26,2,45,MST,8.784000396728516,,Maximum
10UH006,H,2010,H,8.0,6,20,18,15,MST,8.680999755859375,,Maximum
10UH006,H,2012,H,8.0,6,17,20,40,MST,8.779000282287598, ,Maximum
10UH006,H,2012,L,8.0,5,19,4,0,MST,7.682000160217285, ,Minimum
10UH006,Q,2007,H,,6,26,14,5,MST,8.630000114440918,E,Maximum
10UH006,Q,2008,H,,6,26,2,45,MST,9.199999809265137,E,Maximum
10UH006,Q,2010,H,,6,20,18,15,MST,7.630000114440918, ,Maximum
10UH006,Q,2012,H,,6,16,16,25,MST,9.22599983215332, ,Maximum
10UH006,Q,2012,L,,12,31,23,55,MST,0.2669999897480011, ,Minimum
