Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
01AK001,2024-04-19T12:35:00,-4,Stage/Niveau d'eau,0.946,,,,,,,,,HG: 0.947 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AK001,2024-04-19T12:20:00,-4,Stage/Niveau d'eau,0.946,,,,,,,,,HG: 0.931 Surge: 0.007  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AK001,2024-02-14T16:20:00,-4,Stage/Niveau d'eau,0.577,,,,,,,,,HG: 0.575 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2024-02-14T16:00:00,-4,Stage/Niveau d'eau,0.579,,,,,,,,,HG: 0.594 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2023-12-07T18:00:00,-4,Stage/Niveau d'eau,0.826,,,,,,,,,HG: 0.828 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2023-12-07T17:57:00,-4,Stage/Niveau d'eau,0.826,,,,,,,,,HG: 0.826 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
01AK001,2023-12-07T17:45:00,-4,Stage/Niveau d'eau,0.825,,,,,,,,,HG: 0.820 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2023-09-20T17:00:00,-4,Stage/Niveau d'eau,1.277,,,,,,,,,HG: 1.279 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2023-09-20T16:23:00,-4,Discharge/Débit,,1.279,24.1,28.01,0.0254,0.048,-0.0084,Measurement condition : Clear; Partly Cloudy  No Precipitation  Very Light Wind ,,HFC Comments: RESTARTED MEASUREMENT BECAUSE WIRE DETACHED FROM METER AND UNSURE HOW MANY PANELS WERE AFFECTED. Mid-section,19.0,19.5,1.24,17.3,16.7,Final/Finales,
01AK001,2023-09-20T14:10:00,-4,Stage/Niveau d'eau,1.287,,,,,,,,,HG: 1.288 Surge: 0.015  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2023-08-17T15:16:00,-4,Discharge/Débit,,0.587,2.53,28.01,-0.00609,-0.0341,-0.0341,Measurement condition : Clear; Partly Cloudy  No Precipitation  Very Light Wind ,,@ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ DELETED ONE SUSPECT PANEL. Mid-section,17.7,9.62,0.263,20.8,22.2,Final/Finales,16.2
01AK001,2023-08-17T14:25:00,-4,Stage/Niveau d'eau,0.587,,,,,,,,,HG: 0.588 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AK001,2023-06-26T13:50:30,-4,Discharge/Débit,,0.575,2.38,28.01,-0.00432,-0.025899999,-0.025899999,Measurement condition : Clear; Cloudy  Moderate Rain  Calm Wind ,,@ Uncertainty: IVE method 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section,18.0,7.75,0.307,12.0,21.8,Final/Finales,14.6
01AK001,2023-06-26T13:20:00,-4,Stage/Niveau d'eau,0.573,,,,,,,,,HG: 0.575 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
