Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
01AL002,CopyPaste,QR,2024-01-01T04:00:00,2024-01-08T03:59:59,2024-01-15T12:18:02,-4,OC - ICEOverride: Freehand‌,,Normal
01AL002,CopyPaste,QR,2023-12-22T04:00:00,2023-12-26T03:59:59,2024-01-15T12:16:32,-4,OC - ICEOverride: Freehand‌,,Normal
01AL002,RevertToRaw,QR,2023-12-11T16:45:00,2023-12-12T04:10:00,2024-01-15T13:57:09,-4,,,Normal
01AL002,CopyPaste,HG,2023-11-22T17:30:00,2023-11-23T00:35:00,2024-01-08T14:16:34,-4,"RFT - Loaded logger data to fill gap.Override: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,Normal
01AL002,CopyPaste,QR,2023-11-21T04:00:00,2023-12-12T03:59:59,2024-01-15T12:05:53,-4,OC - ICEOC - ICEOverride: Freehand‌Override: Freehand‌,,Normal
01AL002,DeleteRegion,HG,2023-10-23T18:35:00,2023-10-23T18:35:00,2023-10-25T17:54:48,-4,REMOVED DIP,,Normal
01AL002,CopyPaste,HG,2023-03-28T21:20:00,2023-03-29T09:35:00,2023-05-09T09:34:44,-4,"COPY & PASTE LOGGER DATA TO FILL MISSING TELEMETRYOverride: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,PreProcessing
01AL002,CopyPaste,HG,2023-03-26T04:30:00,2023-03-26T05:35:00,2023-05-09T09:35:50,-4,"COPY & PASTE LOGGER DATA TO FILL MISSING TELEMETRYOverride: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,PreProcessing
01AL002,AdjustableTrim,HG,2023-03-21T20:35:00,2023-03-21T21:40:00,2023-04-18T16:10:51,-4,,"LowerThresholdPoints:(Time:2023-03-21T20:35:00Z,Value:18.3307366672375);(Time:2023-03-21T21:40:00Z,Value:18.3307366672375),TrimAction:Delete",Normal
01AL002,CopyPaste,HG,2023-03-18T02:30:00,2023-03-18T08:35:00,2024-01-12T11:03:57,-4,"COPY & PASTE LOGGER DATA TO FILL MISSING TELEMETRYOverride: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,PreProcessing
01AL002,AdjustableTrim,HG,2023-01-24T13:35:00,2023-01-26T11:40:00,2023-01-30T22:24:37,-4,SPIKES,"UpperThresholdPoints:(Time:2023-01-24T13:35:00Z,Value:19.384497939719058);(Time:2023-01-24T18:29:56Z,Value:19.41006289499253);(Time:2023-01-24T19:11:45Z,Value:19.522519360725443);(Time:2023-01-24T19:59:20Z,Value:19.714356861093343);(Time:2023-01-25T12:30:22Z,Value:19.206740919854862);(Time:2023-01-25T15:51:06Z,Value:19.525683910377968);(Time:2023-01-26T01:28:16Z,Value:19.157440356667514);(Time:2023-01-26T02:52:26Z,Value:19.388953853937878);(Time:2023-01-26T09:45:17Z,Value:19.13263533910283);(Time:2023-01-26T11:40:00Z,Value:19.17397703504397),TrimAction:Delete",Normal
01AL002,AdjustableTrim,HG,2023-01-17T05:55:00,2023-01-17T08:20:00,2023-02-01T14:11:57,-4,,"UpperThresholdPoints:(Time:2023-01-17T05:55:00Z,Value:19.615540411954758);(Time:2023-01-17T08:20:00Z,Value:19.615540411954758),TrimAction:Delete",Normal
01AL002,Offset,HG,2023-01-15T05:10:00,2023-01-31T14:10:00,2023-06-26T11:52:09,-4,"Based on photos of partial breakup event and significant ice shelf along LB at orifice location, assume either movement occured or ice shelf settled on orifice as WL decreased. A surveyed Ice Edge on Jan 31st may have helped confirm this assumption. ",Offset:-0.041,Normal
01AL002,CopyPaste,QR,2023-01-08T19:15:00,2023-04-10T22:05:00,2023-06-29T11:07:12,-4,BW ESTOverride: Linear‌Q(t) = (-0.043221046490051304)t + 33.39577428397141‌,,Normal
01AL002,CopyPaste,QR,2023-01-05T20:40:00,2023-01-07T14:50:00,2023-06-28T12:42:07,-4,BW ESTOverride: Linear‌Q(t) = (-3.919920134821922)t + 51.10397107056492‌,,Normal
01AL002,CopyPaste,QR,2022-12-25T12:40:00,2022-12-30T19:10:00,2023-06-28T12:29:17,-4,BW ESTOverride: Linear‌Q(t) = (-14.902048440558112)t + 124.90941361002687‌,,Normal
01AL002,CopyPaste,QR,2022-12-22T14:00:00,2022-12-23T22:25:00,2023-06-28T12:07:33,-4,BW ESTOverride: Linear‌Q(t) = (-0.31002405509518827)t + 32.973925462421455‌,,Normal
01AL002,CopyPaste,QR,2022-12-10T19:50:00,2022-12-15T16:10:00,2023-06-28T11:45:17,-4,BW ESTOverride: Linear‌Q(t) = (-10.466404867134505)t + 110.63479985527349‌,,Normal
01AL002,Drift,HG,2022-12-01T19:50:00,2023-01-15T05:05:00,2023-06-26T11:47:55,-4,Carried forward Dec SRC to suspected OM.,"DriftPoints:(Offset:0,Time:2022-12-01T19:50:00Z);(Offset:0,Time:2023-01-15T05:05:00Z)",Normal
01AL002,AdjustableTrim,HG,2022-12-01T19:10:00,2022-12-01T23:45:00,2023-02-06T19:16:40,-4,DATA DROPS,"LowerThresholdPoints:(Time:2022-12-01T19:10:00Z,Value:12.834721262176384);(Time:2022-12-01T23:45:00Z,Value:12.834721262176384),TrimAction:Delete",Normal
01AL002,CopyPaste,HG,2022-12-01T17:35:00,2023-01-31T14:10:00,2023-02-06T19:09:39,-4,"COPY/PASTE DUE TO 1 HR DIFF BETWEEN TELEMETRY AND LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,PreProcessing
01AL002,DeleteRegion,HG,2022-12-01T17:20:00,2022-12-01T18:35:00,2022-12-02T06:49:07,-4,REMOVED DUE TO 1 HR DIFF BETWEEN TELEMETRY AND LOGGER DATA,,Normal
01AL002,CopyPaste,HG,2022-09-15T13:30:00,2022-12-01T17:30:00,2022-12-02T06:46:27,-4,"COPY/PASTE DUE TO 1 HR DIFF BETWEEN TELEMETRY AND LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,Normal
01AL002,Drift,HG,2022-09-15T12:10:00,2022-12-01T19:10:00,2023-06-23T14:46:40,-4,SRC. Used found SRC at 14:30 and not 13:25. Times don't match visit in Dec due to Gap Fills. ,"DriftPoints:(Offset:-0.003,Time:2022-09-15T12:10:00Z);(Offset:-0.002,Time:2022-12-01T19:10:00Z)",Normal
01AL002,CopyPaste,HG,2022-08-18T13:30:00,2022-09-15T13:25:00,2022-09-16T02:19:42,-4,"COPY/PASTE DUE TO 1 HR DIFF BETWEEN TELEMETRY AND LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@01AL002, time shift: 00:00 minutes.‌",,Normal
01AL002,Drift,HG,2022-07-08T12:20:00,2022-09-15T12:05:00,2023-06-23T14:41:22,-4,SRC,"DriftPoints:(Offset:-0.002,Time:2022-07-08T12:20:00Z);(Offset:-0.003,Time:2022-09-15T12:05:00Z)",Normal
01AL002,Drift,HG,2022-06-03T14:15:00,2022-07-08T12:15:00,2023-06-23T14:38:14,-4,SRC,"DriftPoints:(Offset:0,Time:2022-06-03T14:15:00Z);(Offset:-0.002,Time:2022-07-08T12:15:00Z)",Normal
01AL002,DeleteRegion,HG,2022-06-03T14:05:00,2022-06-03T14:10:00,2022-06-03T17:12:12,-4,WORK ON ON EQUIPMENT,,Normal
01AL002,Drift,HG,2022-04-21T18:25:00,2022-06-03T14:10:00,2022-06-06T14:08:40,-4,SRC. LOGGER RESET AT 10:12,"DriftPoints:(Offset:-0.003,Time:2022-04-21T18:25:00Z);(Offset:-0.004,Time:2022-06-03T14:10:00Z)",Normal
