Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
01AL002,2024-05-03T12:50:00,-4,Stage/Niveau d'eau,18.14,,,,,,,,,HG: 18.143 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AL002,2024-05-03T12:15:30,-4,Discharge/Débit,,18.143,29.5,25.0,0.0308,0.1039,-0.012200001,Measurement condition : Clear; Cloudy  No Precipitation  Light Wind Blowing Downstream,Channel and control clear.,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,44.5,85.9,0.343,7.0,10.0,Provisional/Provisoire,4.9
01AL002,2024-03-30T13:15:00,-4,Stage/Niveau d'eau,20.512,,,,,,,,,HG: 20.514 Surge: 0.011  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AL002,2024-03-06T12:25:00,-4,Stage/Niveau d'eau,18.676,,,,,,,,,HG: 18.674 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AL002,2024-03-06T12:07:00,-4,Discharge/Débit,,18.674,80.8,25.0,-0.0547,-0.0739,-0.100600004,Measurement condition : Clear; Cloudy  Light Rain  Light Wind Swirling/Variable,Control appears clear. some ice on edges. Lots of ice pans flowing.COMPLETE ICE JAM DOWNSTREAM APPROX 1Km AND BELOW,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,45.9,118.0,0.687,3.0,1.0,Provisional/Provisoire,3.8
01AL002,2024-02-16T17:40:00,-4,Stage/Niveau d'eau,18.074,,,,,,,,,GC: 0.000 HG: 18.077 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AL002,2024-01-05T13:55:00,-4,Stage/Niveau d'eau,18.022,,,,,,,,,GC: 0.000 HG: 18.020 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AL002,2023-10-13T12:35:00,-4,Stage/Niveau d'eau,18.134,,,,,,,,,HG: 18.135 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
01AL002,2023-10-13T12:09:00,-4,Discharge/Débit,,18.137,29.6,25.0,0.038,0.1296,0.0116,Measurement condition : Clear; Cloudy  Moderate Rain  Very Light Wind Swirling/Variable,Channel and control appear clear. Beaver activity on left bank just below sensor. Beginnings of dam construction in slow water. No backwater from beaver activity yet.,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,49.2,81.7,0.363,12.0,12.0,Provisional/Provisoire,5.3
01AL002,2023-07-21T14:49:00,-4,Discharge/Débit,,18.282,45.9,25.0,0.0467,0.1331,0.00090000004,Measurement condition : Clear; Mostly Cloudy  No Precipitation  Very Light Wind Blowing Cross Stream,Channel and control clear.,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,52.8,94.6,0.485,26.0,20.0,Provisional/Provisoire,7.1
