Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
01AN002,2024-05-02T12:50:00,-4,Stage/Niveau d'eau,10.396,,,,,,,,,GC: 0.000 HG: 10.401 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
01AN002,2024-04-29T19:05:00,-4,Stage/Niveau d'eau,10.462,,,,,,,,,Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
01AN002,2024-04-29T16:18:30,-4,Discharge/Débit,,10.467,12.3,19.01,-0.0175,-0.048499998,-0.048499998,Measurement condition : Clear; Cloudy  No Precipitation  Very Light Wind Blowing Cross Stream,Control appears clear,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Use 11:35 DWL for SRC prior to purge. DWL not observed in correct location at 11:15 ADCP by Moving Boat,32.0,23.5,0.522,15.0,10.1,Provisional/Provisoire,4.2
01AN002,2024-04-29T15:35:00,-4,Stage/Niveau d'eau,10.466,,,,,,,,,HG: 10.477 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
01AN002,2024-03-13T14:50:00,-4,Stage/Niveau d'eau,11.462,,,,,,,,,RFT - Corrected timestamp to 10:50 from 10:55 to match level survey.,,,,,,Provisional/Provisoire,
01AN002,2024-03-13T14:32:30,-4,Discharge/Débit,,11.463,69.4,19.01,0.0272,0.030199999,0.030199999,Measurement condition : Clear; Partly Cloudy  No Precipitation  Light Wind Swirling/Variable,Clear. Occasional ice pan flowing. Ice cover 10 min drive upstream.,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,36.0,54.1,1.28,3.0,1.0,Provisional/Provisoire,4.3
01AN002,2024-02-14T18:40:00,-4,Stage/Niveau d'eau,10.589,,,,,,,,,HG: 10.575 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AN002,2024-02-14T18:10:30,-4,Discharge/Débit,,10.589,7.57,19.01,-0.285,-0.5708,-0.5708,Measurement condition : Ice; Cloudy  No Precipitation  Moderate Wind Blowing Upstream,,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,32.5,18.7,0.404,,,Final/Finales,7.4
01AN002,2023-12-22T16:50:00,-4,Stage/Niveau d'eau,10.758,,,,,,,,,**REVISED TO ZERO SRC DUE TO FLOWING SLUSH. FOLLOWING VISIT CONFIRMS ZERO SRC** GC: 0.000 HG: 10.758 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
01AN002,2023-09-18T15:10:00,-4,Stage/Niveau d'eau,11.698,,,,,,,,,HG: 11.695 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
01AN002,2023-09-18T14:54:30,-4,Discharge/Débit,,11.702,83.5,19.01,-0.0311,-0.0294,-0.0294,Measurement condition : Clear; Cloudy  No Precipitation  Calm Wind ,Control clear. Smoe grass along edges.,@ Uncertainty: QRev Uncertainty Analysis (DS Mueller 2016) 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat,35.0,59.7,1.4,18.0,17.0,Final/Finales,4.1
