Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
01BU009,15.03,Clone of R15.02 based on new low water mmt for 2020,LogarithmicTable,Provisional/Provisoire,(0.0675);
01BU009,15.02,Clone of R15.01 based on new low water mmt for 2017,LogarithmicTable,Final/Finales,(0.0675);
01BU009,15.01,Clone of R15.000 based on curve extension,LogarithmicTable,Final/Finales,(0.0675);
01BU009,15.000,New Base rating based on the clearing of weeds and vegitation from the control and  2012/2013 mmts,LogarithmicTable,Final/Finales,(0.0675);
01BU009,14.000-SC11,,LinearTable,Final/Finales,
01BU009,14.000-SC10,,LinearTable,Final/Finales,
01BU009,14.000,2009 SBS# 7&8 used,LinearTable,Final/Finales,
01BU009,14.000-SC9,,LinearTable,Final/Finales,
01BU009,14.000-SC8,,LinearTable,Final/Finales,
01BU009,14.000-SC7,,LinearTable,Final/Finales,
01BU009,13.000,Same as 12 above 0.295m,LinearTable,Final/Finales,
01BU009,12.000,SAME AS CURVE 11 ABOVE 0.470m,LinearTable,Final/Finales,
01BU009,11.000,SAME AS CURVE 10 ABOVE 0.170M,LinearTable,Final/Finales,
01BU009,10.000,SAME AS CURVE 9 ABOVE 0.178 M,LinearTable,Final/Finales,
01BU009,9.000,SAME AS CURVE 8 ABOVE 0.260 M,LinearTable,Final/Finales,
01BU009,8.000-SC6,,LinearTable,Final/Finales,
01BU009,8.000-SC5,,LinearTable,Final/Finales,
01BU009,8.000,Curve change below 0.50 meters  based on 2002 mm,LinearTable,Final/Finales,
01BU009,7.000,LOW WATER CONTROL CHANGE BASED ON 2001 MM RESULTS,LinearTable,Final/Finales,
01BU009,7.000-SC4,,LinearTable,Final/Finales,
01BU009,6.000,CONTROL CHANGE BELOW 0.63 M BASED ON   LATEST MM'S,LinearTable,Final/Finales,
01BU009,5.000,,LinearTable,Final/Finales,
01BU009,5.000-SC3,,LinearTable,Final/Finales,
01BU009,4.000,,LinearTable,Final/Finales,
01BU009,4.000-SC2,,LinearTable,Final/Finales,
01BU009,3.000,,LinearTable,Final/Finales,
01BU009,3.000-SC1,,LinearTable,Final/Finales,
01BU009,2.000,,LinearTable,Final/Finales,
01BU009,1.000,,LinearTable,Final/Finales,
