STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
01ED007,H,2011,H,8.0,10,23,8.0,0.0,AST,1.6799999475479126,,Maximum
01ED007,H,2011,L,8.0,7,29,23.0,0.0,AST,0.5950000286102295,,Minimum
01ED007,H,2012,H,8.0,1,23,1.0,0.0,AST,1.7699999809265137,,Maximum
01ED007,H,2012,L,8.0,9,4,15.0,0.0,AST,0.527999997138977,,Minimum
01ED007,H,2013,L,8.0,8,28,18.0,1.0,AST,0.6859999895095825,,Minimum
01ED007,H,2014,H,8.0,1,17,7.0,31.0,AST,1.9149999618530276,,Maximum
01ED007,H,2014,L,8.0,9,21,11.0,1.0,AST,0.675000011920929,,Minimum
01ED007,H,2015,H,8.0,4,24,5.0,31.0,AST,1.99399995803833,,Maximum
01ED007,H,2015,L,8.0,8,22,13.0,31.0,AST,0.6190000176429749,,Minimum
01ED007,H,2016,H,8.0,2,9,5.0,31.0,AST,1.4819999933242798,,Maximum
01ED007,H,2016,L,8.0,9,17,19.0,16.0,AST,0.4239999949932098,,Minimum
01ED007,H,2017,H,8.0,5,11,1.0,21.0,AST,1.371000051498413,,Maximum
01ED007,H,2017,L,8.0,8,5,20.0,5.0,AST,0.6240000128746033,,Minimum
01ED007,H,2018,H,8.0,11,7,12.0,31.0,AST,1.662999987602234,,Maximum
01ED007,H,2018,L,8.0,9,25,11.0,56.0,AST,0.5609999895095825,,Minimum
01ED007,H,2019,H,8.0,12,15,16.0,35.0,AST,1.5700000524520874, ,Maximum
01ED007,H,2019,L,8.0,8,29,2.0,0.0,AST,0.5299999713897705, ,Minimum
01ED007,H,2020,H,8.0,12,6,13.0,25.0,AST,1.6929999589920044, ,Maximum
01ED007,H,2020,L,8.0,8,29,16.0,20.0,AST,0.4629999995231629, ,Minimum
01ED007,H,2021,H,8.0,1,1,0.0,5.0,AST,1.3250000476837158, ,Maximum
01ED007,H,2021,L,8.0,7,7,16.0,35.0,AST,0.6380000114440918, ,Minimum
01ED007,H,2022,H,8.0,2,20,22.0,20.0,AST,1.9980000257492063, ,Maximum
01ED007,H,2022,L,8.0,9,18,9.0,30.0,AST,0.5509999990463257, ,Minimum
01ED007,H,2023,H,8.0,1,29,7.0,50.0,AST,1.597000002861023, ,Maximum
01ED007,H,2023,L,8.0,6,2,19.0,45.0,AST,0.6759999990463257, ,Minimum
01ED007,Q,1969,H,,12,29,2.0,0.0,AST,31.700000762939453,,Maximum
01ED007,Q,1970,H,,2,7,10.0,40.0,AST,36.79999923706055,,Maximum
01ED007,Q,1971,H,,4,17,16.0,24.0,AST,53.0,,Maximum
01ED007,Q,1972,H,,5,7,3.0,52.0,AST,68.80000305175781,,Maximum
01ED007,Q,1973,H,,3,20,16.0,0.0,AST,31.100000381469727,,Maximum
01ED007,Q,1975,H,,4,23,4.0,26.0,AST,40.5,,Maximum
01ED007,Q,1976,H,,7,15,15.0,23.0,AST,62.900001525878906,,Maximum
01ED007,Q,1977,H,,4,8,18.0,50.0,AST,46.70000076293945,,Maximum
