Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
01EE005,Drift,HG,2023-08-14T00:46:00,2023-08-14T15:41:00,2023-08-16T14:51:22,-4,RFT: Issue with float contacting well wall. Applied as a Drift correction. ,"DriftPoints:(Offset:-0.13,Time:2023-08-14T00:46:00Z);(Offset:-0.135,Time:2023-08-14T15:41:00Z)",Normal
01EE005,CopyPaste,HG,2023-07-05T02:51:00,2023-07-05T08:56:00,2023-08-16T15:01:23,-4,"RFT - Imported LG1 file and C/P to Stage Working. Override: Copy & Paste‌Source Data Set: Stage.Logger@01EE005, time shift: 00:00 minutes.‌",,PreProcessing
01EE005,DeleteRegion,HG,2023-04-26T06:31:00,2023-04-26T06:31:00,2023-05-08T17:01:29,-4,,,Normal
01EE005,Drift,QR,2023-03-05T06:01:00,2023-03-14T19:01:00,2023-10-19T14:11:20,-4,,"DriftPoints:(Offset:-0.203134366328263,Time:2023-03-05T06:01:00Z);(Offset:-0.1626258289593576,Time:2023-03-08T04:31:00Z);(Offset:-0.10657850331740201,Time:2023-03-11T22:11:00Z);(Offset:-0.0907311215543298,Time:2023-03-12T18:01:00Z);(Offset:-0.042089935393314626,Time:2023-03-13T16:31:00Z);(Offset:0,Time:2023-03-14T19:01:00Z)",Normal
01EE005,DeleteRegion,HG,2023-03-03T09:56:00,2023-03-03T09:56:00,2023-03-07T23:38:33,-4,,,Normal
01EE005,Drift,QR,2023-02-25T19:11:00,2023-03-05T05:56:00,2023-10-19T14:08:52,-4,,"DriftPoints:(Offset:-0.12911110303909878,Time:2023-02-25T19:11:00Z);(Offset:-0.1694647341458047,Time:2023-02-26T07:11:00Z);(Offset:-0.19880394822769532,Time:2023-02-27T12:36:00Z);(Offset:-0.22533525246389097,Time:2023-03-02T00:26:00Z);(Offset:-0.22300274603855638,Time:2023-03-03T04:41:00Z);(Offset:-0.20284539942645793,Time:2023-03-05T05:56:00Z)",Normal
01EE005,Drift,QR,2023-02-20T10:26:00,2023-02-25T19:06:00,2023-10-19T14:02:25,-4,ICE,"DriftPoints:(Offset:-0.26291094017806516,Time:2023-02-20T10:26:00Z);(Offset:-0.10664469468230675,Time:2023-02-20T20:26:00Z);(Offset:0.20197209209561806,Time:2023-02-21T11:01:00Z);(Offset:0.008827128978270093,Time:2023-02-22T12:06:00Z);(Offset:0.045351873415872435,Time:2023-02-23T05:36:00Z);(Offset:-0.02228503528482484,Time:2023-02-23T17:01:00Z);(Offset:-0.04920336881275822,Time:2023-02-24T11:16:00Z);(Offset:-0.1284247375416886,Time:2023-02-25T19:06:00Z)",Normal
01EE005,Drift,QR,2023-02-10T12:01:00,2023-02-20T10:21:00,2023-10-19T14:00:19,-4,,"DriftPoints:(Offset:-0.5973884067713181,Time:2023-02-10T12:01:00Z);(Offset:-0.4190695478619152,Time:2023-02-11T15:41:00Z);(Offset:-0.4382737125613968,Time:2023-02-12T12:16:00Z);(Offset:-0.5015057123533522,Time:2023-02-15T11:51:00Z);(Offset:-0.4680944809807582,Time:2023-02-16T13:21:00Z);(Offset:-0.406135194147036,Time:2023-02-17T10:11:00Z);(Offset:-0.2607034876715675,Time:2023-02-18T10:01:00Z);(Offset:-0.2617145988605949,Time:2023-02-20T10:21:00Z)",Normal
01EE005,Drift,QR,2023-01-31T10:06:00,2023-02-10T11:56:00,2023-10-19T13:57:58,-4,ICE,"DriftPoints:(Offset:0,Time:2023-01-31T10:06:00Z);(Offset:-0.2199840368508198,Time:2023-02-01T10:11:00Z);(Offset:-0.36189408936001455,Time:2023-02-02T10:16:00Z);(Offset:-0.5556914690051189,Time:2023-02-04T09:41:00Z);(Offset:-0.5823960701198956,Time:2023-02-04T18:01:00Z);(Offset:-0.5591139337743743,Time:2023-02-06T05:31:00Z);(Offset:-0.597334734317762,Time:2023-02-10T11:56:00Z)",Normal
01EE005,CopyPaste,QR,2023-01-31T10:06:00,2023-03-14T19:01:00,2023-10-19T13:56:38,-4,Override: Linear‌Q(t) = (-0.01972340379327364)t + 1.0619153382121167‌,,Normal
01EE005,Offset,HG,2023-01-18T14:26:00,2023-01-24T08:06:00,2023-01-31T16:14:45,-4,,Offset:0.011,Normal
01EE005,CopyPaste,QR,2023-01-15T22:36:00,2023-01-18T14:26:00,2023-10-19T13:50:00,-4,Override: Linear‌Q(t) = (-0.11636997582187146)t + 2.5195753194728496‌,,Normal
01EE005,Drift,QR,2023-01-15T22:36:00,2023-01-18T14:26:00,2023-10-19T13:50:32,-4,,"DriftPoints:(Offset:0,Time:2023-01-15T22:36:00Z);(Offset:0.146162587232455,Time:2023-01-16T12:46:00Z);(Offset:0.2678935186008071,Time:2023-01-16T19:26:00Z);(Offset:0.3921206659079459,Time:2023-01-16T23:06:00Z);(Offset:0.48140384346724474,Time:2023-01-17T07:46:00Z);(Offset:0.2739984150910244,Time:2023-01-17T16:36:00Z);(Offset:0.054539689863048135,Time:2023-01-18T05:21:00Z);(Offset:0,Time:2023-01-18T14:26:00Z)",Normal
01EE005,Drift,HG,2022-10-26T18:36:00,2023-01-26T13:31:00,2023-01-31T16:16:20,-4,,"DriftPoints:(Offset:0,Time:2022-10-26T18:36:00Z);(Offset:0.009,Time:2023-01-26T13:31:00Z)",Normal
01EE005,Drift,HG,2022-06-23T18:10:00,2022-09-07T18:05:00,2022-09-08T12:29:39,-4,SRC. LOGGE WAS RESET,"DriftPoints:(Offset:0,Time:2022-06-23T18:10:00Z);(Offset:-0.009,Time:2022-09-07T18:05:00Z)",Normal
01EE005,AdjustableTrim,HG,2022-05-17T14:51:00,2022-05-17T17:06:00,2022-06-28T19:59:22,-4,SUSPECT VALUES,"LowerThresholdPoints:(Time:2022-05-17T14:51:00Z,Value:0.9343454228387644);(Time:2022-05-17T17:06:00Z,Value:0.9343454228387644),TrimAction:Delete",Normal
01EE005,Drift,QR,2022-03-12T15:46:00,2022-03-19T06:31:00,2023-10-19T15:20:09,-4,,"DriftPoints:(Offset:0.22562151123064655,Time:2022-03-12T15:46:00Z);(Offset:0.2480430697685334,Time:2022-03-12T20:16:00Z);(Offset:1.3992142789794877,Time:2022-03-13T11:01:00Z);(Offset:0.8061841253273323,Time:2022-03-14T09:46:00Z);(Offset:0.7262844590325688,Time:2022-03-15T06:51:00Z);(Offset:0.18104729133977593,Time:2022-03-17T05:36:00Z);(Offset:0.042381612496332655,Time:2022-03-18T12:11:00Z);(Offset:0,Time:2022-03-19T06:31:00Z)",Normal
01EE005,Drift,QR,2022-03-07T04:46:00,2022-03-12T15:41:00,2023-10-19T15:06:11,-4,ICE,"DriftPoints:(Offset:-0.06203080176195086,Time:2022-03-07T04:46:00Z);(Offset:0.09475605099973294,Time:2022-03-08T05:11:00Z);(Offset:0.3898159984597084,Time:2022-03-08T15:06:00Z);(Offset:0.7198177717360349,Time:2022-03-08T22:36:00Z);(Offset:0.6424156360834308,Time:2022-03-09T11:26:00Z);(Offset:0.5379752714073156,Time:2022-03-10T00:26:00Z);(Offset:0.3027075219671963,Time:2022-03-11T14:46:00Z);(Offset:0.2247777384614138,Time:2022-03-12T15:41:00Z)",Normal
01EE005,CopyPaste,QR,2022-03-07T04:46:00,2022-03-19T06:31:00,2023-10-19T15:05:47,-4,Override: Linear‌Q(t) = (0.03196443682670703)t + 0.4299124466779104‌,,Normal
01EE005,Drift,QR,2022-02-20T14:11:00,2022-03-07T04:41:00,2023-10-19T15:03:20,-4,,"DriftPoints:(Offset:-0.31750962523765747,Time:2022-02-20T14:11:00Z);(Offset:-1.2551825652384234,Time:2022-02-21T06:46:00Z);(Offset:-1.448603520830488,Time:2022-02-21T14:21:00Z);(Offset:-1.6561493428980743,Time:2022-02-23T04:56:00Z);(Offset:-1.3850097927667449,Time:2022-02-25T09:41:00Z);(Offset:-0.7253740687586018,Time:2022-03-03T15:41:00Z);(Offset:-0.06223736491832266,Time:2022-03-07T04:41:00Z)",Normal
01EE005,CopyPaste,QR,2022-02-20T14:11:00,2022-03-07T04:41:00,2023-10-19T15:02:56,-4,Override: Linear‌Q(t) = (-0.20132500974635836)t + 3.370096443182019‌,,Normal
