Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
01FA001,Offset,HG,2023-10-18T14:35:00,10000-01-01T00:00:00,2023-10-27T11:22:07,-4,RFT - Carried forward SRC (no Logger reset).,Offset:-0.008,Normal
01FA001,Drift,HG,2023-09-26T15:45:00,2023-10-18T14:30:00,2023-10-27T11:21:33,-4,SRC,"DriftPoints:(Offset:0,Time:2023-09-26T15:45:00Z);(Offset:-0.008,Time:2023-10-18T14:30:00Z)",Normal
01FA001,Drift,HG,2023-07-17T18:30:00,2023-09-26T15:25:00,2023-09-27T12:10:22,-4,SRC,"DriftPoints:(Offset:0,Time:2023-07-17T18:30:00Z);(Offset:-0.013,Time:2023-09-26T15:25:00Z)",Normal
01FA001,AdjustableTrim,HG,2023-07-17T16:55:00,2023-07-17T20:10:00,2023-07-24T17:15:19,-4,,"UpperThresholdPoints:(Time:2023-07-17T16:55:00Z,Value:0.9813394014194661);(Time:2023-07-17T20:10:00Z,Value:0.9813394014194661),TrimAction:Delete",Normal
01FA001,Drift,HG,2023-06-27T19:30:00,2023-07-17T18:10:00,2023-07-24T17:16:32,-4,SRC-Drift,"DriftPoints:(Offset:0,Time:2023-06-27T19:30:00Z);(Offset:-0.023,Time:2023-07-17T18:10:00Z)",Normal
01FA001,Drift,HG,2023-04-06T15:20:00,2023-06-27T19:30:00,2023-06-28T16:38:42,-4,SRC-Drift,"DriftPoints:(Offset:0,Time:2023-04-06T15:20:00Z);(Offset:0.009,Time:2023-06-27T19:30:00Z)",Normal
01FA001,AdjustableTrim,HG,2023-04-06T14:45:00,2023-04-06T15:30:00,2023-04-14T13:20:42,-4,,"UpperThresholdPoints:(Time:2023-04-06T14:45:00Z,Value:1.0724507018945006);(Time:2023-04-06T15:30:00Z,Value:1.0724507018945006),TrimAction:Delete",Normal
01FA001,AdjustableTrim,HG,2023-04-06T14:35:00,2023-04-06T16:10:00,2023-04-14T13:13:27,-4,,"UpperThresholdPoints:(Time:2023-04-06T14:35:00Z,Value:1.0984869314616508);(Time:2023-04-06T16:10:00Z,Value:1.0984869314616508),TrimAction:Delete",Normal
01FA001,Drift,HG,2023-03-15T14:05:00,2023-04-06T14:55:00,2023-04-14T13:19:56,-4,SRC-Drift.  Logger reset,"DriftPoints:(Offset:-0.018,Time:2023-03-15T14:05:00Z);(Offset:-0.02,Time:2023-04-06T14:55:00Z)",Normal
01FA001,Drift,HG,2023-01-17T21:15:00,2023-03-15T14:00:00,2023-04-14T13:16:04,-4,SRC-Drift applied.  Logger not reset,"DriftPoints:(Offset:-0.02,Time:2023-01-17T21:15:00Z);(Offset:-0.018,Time:2023-03-15T14:00:00Z)",Normal
01FA001,Drift,HG,2022-10-06T13:05:00,2023-01-17T21:10:00,2023-01-23T15:40:25,-4,SRC-Drift of -0.015,"DriftPoints:(Offset:0,Time:2022-10-06T13:05:00Z);(Offset:-0.02,Time:2023-01-17T21:10:00Z)",Normal
01FA001,Offset,HG,2022-10-06T12:05:00,2022-10-06T13:00:00,2022-10-13T11:51:51,-4,SRC - TAPE SLIPPAGE,Offset:-0.126,Normal
01FA001,CopyPaste,HG,2022-09-24T03:20:00,2022-09-24T06:15:00,2023-09-20T14:40:07,-4,"Unrealistic rise in Ops sensor. Compared with Innovation sensor and override data with OTT PLS. Override: Copy & Paste‌Source Data Set: Stage.Working3 (Innovation– OTT PLS with 2' pipe static tube)@01FAX01, time shift: 00:00 minutes.‌",,Normal
01FA001,DeleteRegion,HG,2022-09-22T10:10:00,2022-09-22T10:10:00,2022-09-24T03:45:02,-4,REMOVED SPIKE,,Normal
01FA001,Drift,HG,2022-09-19T17:00:00,2022-10-06T12:00:00,2023-03-08T14:50:44,-4,SRC: DRIFT CORRECTION APPLIED BACK TO PREVIOUS VISIT. ,"DriftPoints:(Offset:0,Time:2022-09-19T17:00:00Z);(Offset:-0.015,Time:2022-10-06T12:00:00Z)",Normal
01FA001,CopyPaste,HG,2022-08-23T23:30:00,2022-08-24T01:55:00,2022-11-22T19:05:18,-4,"COPY / PASTEOverride: Copy & Paste‌Source Data Set: Stage.Logger@01FA001, time shift: 00:00 minutes.‌",,PreProcessing
01FA001,CopyPaste,HG,2022-08-13T05:05:00,2022-08-13T08:55:00,2022-11-22T19:02:43,-4,"COPY / PASTEOverride: Copy & Paste‌Source Data Set: Stage.Logger@01FA001, time shift: 00:00 minutes.‌",,PreProcessing
01FA001,Drift,HG,2022-07-18T17:50:00,2022-09-19T16:55:00,2022-09-24T03:43:50,-4,SRC - LOGGER RESET,"DriftPoints:(Offset:-0.11,Time:2022-07-18T17:50:00Z);(Offset:-0.112,Time:2022-09-19T16:55:00Z)",Normal
01FA001,DeleteRegion,HG,2022-06-08T21:20:00,2022-06-08T21:20:00,2022-06-21T13:05:24,-4,DATA SPIKE REMOVED,,Normal
01FA001,CopyPaste,HG,2022-04-04T08:30:00,2022-04-04T20:45:00,2022-11-22T18:38:28,-4,"COPY / PASTEOverride: Copy & Paste‌Source Data Set: Stage.Logger@01FA001, time shift: 00:00 minutes.‌",,Normal
01FA001,CopyPaste,HG,2022-03-21T21:15:00,2022-03-21T22:50:00,2022-11-22T18:36:46,-4,"COPY / PASTEOverride: Copy & Paste‌Source Data Set: Stage.Logger@01FA001, time shift: 00:00 minutes.‌",,Normal
01FA001,Drift,HG,2022-03-08T13:40:00,2022-07-06T16:50:00,2023-03-08T14:56:18,-4,SC: CORRECTION APPLIED FOR DRIFT,"DriftPoints:(Offset:0,Time:2022-03-08T13:40:00Z);(Offset:-0.004,Time:2022-05-06T12:50:00Z);(Offset:0,Time:2022-07-06T16:50:00Z)",Normal
01FA001,CopyPaste,QR,2022-03-08T04:55:00,2022-03-13T02:35:00,2023-09-20T17:48:16,-4,BACKWATER,,Normal
01FA001,CopyPaste,QR,2022-02-24T21:00:00,2022-03-08T17:10:00,2023-09-20T17:50:08,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-02-14T12:05:00,2022-02-18T01:10:00,2023-09-20T17:42:57,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-02-06T04:05:00,2022-02-08T21:00:00,2023-09-20T17:40:45,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-01-31T17:05:00,2022-02-05T00:00:00,2023-09-20T17:38:08,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-01-27T16:00:00,2022-01-29T18:00:00,2023-09-20T17:54:40,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-01-21T02:00:00,2022-01-30T12:25:00,2023-09-20T17:35:01,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-01-11T22:05:00,2022-01-12T21:20:00,2023-09-20T17:26:35,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-01-08T04:10:00,2022-01-09T14:55:00,2023-09-20T17:31:41,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,CopyPaste,QR,2022-01-05T03:05:00,2022-01-06T12:50:00,2023-09-20T17:20:06,-4,BACKWATEROverride: Freehand‌,,Normal
01FA001,DeleteRegion,HG,2021-07-22T13:55:00,2021-07-22T14:15:00,2021-12-21T13:25:24,-4,DATA SPIKES REMOVED,,Normal
01FA001,Drift,HG,2021-06-07T17:05:00,2021-10-26T12:15:00,2021-12-21T13:43:24,-4,SC: Corrected to ISWL. Lag between ISWL and OSWL. ,"DriftPoints:(Offset:0,Time:2021-06-07T17:05:00Z);(Offset:0.007,Time:2021-06-29T15:25:00Z);(Offset:0.009,Time:2021-07-22T13:45:00Z);(Offset:0.006,Time:2021-08-26T15:45:00Z);(Offset:0.005,Time:2021-09-24T13:35:00Z);(Offset:0,Time:2021-10-26T12:15:00Z)",Normal
01FA001,DeleteRegion,HG,2021-04-28T13:40:00,2021-04-28T14:30:00,2021-05-21T14:12:45,-4,PERIOD REMOVED. SDI TEMPORARLY UNPLUGGED. ,,Normal
01FA001,Drift,HG,2021-03-31T18:50:00,2021-06-07T17:10:00,2021-12-21T13:35:06,-4,SC: Drift from sensor. Lag between ISWL and OSWL. Used ISWL. ,"DriftPoints:(Offset:0,Time:2021-03-31T18:50:00Z);(Offset:-0.024,Time:2021-04-05T11:30:00Z);(Offset:-0.013,Time:2021-04-06T12:10:00Z);(Offset:-0.004,Time:2021-04-28T13:05:00Z);(Offset:0,Time:2021-06-07T17:10:00Z)",Normal
01FA001,CopyPaste,QR,2021-03-14T07:25:00,2021-03-22T00:15:00,2022-02-10T14:05:38,-4,Override: Log Linear‌Q(t) = 7.696287561176345e^(-0.01100331514865857t)‌,,Normal
01FA001,DeleteRegion,HG,2021-03-10T20:45:00,2021-03-10T21:30:00,2021-12-21T13:23:53,-4,DATA SPIKES REMOVED,,Normal
01FA001,CopyPaste,QR,2021-03-05T05:50:00,2021-03-10T18:10:00,2022-02-10T13:54:47,-4,BACKWATEROverride: Log Linear‌Q(t) = 4.346332003410251e^(-0.13713218773368105t)‌,,Normal
01FA001,CopyPaste,QR,2021-02-28T05:25:00,2021-03-05T14:50:00,2022-02-10T14:00:13,-4,BACKWATEROverride: Log Linear‌Q(t) = 3.8514689619816678e^(-0.020068460013464358t)‌,,Normal
01FA001,CopyPaste,QR,2021-02-26T03:10:00,2021-02-28T06:10:00,2022-02-10T13:48:55,-4,BACKWATEROverride: Log Linear‌Q(t) = 7.246442237472037e^(-0.23533417813326488t)‌,,Normal
01FA001,CopyPaste,QR,2021-02-23T09:20:00,2021-02-24T04:40:00,2022-02-10T13:46:54,-4,BACKWATEROverride: Log Linear‌Q(t) = 1.286623004159284e^(2.380807486375267t)‌,,Normal
01FA001,CopyPaste,QR,2021-02-08T17:20:00,2021-02-23T09:55:00,2022-02-10T13:34:35,-4,BACKWATEROverride: Log Linear‌Q(t) = 9.622057759055513e^(-0.07600709118008328t)‌,,Normal
