Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
01FB003,20.01,Rating 20.00 extended,LogarithmicTable,Provisional/Provisoire,(1.4557:0.46);(0.51);
01FB003,20.0,New curve based on 2018 MM.,LogarithmicTable,Final/Finales,(1.4557:0.46);(0.51);
01FB003,19.0,New Curve based on 2014 MM,LogarithmicTable,Final/Finales,(0.42);
01FB003,18.0,New Curve based on 2012 MM,LogarithmicTable,Final/Finales,(0.42);
01FB003,17.0,Change between .700 - 1.800 m. Extended high end.,LinearTable,Final/Finales,
01FB003,16.0,Change at low end between .500 - 1.150M.,LinearTable,Final/Finales,
01FB003,15.0,No change to curve 15 based on 2008 MM.,LinearTable,Final/Finales,
01FB003,14.0,No change to curve # 14 based on 2006 MM.,LinearTable,Final/Finales,
01FB003,13.0,,LinearTable,Final/Finales,
01FB003,12.0,,LinearTable,Final/Finales,
01FB003,11.0,,LinearTable,Final/Finales,
01FB003,10.0,,LinearTable,Final/Finales,
01FB003,9.0,,LinearTable,Final/Finales,
01FB003,8.0,,LinearTable,Final/Finales,
01FB003,7.0,,LinearTable,Final/Finales,
01FB003,6.0,,LinearTable,Final/Finales,
