STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
01FB003,H,2011,H,8.0,4,29,18,33,AST,1.756999969482422,,Maximum
01FB003,H,2011,L,8.0,9,15,1,53,AST,0.7749999761581421,,Minimum
01FB003,H,2012,H,8.0,12,22,17,30,AST,2.000999927520752,,Maximum
01FB003,H,2012,L,8.0,9,5,5,45,AST,0.6230000257492065,,Minimum
01FB003,H,2013,H,8.0,4,27,3,15,AST,1.6950000524520874,,Maximum
01FB003,H,2013,L,8.0,8,29,16,30,AST,0.7279999852180481,,Minimum
01FB003,H,2014,H,8.0,4,16,15,15,AST,1.901000022888184,,Maximum
01FB003,H,2014,L,8.0,9,21,3,45,AST,0.7129999995231628,,Minimum
01FB003,H,2015,H,8.0,5,13,2,0,AST,1.746999979019165,,Maximum
01FB003,H,2015,L,8.0,9,30,5,15,AST,0.8450000286102295,,Minimum
01FB003,H,2016,H,8.0,10,10,16,30,AST,1.72599995136261,,Maximum
01FB003,H,2016,L,8.0,9,22,15,30,AST,0.7129999995231628,,Minimum
01FB003,H,2017,H,8.0,5,8,10,30,AST,1.955999970436096,,Maximum
01FB003,H,2017,L,8.0,8,31,4,0,AST,0.7110000252723694,,Minimum
01FB003,H,2018,H,8.0,4,29,15,45,AST,1.8860000371932983,,Maximum
01FB003,H,2018,L,8.0,9,24,15,20,AST,0.7269999980926514,,Minimum
01FB003,H,2019,H,8.0,4,24,1,30,AST,1.815999984741211, ,Maximum
01FB003,H,2019,L,8.0,8,26,22,20,AST,0.7870000004768372, ,Minimum
01FB003,H,2020,H,8.0,5,2,11,55,AST,1.8029999732971191, ,Maximum
01FB003,H,2020,L,8.0,9,22,17,15,AST,0.6439999938011169, ,Minimum
01FB003,H,2021,H,8.0,11,23,17,25,AST,2.059000015258789, ,Maximum
01FB003,H,2021,L,8.0,9,17,3,45,AST,0.640999972820282, ,Minimum
01FB003,H,2022,H,8.0,12,24,8,55,AST,1.8650000095367432, ,Maximum
01FB003,H,2022,L,8.0,9,20,8,30,AST,0.6240000128746033, ,Minimum
01FB003,H,2023,H,8.0,11,28,5,0,AST,1.919999957084656, ,Maximum
01FB003,H,2023,L,8.0,7,11,23,5,AST,0.8330000042915344, ,Minimum
01FB003,H,2024,H,8.0,3,29,22,55,AST,1.9210000038146973, ,Maximum
01FB003,H,2024,L,8.0,9,7,9,0,AST,0.6150000095367432, ,Minimum
01FB003,Q,1967,H,,11,24,8,30,AST,55.20000076293945,,Maximum
01FB003,Q,1968,H,,12,16,9,30,AST,45.29999923706055,,Maximum
01FB003,Q,1969,H,,12,28,20,46,AST,43.59999847412109,,Maximum
01FB003,Q,1970,H,,10,17,12,44,AST,37.70000076293945,,Maximum
01FB003,Q,1971,H,,11,21,14,32,AST,47.29999923706055,,Maximum
01FB003,Q,1972,H,,5,17,12,57,AST,55.79999923706055,,Maximum
01FB003,Q,1973,H,,5,5,15,45,AST,37.900001525878906,,Maximum
01FB003,Q,1974,H,,12,3,11,43,AST,48.09999847412109,,Maximum
01FB003,Q,1975,H,,12,11,17,50,AST,51.79999923706055,,Maximum
01FB003,Q,1976,H,,2,22,17,49,AST,40.5,,Maximum
01FB003,Q,1977,H,,12,26,21,58,AST,41.59999847412109,,Maximum
01FB003,Q,1978,H,,1,26,20,0,AST,46.70000076293945,,Maximum
01FB003,Q,1979,H,,3,15,15,56,AST,40.0,,Maximum
01FB003,Q,1980,H,,12,4,11,12,AST,61.29999923706055,,Maximum
01FB003,Q,1981,H,,12,6,16,54,AST,51.29999923706055,,Maximum
01FB003,Q,1982,H,,4,29,11,20,AST,65.30000305175781,,Maximum
01FB003,Q,1983,H,,11,17,10,26,AST,54.400001525878906,,Maximum
01FB003,Q,1984,H,,2,5,23,40,AST,34.400001525878906,,Maximum
01FB003,Q,1985,H,,5,4,10,38,AST,42.09999847412109,,Maximum
01FB003,Q,1986,H,,1,28,13,55,AST,63.09999847412109,E,Maximum
01FB003,Q,1987,H,,4,29,20,12,AST,41.09999847412109,,Maximum
01FB003,Q,1988,H,,11,29,5,15,AST,60.5,,Maximum
01FB003,Q,1989,H,,4,7,16,32,AST,44.79999923706055,,Maximum
01FB003,Q,1990,H,,12,16,22,57,AST,68.0,,Maximum
01FB003,Q,1991,H,,1,1,0,30,AST,42.900001525878906,,Maximum
01FB003,Q,1992,H,,1,6,15,10,AST,42.70000076293945,,Maximum
01FB003,Q,1993,H,,8,5,11,28,AST,43.400001525878906,,Maximum
01FB003,Q,1994,H,,4,7,19,44,AST,49.59999847412109,,Maximum
01FB003,Q,1995,H,,1,18,1,42,AST,33.20000076293945,,Maximum
01FB003,Q,1996,H,,12,9,21,0,AST,37.59999847412109,,Maximum
01FB003,Q,1997,H,,5,6,6,15,AST,33.5,,Maximum
01FB003,Q,1998,H,,2,25,22,0,AST,42.79999923706055,,Maximum
01FB003,Q,1999,H,,3,16,12,0,AST,46.400001525878906, ,Maximum
01FB003,Q,2000,H,,1,27,17,0,AST,29.100000381469727, ,Maximum
