Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
01FG001,2024-05-02T11:44:30,-4,Discharge/Débit,,1.839,0.311,11.01,-0.189,-0.3787,-0.046,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",Section control.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",5.2,0.87,0.357,5.0,7.2,Provisional/Provisoire,5.82
01FG001,2024-05-02T11:35:00,-4,Stage/Niveau d'eau,1.839,,,,,,,,,GC: 0.000 HG: 1.847 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2024-03-04T18:13:30,-4,Discharge/Débit,,2.182,2.82,11.01,-0.188,-0.17040001,-0.00059999997,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind ",Minor left bank overflow at control - possible deviation from curve.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.1,3.2,0.881,4.0,3.5,Provisional/Provisoire,3.34
01FG001,2024-03-04T18:05:00,-4,Stage/Niveau d'eau,2.184,,,,,,,,,HG: 2.178 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2024-02-02T13:25:00,-4,Stage/Niveau d'eau,1.89,,,,,,,,,HG: 1.895 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2024-02-02T13:23:30,-4,Discharge/Débit,,1.89,0.297,11.01,-0.248,-0.62049997,-0.4718,"Measurement condition : Ice; Cloudy , No Precipitation , Calm Wind ",Complete surface ice cover over channel reach. Control open.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Surface ice cover over the orifice. Mid-section",4.9,0.963,0.308,,0.3,Provisional/Provisoire,9.04
01FG001,2023-11-27T18:42:00,-4,Discharge/Débit,,1.906,0.748,11.01,-0.17,-0.1579,0.0041,"Measurement condition : Clear; Cloudy , No Precipitation , Heavy Wind ",No ice,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",7.2,4.65,0.161,4.0,,Provisional/Provisoire,9.51
01FG001,2023-11-27T18:05:00,-4,Stage/Niveau d'eau,1.906,,,,,,,,,HG: 1.911 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-09-21T12:31:30,-4,Discharge/Débit,,1.959,0.999,11.01,-0.185,-0.2151,0.0128999995,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Blowing Cross Stream",Section control,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",8.1,4.14,0.241,12.0,,Provisional/Provisoire,3.84
01FG001,2023-09-21T11:52:00,-4,Stage/Niveau d'eau,1.958,,,,,,,,,HG: 1.950 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-09-13T20:58:00,-4,Stage/Niveau d'eau,1.846,,,,,,,,,HG: 1.844 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-09-11T17:58:00,-4,Stage/Niveau d'eau,1.838,,,,,,,,,HG: 1.842 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-09-11T16:32:00,-4,Discharge/Débit,,1.838,0.285,11.01,-0.197,-0.42520002,-0.0066000004,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ","Section control. Control consists of small cobbles/pebbles; possible shift may have occurred during an event, since last visit. Not confirmed, but a possibility. ","Two discharge mmts completed. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.9,3.97,0.072,19.0,16.6,Provisional/Provisoire,5.84
01FG001,2023-09-11T15:30:00,-4,Stage/Niveau d'eau,1.836,,,,,,,,,HG: 1.841 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-07-14T13:42:00,-4,Discharge/Débit,,2.033,1.26,11.01,-0.219,-0.3198,0.00090000004,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",Control appears to have widened on the right side. Bed material: cobbles. Possible shift.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.2,2.41,0.522,19.0,14.6,Provisional/Provisoire,5.39
01FG001,2023-07-14T12:45:00,-4,Stage/Niveau d'eau,2.038,,,,,,,,,HG: 2.036 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-05-19T13:00:00,-4,Stage/Niveau d'eau,1.761,,,,,,,,,HG: 1.763 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-05-19T12:40:00,-4,Discharge/Débit,,1.763,0.226,11.01,-0.133,0.0436,0.0436,"Measurement condition : Clear; Clear , No Precipitation , Moderate Wind ",Possible control change. Flow appears to be diverted more to the right side of the control.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.0,1.02,0.222,12.0,6.9,Provisional/Provisoire,6.47
01FG001,2023-03-15T15:53:00,-4,Stage/Niveau d'eau,1.773,,,,,,,,,HG: 1.774 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-03-15T15:23:00,-4,Discharge/Débit,,1.774,0.238,11.01,-0.141,-0.0427,-0.0427,"Measurement condition : Clear; Cloudy , Light Rain , Moderate Wind ",Slush over channel reach from gauging pool to control. Control clear of ice and slush. Probality of backwater due to slush over channel. xHeavy snow the night before.,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Measurement section: snow along right edge; ice shelf along left edge. Slush over gauging pool Mid-section",3.0,0.579,0.412,1.0,0.4,Provisional/Provisoire,5.84
01FG001,2023-03-13T15:18:00,-4,Stage/Niveau d'eau,1.765,,,,,,,,,HG: 1.767 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-02-03T13:32:00,-4,Stage/Niveau d'eau,1.856,,,,,,,,,HG: 1.858 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  DWL,,,,,,Provisional/Provisoire,
01FG001,2023-02-03T13:19:30,-4,Discharge/Débit,,1.858,0.568,11.01,-0.161,-0.0475,-0.0475,"Measurement condition : Ice; Cloudy , Flurries , Calm Wind ",Ice cover from ~5 m U/S of the gauging pool down to control. Ice up to begining of control. Flow over control shallow. Assumed velocities are slower due to ice cover and ice reach up to the control. Flow diverted out to sides at control.,"One panel >10% @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Gauging pool ice covered. Ice cover at gauging pool = 0.060 m.  Mid-section",5.1,1.26,0.45,0.0,0.2,Provisional/Provisoire,5.23
